"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"BM","Cauchy",177241533,1000,10,10,0,1,1,1,0.018,0.00716976562691277,0.0288302343730872,0.047,0.0338824885896753,0.0601175114103247,0.095,0.0797471150474738,0.110252884952526
"BM","Cauchy",10017760,1000,10,10,0,0.5,0.5,1,0.017,0.00646954641356793,0.0275304535864321,0.057,0.0426302455970883,0.0713697544029117,0.107,0.0909200934463225,0.123079906553677
"BM","Cauchy",50693,1000,10,10,0,2,2,1,0.02,0.00859556184636876,0.0314044381536312,0.058,0.0435124309285512,0.0724875690714488,0.104,0.0881205090257905,0.119879490974209
"BM","Cauchy",159833,1000,10,10,0,0.5,2,1,0.014,0.00442919794876103,0.023570802051239,0.063,0.0479409997144565,0.0780590002855435,0.117,0.10027988789586,0.13372011210414
"BM","Cauchy",142494906,1000,10,10,0,1,2,1,0.02,0.00859556184636876,0.0314044381536312,0.061,0.0461661533512039,0.0758338466487961,0.125,0.107796178204393,0.142203821795607
"BM","Cauchy",176565663,1000,10,10,0.5,1,1,0,0.036,0.0208247579820287,0.0511752420179712,0.098,0.079572247190718,0.116427752809282,0.156,0.137124458270026,0.174875541729974
"BM","Cauchy",72844732,1000,10,10,0.5,0.5,0.5,0,0.084,0.0614039129815802,0.10659608701842,0.194,0.169491064029624,0.218508935970376,0.285,0.261517661011411,0.308482338988589
"BM","Cauchy",3113612,1000,10,10,0.5,2,2,0,0.024,0.0115325857923946,0.0364674142076054,0.058,0.0435124309285512,0.0724875690714488,0.115,0.0984046484106241,0.131595351589376
"BM","Cauchy",9390121,1000,10,10,0.5,0.5,2,0,0.019,0.00787865885497617,0.0301213411450238,0.06,0.0452804130492734,0.0747195869507266,0.112,0.0955948050179219,0.128405194982078
"BM","Cauchy",609410,1000,10,10,0.5,1,2,0,0.02,0.00859556184636876,0.0314044381536312,0.069,0.0532907497823734,0.0847092502176266,0.124,0.106855343118044,0.141144656881956
"BM","Cauchy",120602,1000,10,10,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Cauchy",15682250,1000,10,10,1,0.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
