"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"BM","Logistic",74611449,1000,10,10,0,1,1,0.016,0.00577876439250127,0.0262212356074987,0.063,0.0479409997144565,0.0780590002855435,0.102,0.0862563960320389,0.117743603967961
"BM","Logistic",68723975,1000,10,10,0,3,1,0.011,0.00250349441805633,0.0194965055819437,0.043,0.0304267871409094,0.0555732128590905,0.098,0.0825338503207812,0.113466149679219
"BM","Logistic",736530,1000,10,10,0.5,1,0,0.041,0.0248472269704549,0.0571527730295451,0.12,0.0998586753166531,0.140141324683347,0.192,0.171510932319893,0.212489067680107
"BM","Logistic",2219618,1000,10,10,1.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Logistic",36802,1000,10,10,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Logistic",1224714,1000,10,10,2.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Logistic",965974,1000,10,10,0.5,3,0,0.018,0.00716976562691277,0.0288302343730872,0.063,0.0479409997144565,0.0780590002855435,0.102,0.0862563960320389,0.117743603967961
"BM","Logistic",2850773,1000,10,10,1.5,3,0,0.034,0.0192370251323116,0.0487629748676884,0.095,0.0768263498437986,0.113173650156201,0.15,0.131425334794403,0.168574665205597
"BM","Logistic",2941889,1000,10,10,2,3,0,0.056,0.0372705135557859,0.0747294864442141,0.132,0.111020124843079,0.152979875156921,0.225,0.203277589696928,0.246722410303072
"BM","Logistic",179062223,1000,10,10,2.5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Logistic",114025,1000,20,20,0,1,1,0.013,0.00377266875765262,0.0222273312423474,0.051,0.0373643995951773,0.0646356004048227,0.094,0.0788192255434711,0.109180774456529
"BM","Logistic",261429029,1000,20,20,0,3,1,0.01,0.00189480522134107,0.0181051947786589,0.055,0.0408696369473392,0.0691303630526608,0.099,0.0834637609449713,0.114536239055029
"BM","Logistic",11909788,1000,20,20,0.5,1,0,0.059,0.0398059475945281,0.0781940524054719,0.162,0.139163182148119,0.184836817851881,0.24,0.217783362990767,0.262216637009233
"BM","Logistic",55112164,1000,20,20,1.5,1,0,0.544,0.503427877333519,0.584572122666481,0.737,0.709712252390496,0.764287747609504,0.819,0.79897155922257,0.839028440777429
"BM","Logistic",4779494,1000,20,20,2,1,0,0.833,0.802617283940767,0.863382716059233,0.947,0.933114261071156,0.960885738928843,0.976,0.968038471905469,0.983961528094531
"BM","Logistic",95709,1000,20,20,2.5,1,0,0.962,0.946425102650226,0.977574897349774,0.992,0.986478502232184,0.997521497767816,0.997,0.994155053467111,0.999844946532889
"BM","Logistic",6827607,1000,20,20,0.5,3,0,0.021,0.00931989217584016,0.0326801078241598,0.059,0.0443958296914888,0.0736041703085112,0.113,0.0965310112097008,0.129468988790299
"BM","Logistic",152013352,1000,20,20,1.5,3,0,0.061,0.0415040872615822,0.0804959127384178,0.148,0.125990674849055,0.170009325150945,0.229,0.207141979321654,0.250858020678346
"BM","Logistic",18600,1000,20,20,2,3,0,0.096,0.0720025171239982,0.119997482876002,0.232,0.205837413705828,0.258162586294172,0.336,0.311429183945176,0.360570816054824
"BM","Logistic",109086256,1000,20,20,2.5,3,0,0.149,0.119992936015101,0.178007063984899,0.319,0.290111501555117,0.347888498444883,0.442,0.416165852406166,0.467834147593834
"BM","Logistic",88551454,1000,100,100,0,1,1,0.01,0.00189480522134107,0.0181051947786589,0.052,0.038238622394542,0.065761377605458,0.092,0.0769650239641029,0.107034976035897
"BM","Logistic",21996400,1000,100,100,0,3,1,0.011,0.00250349441805633,0.0194965055819437,0.056,0.0417493037924458,0.0702506962075542,0.103,0.0871882209800731,0.118811779019927
"BM","Logistic",4090759,1000,100,100,0.5,1,0,0.297,0.259777825066017,0.334222174933983,0.527,0.496054895805637,0.557945104194363,0.648,0.623155816004546,0.672844183995455
"BM","Logistic",14258972,1000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1
"BM","Logistic",2905145,1000,100,100,2,1,0,1,1,1,1,1,1,1,1,1
"BM","Logistic",5824651,1000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"BM","Logistic",1820522,1000,100,100,0.5,3,0,0.031,0.0168814988308249,0.0451185011691751,0.109,0.0896844013709127,0.128315598629087,0.182,0.16192857309756,0.20207142690244
"BM","Logistic",16238269,1000,100,100,1.5,3,0,0.307,0.269426498968342,0.344573501031658,0.554,0.523190944603899,0.584809055396101,0.667,0.642483925298388,0.691516074701612
"BM","Logistic",19475,1000,100,100,2,3,0,0.551,0.510482295886563,0.591517704113437,0.779,0.753282962565645,0.804717037434355,0.859,0.8408961042321,0.8771038957679
"BM","Logistic",20781227,1000,100,100,2.5,3,0,0.797,0.764234029316744,0.829765970683256,0.91,0.892262270720298,0.927737729279702,0.957,0.946447482064692,0.967552517935308
"BM","Logistic",866246,1000,10,100,0,1,1,0.014,0.00442919794876103,0.023570802051239,0.065,0.0497201688491005,0.0802798311508995,0.111,0.0946590134638388,0.127340986536161
"BM","Logistic",46971,1000,10,100,0,3,1,0.017,0.00646954641356793,0.0275304535864321,0.057,0.0426302455970883,0.0713697544029117,0.104,0.0881205090257905,0.119879490974209
"BM","Logistic",284901,1000,10,100,0.5,1,0,0.049,0.0314153326496064,0.0665846673503936,0.129,0.108224092453036,0.149775907546964,0.225,0.203277589696928,0.246722410303072
"BM","Logistic",44689688,1000,10,100,1.5,1,0,0.425,0.384730684634576,0.465269315365424,0.644,0.614322726162937,0.673677273837063,0.764,0.741911380043108,0.786088619956892
"BM","Logistic",79483842,1000,10,100,2,1,0,0.703,0.665777825066017,0.740222174933983,0.867,0.845952939929767,0.888047060070233,0.934,0.921084497489451,0.946915502510549
"BM","Logistic",4453860,1000,10,100,2.5,1,0,0.857,0.828482970270801,0.885517029729199,0.959,0.946709846607955,0.971290153392045,0.984,0.977472852261516,0.990527147738484
