"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"BM","Normal",38701,1000,10,10,0,1,1,0.008,0.000743174362298623,0.0152568256377014,0.047,0.0338824885896753,0.0601175114103247,0.091,0.0760387272608578,0.105961272739142
"BM","Normal",1747789,1000,10,10,0,3,1,0.016,0.00577876439250127,0.0262212356074987,0.052,0.038238622394542,0.065761377605458,0.11,0.0937236414545513,0.126276358545449
"BM","Normal",38970,1000,10,10,0.5,1,0,0.092,0.0684558673139994,0.115544132686001,0.19,0.165684938001313,0.214315061998687,0.272,0.248851863003689,0.295148136996311
"BM","Normal",84573,1000,10,10,1.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Normal",82102750,1000,10,10,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Normal",458613,1000,10,10,2.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Normal",20780,1000,10,10,0.5,3,0,0.024,0.0115325857923946,0.0364674142076054,0.061,0.0461661533512039,0.0758338466487961,0.116,0.0993420701286144,0.132657929871386
"BM","Normal",187659,1000,10,10,1.5,3,0,0.089,0.0658046969775344,0.112195303022466,0.194,0.169491064029624,0.218508935970376,0.277,0.25372043100109,0.30027956899891
"BM","Normal",9512959,1000,10,10,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Normal",90830418,1000,10,10,2.5,3,0,0.25,0.214726667296667,0.285273332703333,0.46,0.429109007138002,0.490890992861998,0.563,0.537197557542453,0.588802442457546
"BM","Normal",189459886,1000,20,20,0,1,1,0.008,0.000743174362298623,0.0152568256377014,0.042,0.0295673567733969,0.0544326432266031,0.092,0.0769650239641029,0.107034976035897
"BM","Normal",3080568,1000,20,20,0,3,1,0.02,0.00859556184636876,0.0314044381536312,0.063,0.0479409997144565,0.0780590002855435,0.103,0.0871882209800731,0.118811779019927
"BM","Normal",37235,1000,20,20,0.5,1,0,0.156,0.126441704865402,0.185558295134598,0.33,0.300855913807429,0.359144086192571,0.447,0.421136801710249,0.472863198289751
"BM","Normal",40679,1000,20,20,1.5,1,0,0.974,0.961036806279932,0.986963193720068,0.996,0.992087847855719,0.999912152144281,0.998,0.995675946235562,1.00032405376444
"BM","Normal",20730,1000,20,20,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Normal",317703,1000,20,20,2.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Normal",316360837,1000,20,20,0.5,3,0,0.026,0.0130368062799324,0.0389631937200676,0.082,0.0649946984266671,0.099005301573333,0.143,0.124789396776191,0.161210603223809
"BM","Normal",11572329,1000,20,20,1.5,3,0,0.172,0.141258486133308,0.202741513866692,0.344,0.314556650625311,0.373443349374689,0.455,0.429095819847465,0.480904180152535
"BM","Normal",76872600,1000,20,20,2,3,0,0.341,0.302384136071506,0.379615863928495,0.529,0.49806184856201,0.55993815143799,0.64,0.61503065559531,0.66496934440469
"BM","Normal",17364837,1000,20,20,2.5,3,0,0.479,0.438305803573679,0.519694196426321,0.697,0.668516472381392,0.725483527618608,0.826,0.806278926573333,0.845721073426667
"BM","Normal",257394,1000,100,100,0,1,1,0.009,0.00130685460010016,0.0166931453998998,0.043,0.0304267871409094,0.0555732128590905,0.089,0.0741877820372842,0.103812217962716
"BM","Normal",704869,1000,100,100,0,3,1,0.015,0.00509830366048322,0.0249016963395168,0.062,0.0470530240650491,0.0769469759349509,0.116,0.0993420701286144,0.132657929871386
"BM","Normal",4426057,1000,100,100,0.5,1,0,0.779,0.745200465086277,0.812799534913723,0.918,0.900994698426667,0.935005301573333,0.957,0.946447482064692,0.967552517935308
"BM","Normal",204620576,1000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1
"BM","Normal",1193693,1000,100,100,2,1,0,1,1,1,1,1,1,1,1,1
"BM","Normal",1502019,1000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"BM","Normal",28015594,1000,100,100,0.5,3,0,0.069,0.0483535568568337,0.0896464431431663,0.2,0.17520774314428,0.22479225685572,0.295,0.271276898403139,0.318723101596861
"BM","Normal",56181320,1000,100,100,1.5,3,0,0.811,0.779107601070098,0.842892398929902,0.929,0.91308183131136,0.94491816868864,0.964,0.954309288385263,0.973690711614737
"BM","Normal",19347191,1000,100,100,2,3,0,0.974,0.961036806279932,0.986963193720068,0.995,0.990628277227454,0.999371722772546,0.999,0.997355822705728,1.00064417729427
"BM","Normal",13723635,1000,100,100,2.5,3,0,0.999,0.996425288322161,1.00157471167784,1,1,1,1,1,1
"BM","Normal",318530973,1000,10,100,0,1,1,0.013,0.00377266875765262,0.0222273312423474,0.056,0.0417493037924458,0.0702506962075542,0.096,0.0806755204460315,0.111324479553969
"BM","Normal",246789,1000,10,100,0,3,1,0.023,0.0107888361530934,0.0352111638469066,0.057,0.0426302455970883,0.0713697544029117,0.1,0.0843941597470691,0.115605840252931
"BM","Normal",573646,1000,10,100,0.5,1,0,0.136,0.108076350111348,0.163923649888652,0.297,0.268678779941535,0.325321220058465,0.413,0.387387027763748,0.438612972236252
"BM","Normal",135012237,1000,10,100,1.5,1,0,0.906,0.882227553191478,0.929772446808522,0.977,0.967708897073006,0.986291102926994,0.988,0.982335846718176,0.993664153281824
"BM","Normal",20044,1000,10,100,2,1,0,0.992,0.984743174362299,0.999256825637701,1,1,1,1,1,1
"BM","Normal",844793,1000,10,100,2.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BM","Normal",43648653,1000,10,100,0.5,3,0,0.025,0.0122820190281633,0.0377179809718367,0.083,0.0659006427723145,0.100099357227685,0.145,0.126683901906383,0.163316098093617
"BM","Normal",10301109,1000,10,100,1.5,3,0,0.141,0.112650069606011,0.169349930393989,0.299,0.270624032731905,0.327375967268095,0.413,0.387387027763748,0.438612972236252
"BM","Normal",2899029,1000,10,100,2,3,0,0.232,0.197614886584802,0.266385113415198,0.446,0.415190944603899,0.476809055396101,0.571,0.545253831780729,0.596746168219271
"BM","Normal",98238970,1000,10,100,2.5,3,0,0.398,0.358126382324951,0.437873617675049,0.634,0.604143338592535,0.663856661407465,0.733,0.709986985013367,0.756013014986633
