"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarEqual","Cauchy",13420735,1000,10,10,0,1,1,1,0.001,-0.0015747116778389,0.0035747116778389,0.014,0.00671786800449209,0.0212821319955079,0.055,0.0431405881522312,0.0668594118477688
"Bayes_TTest_VarEqual","Cauchy",245323,1000,10,10,0,0.5,0.5,1,0.004,-0.00114168567534034,0.00914168567534034,0.018,0.00975960428134668,0.0262403957186533,0.056,0.0440395942543741,0.0679604057456259
"Bayes_TTest_VarEqual","Cauchy",9231465,1000,10,10,0,2,2,1,0.004,-0.00114168567534034,0.00914168567534034,0.02,0.011322710100498,0.028677289899502,0.057,0.044939670411842,0.069060329588158
"Bayes_TTest_VarEqual","Cauchy",140946548,1000,10,10,0,0.5,2,1,0.001,-0.0015747116778389,0.0035747116778389,0.024,0.0145139239724742,0.0334860760275258,0.057,0.044939670411842,0.069060329588158
"Bayes_TTest_VarEqual","Cauchy",38002,1000,10,10,0,1,2,1,0.001,-0.0015747116778389,0.0035747116778389,0.025,0.0153232753475156,0.0346767246524844,0.076,0.0622149392601991,0.0897850607398009
"Bayes_TTest_VarEqual","Cauchy",35764013,1000,10,10,0.5,1,1,0,0.007,0.000208440607931048,0.013791559392069,0.037,0.0253004252384969,0.0486995747615031,0.08,0.0658874722320911,0.0941125277679089
"Bayes_TTest_VarEqual","Cauchy",85433843,1000,10,10,0.5,0.5,0.5,0,0.02,0.00859556184636876,0.0314044381536312,0.066,0.0506113161576436,0.0813886838423564,0.129,0.111563077594512,0.146436922405488
"Bayes_TTest_VarEqual","Cauchy",101653,1000,10,10,0.5,2,2,0,0.006,-0.000290927440687899,0.0122909274406879,0.027,0.0169539722476991,0.0370460277523009,0.064,0.0512680825638869,0.0767319174361131
"Bayes_TTest_VarEqual","Cauchy",32272,1000,10,10,0.5,0.5,2,0,0.008,0.000743174362298623,0.0152568256377014,0.044,0.031288074009026,0.056711925990974,0.094,0.0788192255434711,0.109180774456529
"Bayes_TTest_VarEqual","Cauchy",109016529,1000,10,10,0.5,1,2,0,0.001,-0.0015747116778389,0.0035747116778389,0.022,0.0129084728675541,0.0310915271324459,0.054,0.0422426796803013,0.0657573203196987
"Bayes_TTest_VarEqual","Cauchy",15156005,1000,10,10,1,1,1,0,0.014,0.00442919794876103,0.023570802051239,0.057,0.0426302455970883,0.0713697544029117,0.117,0.10027988789586,0.13372011210414
"Bayes_TTest_VarEqual","Cauchy",106378,1000,10,10,1,0.5,0.5,0,0.067,0.0466331398213667,0.0873668601786333,0.189,0.164734044292466,0.213265955707534,0.285,0.261517661011411,0.308482338988589
"Bayes_TTest_VarEqual","Cauchy",173920,1000,10,10,1,2,2,0,0.004,-0.00114168567534034,0.00914168567534034,0.035,0.0236092124943005,0.0463907875056995,0.074,0.060382817578515,0.087617182421485
"Bayes_TTest_VarEqual","Cauchy",74496068,1000,10,10,1,0.5,2,0,0.01,0.00189480522134107,0.0181051947786589,0.055,0.0408696369473392,0.0691303630526608,0.115,0.0984046484106241,0.131595351589376
"Bayes_TTest_VarEqual","Cauchy",1326017,1000,10,10,1,1,2,0,0.009,0.00130685460010016,0.0166931453998998,0.039,0.0270008614309193,0.0509991385690807,0.095,0.0797471150474738,0.110252884952526
"Bayes_TTest_VarEqual","Cauchy",176341009,1000,10,10,1.5,1,1,0,0.042,0.0256599546164645,0.0583400453835355,0.128,0.107292899150291,0.148707100849709,0.219,0.197486380825742,0.240513619174258
"Bayes_TTest_VarEqual","Cauchy",28635146,1000,10,10,1.5,0.5,0.5,0,0.186,0.154303264686974,0.217696735313026,0.319,0.290111501555117,0.347888498444883,0.411,0.38540562901779,0.43659437098221
"Bayes_TTest_VarEqual","Cauchy",10671686,1000,10,10,1.5,2,2,0,0.005,-0.000745692786775151,0.0107456927867752,0.058,0.0435124309285512,0.0724875690714488,0.118,0.1012180973099,0.1347819026901
"Bayes_TTest_VarEqual","Cauchy",99704526,1000,10,10,1.5,0.5,2,0,0.031,0.0168814988308249,0.0451185011691751,0.089,0.071351399874211,0.106648600125789,0.143,0.124789396776191,0.161210603223809
"Bayes_TTest_VarEqual","Cauchy",970538,1000,10,10,1.5,1,2,0,0.012,0.00313017698846251,0.0208698230115375,0.076,0.0595752467781096,0.0924247532218904,0.142,0.123842597600428,0.160157402399572
"Bayes_TTest_VarEqual","Cauchy",45092,1000,10,10,2,1,1,0,0.076,0.0544131814798011,0.0975868185201988,0.178,0.154291614445517,0.201708385554483,0.278,0.254694581876739,0.301305418123261
"Bayes_TTest_VarEqual","Cauchy",10574370,1000,10,10,2,0.5,0.5,0,0.283,0.246305696028729,0.319694303971271,0.416,0.38545014451098,0.44654985548902,0.506,0.479992139013368,0.532007860986632
"Bayes_TTest_VarEqual","Cauchy",307695491,1000,10,10,2,2,2,0,0.017,0.00646954641356793,0.0275304535864321,0.059,0.0443958296914888,0.0736041703085112,0.136,0.118168321402627,0.153831678597373
"Bayes_TTest_VarEqual","Cauchy",151064,1000,10,10,2,0.5,2,0,0.048,0.0305865448547395,0.0654134551452605,0.142,0.120365648204765,0.163634351795235,0.232,0.210042115074534,0.253957884925466
"Bayes_TTest_VarEqual","Cauchy",8505261,1000,10,10,2,1,2,0,0.027,0.0137966492398331,0.0402033507601669,0.098,0.079572247190718,0.116427752809282,0.171,0.151414204178155,0.190585795821845
"Bayes_TTest_VarEqual","Cauchy",1316167,1000,10,10,2.5,1,1,0,0.128,0.100784953168954,0.155215046831046,0.268,0.240547682764473,0.295452317235527,0.365,0.339956259377341,0.390043740622659
"Bayes_TTest_VarEqual","Cauchy",19455390,1000,10,10,2.5,0.5,0.5,0,0.389,0.349286216449399,0.428713783550601,0.508,0.477013645945352,0.538986354054648,0.575,0.54928454045958,0.60071545954042
"Bayes_TTest_VarEqual","Cauchy",298790,1000,10,10,2.5,2,2,0,0.03,0.0161039184803773,0.0438960815196227,0.092,0.0740859859997822,0.109914014000218,0.165,0.145691385487949,0.184308614512051
"Bayes_TTest_VarEqual","Cauchy",1964645,1000,10,10,2.5,0.5,2,0,0.091,0.0675712835404071,0.114428716459593,0.205,0.179978314205474,0.230021685794526,0.275,0.251772565049601,0.298227434950399
"Bayes_TTest_VarEqual","Cauchy",58887989,1000,10,10,2.5,1,2,0,0.033,0.0184482218290684,0.0475517781709316,0.145,0.123176563973563,0.166823436026437,0.227,0.205209430645919,0.248790569354081
"Bayes_TTest_VarEqual","Cauchy",64297,1000,20,20,0,1,1,1,0.002,-0.00163936929920556,0.00563936929920556,0.017,0.00898769835814952,0.0250123016418505,0.058,0.0458407902436055,0.0701592097563945
