"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarEqual","Logistic",5346379,1000,10,10,0,1,1,0.011,0.00250349441805633,0.0194965055819437,0.04,0.0278543242262935,0.0521456757737065,0.087,0.0723390903496747,0.101660909650325
"Bayes_TTest_VarEqual","Logistic",442129,1000,10,10,0,3,1,0.01,0.00189480522134107,0.0181051947786589,0.047,0.0338824885896753,0.0601175114103247,0.085,0.0704927227097915,0.0995072772902085
"Bayes_TTest_VarEqual","Logistic",112568,1000,10,10,0.5,1,0,0.016,0.00577876439250127,0.0262212356074987,0.081,0.0640895043715449,0.0979104956284551,0.137,0.119113243956072,0.154886756043928
"Bayes_TTest_VarEqual","Logistic",31058,1000,10,10,1.5,1,0,0.199,0.166477145595382,0.231522854404618,0.433,0.402289170353115,0.463710829646885,0.556,0.530153914114513,0.581846085885488
"Bayes_TTest_VarEqual","Logistic",18000,1000,10,10,2,1,0,0.394,0.354195673339899,0.433804326660101,0.654,0.624516231339939,0.683483768660061,0.767,0.745009173872385,0.788990826127615
"Bayes_TTest_VarEqual","Logistic",36949,1000,10,10,2.5,1,0,0.597,0.55704367404758,0.63695632595242,0.822,0.798291614445517,0.845708385554483,0.9,0.884394159747069,0.915605840252931
"Bayes_TTest_VarEqual","Logistic",35323,1000,10,10,0.5,3,0,0.009,0.00130685460010016,0.0166931453998998,0.052,0.038238622394542,0.065761377605458,0.103,0.0871882209800731,0.118811779019927
"Bayes_TTest_VarEqual","Logistic",186736008,1000,10,10,1.5,3,0,0.022,0.0100511357687854,0.0339488642312146,0.098,0.079572247190718,0.116427752809282,0.166,0.146644563422645,0.185355436577355
"Bayes_TTest_VarEqual","Logistic",774130,1000,10,10,2,3,0,0.031,0.0168814988308249,0.0451185011691751,0.132,0.111020124843079,0.152979875156921,0.212,0.190738351136377,0.233261648863623
"Bayes_TTest_VarEqual","Logistic",4039855,1000,10,10,2.5,3,0,0.048,0.0305865448547395,0.0654134551452605,0.179,0.15523957714181,0.20276042285819,0.27,0.246905465419282,0.293094534580718
"Bayes_TTest_VarEqual","Logistic",2940290,1000,20,20,0,1,1,0.008,0.000743174362298623,0.0152568256377014,0.061,0.0461661533512039,0.0758338466487961,0.105,0.0890532542700713,0.120946745729929
"Bayes_TTest_VarEqual","Logistic",535870,1000,20,20,0,3,1,0.015,0.00509830366048322,0.0249016963395168,0.061,0.0461661533512039,0.0758338466487961,0.109,0.0927886940077303,0.12521130599227
"Bayes_TTest_VarEqual","Logistic",168737848,1000,20,20,0.5,1,0,0.049,0.0314153326496064,0.0665846673503936,0.149,0.126929407837577,0.171070592162423,0.236,0.213911380043108,0.258088619956892
"Bayes_TTest_VarEqual","Logistic",11676357,1000,20,20,1.5,1,0,0.479,0.438305803573679,0.519694196426321,0.747,0.720055096481895,0.773944903518105,0.834,0.814644563422645,0.853355436577355
"Bayes_TTest_VarEqual","Logistic",154898,1000,20,20,2,1,0,0.765,0.730460940510778,0.799539059489222,0.901,0.882488736445072,0.919511263554928,0.953,0.941990660066335,0.964009339933665
"Bayes_TTest_VarEqual","Logistic",2651191,1000,20,20,2.5,1,0,0.925,0.903544069351343,0.946455930648658,0.982,0.973759604281347,0.990240395718653,0.992,0.987365885802011,0.996634114197989
"Bayes_TTest_VarEqual","Logistic",9898807,1000,20,20,0.5,3,0,0.016,0.00577876439250127,0.0262212356074987,0.059,0.0443958296914888,0.0736041703085112,0.112,0.0955948050179219,0.128405194982078
"Bayes_TTest_VarEqual","Logistic",3125095,1000,20,20,1.5,3,0,0.036,0.0208247579820287,0.0511752420179712,0.144,0.122239232954696,0.165760767045304,0.222,0.200381169922958,0.243618830077042
"Bayes_TTest_VarEqual","Logistic",122901327,1000,20,20,2,3,0,0.079,0.0570270068951906,0.100972993104809,0.211,0.185710758682792,0.236289241317208,0.308,0.283984352092854,0.332015647907146
"Bayes_TTest_VarEqual","Logistic",36828,1000,20,20,2.5,3,0,0.108,0.0827163270718829,0.133283672928117,0.274,0.246356077731263,0.301643922268737,0.419,0.393333835113617,0.444666164886383
"Bayes_TTest_VarEqual","Logistic",55246,1000,100,100,0,1,1,0.005,-0.000745692786775151,0.0107456927867752,0.044,0.031288074009026,0.056711925990974,0.106,0.0899864509523966,0.122013549047603
"Bayes_TTest_VarEqual","Logistic",282597,1000,100,100,0,3,1,0.008,0.000743174362298623,0.0152568256377014,0.043,0.0304267871409094,0.0555732128590905,0.095,0.0797471150474738,0.110252884952526
"Bayes_TTest_VarEqual","Logistic",17212442,1000,100,100,0.5,1,0,0.26,0.224268734945429,0.295731265054571,0.487,0.456020155429699,0.517979844570301,0.62,0.594750455647675,0.645249544352325
