"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarEqual","Normal",196351922,1000,10,10,0,1,1,0.01,0.00189480522134107,0.0181051947786589,0.055,0.0408696369473392,0.0691303630526608,0.097,0.0816044345418884,0.112395565458112
"Bayes_TTest_VarEqual","Normal",164490676,1000,10,10,0,3,1,0.012,0.00313017698846251,0.0208698230115375,0.046,0.0330159800369839,0.0589840199630161,0.089,0.0741877820372842,0.103812217962716
"Bayes_TTest_VarEqual","Normal",1661250,1000,10,10,0.5,1,0,0.069,0.0483535568568337,0.0896464431431663,0.176,0.152396521476698,0.199603478523302,0.265,0.242042081553961,0.28795791844604
"Bayes_TTest_VarEqual","Normal",51444939,1000,10,10,1.5,1,0,0.667,0.628608870254498,0.705391129745502,0.888,0.868453384702205,0.907546615297795,0.941,0.928742928491071,0.953257071508929
"Bayes_TTest_VarEqual","Normal",29710357,1000,10,10,2,1,0,0.929,0.90807897829493,0.94992102170507,0.986,0.978717868004492,0.993282131995508,0.995,0.991330875530184,0.998669124469816
"Bayes_TTest_VarEqual","Normal",16762227,1000,10,10,2.5,1,0,0.993,0.986208440607931,0.999791559392069,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal",16597281,1000,10,10,0.5,3,0,0.014,0.00442919794876103,0.023570802051239,0.08,0.0631850732978107,0.0968149267021893,0.144,0.125736499086977,0.162263500913023
"Bayes_TTest_VarEqual","Normal",15503458,1000,10,10,1.5,3,0,0.065,0.0449179362016749,0.0850820637983251,0.185,0.16093306749916,0.20906693250084,0.285,0.261517661011411,0.308482338988589
"Bayes_TTest_VarEqual","Normal",219245732,1000,10,10,2,3,0,0.09,0.0666875558038201,0.11331244419618,0.294,0.265762120079581,0.322237879920419,0.428,0.402261347813065,0.453738652186935
"Bayes_TTest_VarEqual","Normal",1780650,1000,10,10,2.5,3,0,0.186,0.154303264686974,0.217696735313026,0.402,0.371610770434248,0.432389229565752,0.538,0.512065491138254,0.563934508861746
"Bayes_TTest_VarEqual","Normal",45711190,1000,20,20,0,1,1,0.009,0.00130685460010016,0.0166931453998998,0.042,0.0295673567733969,0.0544326432266031,0.09,0.0751129772116786,0.104887022788321
"Bayes_TTest_VarEqual","Normal",90092,1000,20,20,0,3,1,0.011,0.00250349441805633,0.0194965055819437,0.057,0.0426302455970883,0.0713697544029117,0.114,0.0974676272392618,0.130532372760738
"Bayes_TTest_VarEqual","Normal",5319254,1000,20,20,0.5,1,0,0.126,0.0989674604185252,0.153032539581475,0.312,0.283283759131808,0.340716240868192,0.451,0.425115466317219,0.476884533682781
"Bayes_TTest_VarEqual","Normal",348345607,1000,20,20,1.5,1,0,0.983,0.972469546413568,0.993530453586432,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal",92310662,1000,20,20,2,1,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal",533013,1000,20,20,2.5,1,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal",43750,1000,20,20,0.5,3,0,0.019,0.00787865885497617,0.0301213411450238,0.087,0.0695316821187614,0.104468317881239,0.163,0.143785794401667,0.182214205598333
"Bayes_TTest_VarEqual","Normal",16958,1000,20,20,1.5,3,0,0.153,0.123675320161748,0.182324679838252,0.356,0.326322726162937,0.385677273837063,0.471,0.445034051471687,0.496965948528313
"Bayes_TTest_VarEqual","Normal",2804163,1000,20,20,2,3,0,0.293,0.255924298601699,0.330075701398301,0.535,0.504085698455246,0.565914301544754,0.667,0.642483925298388,0.691516074701612
"Bayes_TTest_VarEqual","Normal",36341,1000,20,20,2.5,3,0,0.491,0.450276462553653,0.531723537446347,0.754,0.727306267881767,0.780693732118233,0.839,0.819881235631584,0.858118764368416
"Bayes_TTest_VarEqual","Normal",18399,1000,100,100,0,1,1,0.01,0.00189480522134107,0.0181051947786589,0.061,0.0461661533512039,0.0758338466487961,0.108,0.0918541762551426,0.124145823744857
"Bayes_TTest_VarEqual","Normal",506615,1000,100,100,0,3,1,0.006,-0.000290927440687899,0.0122909274406879,0.045,0.0321511572505536,0.0578488427494463,0.087,0.0723390903496747,0.101660909650325
"Bayes_TTest_VarEqual","Normal",342007,1000,100,100,0.5,1,0,0.815,0.783369174427467,0.846630825572533,0.936,0.920830055820801,0.951169944179199,0.971,0.962270798548836,0.979729201451164
"Bayes_TTest_VarEqual","Normal",44809521,1000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal",2032527,1000,100,100,2,1,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal",14073958,1000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal",133330,1000,100,100,0.5,3,0,0.081,0.0587747771740304,0.10322522282597,0.217,0.191451416916001,0.242548583083999,0.331,0.306521040259541,0.355478959740459
"Bayes_TTest_VarEqual","Normal",17376727,1000,100,100,1.5,3,0,0.831,0.800472606634958,0.861527393365042,0.94,0.925280413049273,0.954719586950727,0.969,0.959984109307728,0.978015890692272
"Bayes_TTest_VarEqual","Normal",7497988,1000,100,100,2,3,0,0.983,0.972469546413568,0.993530453586432,0.997,0.993610276471451,1.00038972352855,0.998,0.995675946235562,1.00032405376444
"Bayes_TTest_VarEqual","Normal",33837848,1000,100,100,2.5,3,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal",132255879,1000,10,100,0,1,1,0.018,0.00716976562691277,0.0288302343730872,0.065,0.0497201688491005,0.0802798311508995,0.103,0.0871882209800731,0.118811779019927
"Bayes_TTest_VarEqual","Normal",323760111,1000,10,100,0,3,1,0.011,0.00250349441805633,0.0194965055819437,0.05,0.0364916322229516,0.0635083677770484,0.1,0.0843941597470691,0.115605840252931
"Bayes_TTest_VarEqual","Normal",13029920,1000,10,100,0.5,1,0,0.139,0.110819101577416,0.167180898422584,0.326,0.296946743411452,0.355053256588548,0.448,0.422131309302556,0.473868690697444
"Bayes_TTest_VarEqual","Normal",97039461,1000,10,100,1.5,1,0,0.969,0.954881498830825,0.983118501169175,0.991,0.985146519804424,0.996853480195576,0.996,0.992716586593193,0.999283413406807
"Bayes_TTest_VarEqual","Normal",23718856,1000,10,100,2,1,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal",25287610,1000,10,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarEqual","Normal",152077,1000,10,100,0.5,3,0,0.015,0.00509830366048322,0.0249016963395168,0.06,0.0452804130492734,0.0747195869507266,0.126,0.108737372821613,0.143262627178387
"Bayes_TTest_VarEqual","Normal",23112,1000,10,100,1.5,3,0,0.136,0.108076350111348,0.163923649888652,0.311,0.282308987358408,0.339691012641592,0.418,0.392342429228393,0.443657570771607
"Bayes_TTest_VarEqual","Normal",328624,1000,10,100,2,3,0,0.258,0.222358361228249,0.293641638771751,0.514,0.483021829518191,0.544978170481809,0.627,0.601843275794035,0.652156724205965
"Bayes_TTest_VarEqual","Normal",7364724,1000,10,100,2.5,3,0,0.463,0.422381535939231,0.503618464060769,0.699,0.670569931438704,0.727430068561296,0.78,0.758451127871742,0.801548872128258
