"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarEqual","ghEqual",13054681,1000,10,10,0,1,1,1,0,1,0.004,-0.00114168567534034,0.00914168567534034,0.038,0.0261495346251719,0.0498504653748281,0.093,0.0778918593210481,0.108108140678952
"Bayes_TTest_VarEqual","ghEqual",21271649,1000,10,10,0,1,3,3,0,1,0.007,0.000208440607931048,0.013791559392069,0.048,0.0347506319546931,0.0612493680453069,0.107,0.0909200934463225,0.123079906553677
"Bayes_TTest_VarEqual","ghEqual",338049,1000,10,10,0,1,1,3,0,1,0.014,0.00442919794876103,0.023570802051239,0.064,0.0488300558208015,0.0791699441791986,0.129,0.111563077594512,0.146436922405488
"Bayes_TTest_VarEqual","ghEqual",50404,1000,10,10,0,1,-1,1,0,1,0.033,0.0184482218290684,0.0475517781709316,0.192,0.167587493827958,0.216412506172042,0.301,0.277139049600341,0.324860950399659
"Bayes_TTest_VarEqual","ghEqual",377589,1000,10,10,0,1,-3,3,0,1,0.174,0.143117638208453,0.204882361791547,0.528,0.497058309910414,0.558941690089586,0.742,0.7192397143713,0.7647602856287
"Bayes_TTest_VarEqual","ghEqual",9294224,1000,10,10,0,1,-1,3,0,1,0.076,0.0544131814798011,0.0975868185201988,0.336,0.306724134062337,0.365275865937663,0.513,0.486999059021355,0.539000940978645
"Bayes_TTest_VarEqual","ghEqual",338545,1000,10,10,0,1,1,-3,0,1,0.08,0.0579003820485512,0.102099617951449,0.333,0.303789357802335,0.362210642197665,0.5,0.473990266245115,0.526009733754885
"Bayes_TTest_VarEqual","ghEqual",2045200,1000,10,10,0.5,3,1,1,0,0,0.01,0.00189480522134107,0.0181051947786589,0.065,0.0497201688491005,0.0802798311508995,0.119,0.102156694060399,0.135843305939601
"Bayes_TTest_VarEqual","ghEqual",18195,1000,10,10,0.5,3,3,3,0,0,0.015,0.00509830366048322,0.0249016963395168,0.063,0.0479409997144565,0.0780590002855435,0.117,0.10027988789586,0.13372011210414
"Bayes_TTest_VarEqual","ghEqual",425354,1000,10,10,0.5,3,1,3,0,0,0.027,0.0137966492398331,0.0402033507601669,0.116,0.096152253770264,0.135847746229736,0.208,0.186886503501315,0.229113496498685
"Bayes_TTest_VarEqual","ghEqual",13120656,1000,10,10,0.5,3,-1,1,0,0,0.065,0.0449179362016749,0.0850820637983251,0.308,0.279385611004252,0.336614388995748,0.481,0.455009052057014,0.506990947942986
"Bayes_TTest_VarEqual","ghEqual",2699240,1000,10,10,0.5,3,-3,3,0,0,0.29,0.253036419567363,0.326963580432637,0.717,0.689080420891425,0.744919579108575,0.877,0.859914871297675,0.894085128702325
"Bayes_TTest_VarEqual","ghEqual",45740,1000,10,10,0.5,3,-1,3,0,0,0.155,0.125519145846838,0.184480854153162,0.505,0.474011228485143,0.535988771514857,0.704,0.680253583141872,0.727746416858128
"Bayes_TTest_VarEqual","ghEqual",292047,1000,10,10,0.5,3,1,-3,0,0,0.037,0.0216234160277388,0.0523765839722612,0.224,0.198158903305007,0.249841096694993,0.369,0.343898841561095,0.394101158438905
"Bayes_TTest_VarEqual","ghEqual",1038443,1000,10,10,1,3,1,1,0,0,0.031,0.0168814988308249,0.0451185011691751,0.102,0.083241663357323,0.120758336642677,0.178,0.158101890695345,0.197898109304655
"Bayes_TTest_VarEqual","ghEqual",3442086,1000,10,10,1,3,3,3,0,0,0.032,0.017662992035435,0.046337007964565,0.099,0.0804887364450722,0.117511263554928,0.161,0.141881235631584,0.180118764368416
"Bayes_TTest_VarEqual","ghEqual",12072182,1000,10,10,1,3,1,3,0,0,0.058,0.0389591949346673,0.0770408050653327,0.198,0.173301200158712,0.222698799841288,0.314,0.289856913844746,0.338143086155254
"Bayes_TTest_VarEqual","ghEqual",165649433,1000,10,10,1,3,-1,1,0,0,0.145,0.116317769793825,0.173682230206175,0.479,0.448037024458234,0.509962975541766,0.674,0.649616016791755,0.698383983208246
"Bayes_TTest_VarEqual","ghEqual",16592439,1000,10,10,1,3,-3,3,0,0,0.489,0.448279721622955,0.529720278377044,0.896,0.877079755434985,0.914920244565016,0.97,0.961126143594806,0.978873856405194
"Bayes_TTest_VarEqual","ghEqual",301951992,1000,10,10,1,3,-1,3,0,0,0.272,0.235751002490883,0.308248997509117,0.697,0.668516472381392,0.725483527618608,0.849,0.830374487954019,0.867625512045981
"Bayes_TTest_VarEqual","ghEqual",553113,1000,10,10,1,3,1,-3,0,0,0.022,0.0100511357687854,0.0339488642312146,0.121,0.100786422028745,0.141213577971255,0.229,0.207141979321654,0.250858020678346
"Bayes_TTest_VarEqual","ghEqual",2084543,1000,10,10,1.5,3,1,1,0,0,0.055,0.0364286657022173,0.0735713342977827,0.18,0.156187814883972,0.203812185116028,0.268,0.244959662320183,0.291040337679817
"Bayes_TTest_VarEqual","ghEqual",10246876,1000,10,10,1.5,3,3,3,0,0,0.055,0.0364286657022173,0.0735713342977827,0.168,0.144827527503523,0.191172472496477,0.277,0.25372043100109,0.30027956899891
"Bayes_TTest_VarEqual","ghEqual",81032821,1000,10,10,1.5,3,1,3,0,0,0.114,0.0881110077619078,0.139888992238092,0.31,0.281334371801755,0.338665628198245,0.423,0.397300540321341,0.448699459678659
"Bayes_TTest_VarEqual","ghEqual",321696,1000,10,10,1.5,3,-1,1,0,0,0.256,0.220448960070569,0.291551039929431,0.658,0.628597648094072,0.687402351905928,0.812,0.791675360952775,0.832324639047225
"Bayes_TTest_VarEqual","ghEqual",11811016,1000,10,10,1.5,3,-3,3,0,0,0.7,0.662670213501816,0.737329786498184,0.97,0.959426894495939,0.980573105504061,0.994,0.989982695791952,0.998017304208048
"Bayes_TTest_VarEqual","ghEqual",142975,1000,10,10,1.5,3,-1,3,0,0,0.471,0.430338429538642,0.511661570461358,0.859,0.837429400787183,0.880570599212817,0.945,0.933140588152231,0.956859411847769
"Bayes_TTest_VarEqual","ghEqual",16121283,1000,10,10,1.5,3,1,-3,0,0,0.006,-0.000290927440687899,0.0122909274406879,0.063,0.0479409997144565,0.0780590002855435,0.16,0.140929348202015,0.179070651797985
"Bayes_TTest_VarEqual","ghEqual",66191,1000,10,10,2,3,1,1,0,0,0.101,0.0764536800105596,0.12554631998944,0.295,0.266734176820761,0.323265823179239,0.41,0.384415093365423,0.435584906634577
"Bayes_TTest_VarEqual","ghEqual",262344405,1000,10,10,2,3,3,3,0,0,0.111,0.0854107104455008,0.136589289554499,0.266,0.238612971128653,0.293387028871347,0.371,0.345870827948876,0.396129172051124
"Bayes_TTest_VarEqual","ghEqual",148200,1000,10,10,2,3,1,3,0,0,0.22,0.186255383220431,0.253744616779569,0.45,0.419165019863798,0.480834980136202,0.554,0.528142399935416,0.579857600064585
"Bayes_TTest_VarEqual","ghEqual",24809214,1000,10,10,2,3,-1,1,0,0,0.442,0.401544824193485,0.482455175806515,0.806,0.781491064029624,0.830508935970376,0.928,0.914553596525465,0.941446403474536
"Bayes_TTest_VarEqual","ghEqual",4961158,1000,10,10,2,3,-3,3,0,0,0.883,0.856817015939049,0.909182984060951,0.997,0.993610276471451,1.00038972352855,1,1,1
"Bayes_TTest_VarEqual","ghEqual",79234595,1000,10,10,2,3,-1,3,0,0,0.692,0.654392517319874,0.729607482680126,0.956,0.943288074009026,0.968711925990974,0.993,0.988662998757782,0.997337001242218
"Bayes_TTest_VarEqual","ghEqual",428792,1000,10,10,2,3,1,-3,0,0,0.012,0.00313017698846251,0.0208698230115375,0.045,0.0321511572505536,0.0578488427494463,0.098,0.0825338503207812,0.113466149679219
"Bayes_TTest_VarEqual","ghEqual",106688,1000,10,10,2.5,3,1,1,0,0,0.202,0.169294334617746,0.234705665382255,0.436,0.405264600109971,0.466735399890029,0.559,0.533171980777168,0.584828019222832
"Bayes_TTest_VarEqual","ghEqual",14939684,1000,10,10,2.5,3,3,3,0,0,0.158,0.128288098412656,0.187711901587344,0.36,0.330249291773136,0.389750708226864,0.5,0.473990266245115,0.526009733754885
"Bayes_TTest_VarEqual","ghEqual",135420438,1000,10,10,2.5,3,1,3,0,0,0.31,0.272325174368021,0.347674825631979,0.565,0.534272662985543,0.595727337014457,0.664,0.639429183945176,0.688570816054824
"Bayes_TTest_VarEqual","ghEqual",738178,1000,10,10,2.5,3,-1,1,0,0,0.676,0.637876592457861,0.714123407542139,0.944,0.929749303792446,0.958250696207554,0.995,0.991330875530184,0.998669124469816
"Bayes_TTest_VarEqual","ghEqual",19218,1000,10,10,2.5,3,-3,3,0,0,0.955,0.938112949529299,0.971887050470701,1,1,1,1,1,1
"Bayes_TTest_VarEqual","ghEqual",34273,1000,10,10,2.5,3,-1,3,0,0,0.875,0.848059547145603,0.901940452854397,0.992,0.986478502232184,0.997521497767816,1,1,1
"Bayes_TTest_VarEqual","ghEqual",1870942,1000,10,10,2.5,3,1,-3,0,0,0.032,0.017662992035435,0.046337007964565,0.067,0.0515034759510399,0.0824965240489601,0.113,0.0965310112097008,0.129468988790299
"Bayes_TTest_VarEqual","ghEqual",22392661,1000,20,20,0,1,1,1,0,1,0.006,-0.000290927440687899,0.0122909274406879,0.056,0.0417493037924458,0.0702506962075542,0.108,0.0918541762551426,0.124145823744857
"Bayes_TTest_VarEqual","ghEqual",52267015,1000,20,20,0,1,3,3,0,1,0.01,0.00189480522134107,0.0181051947786589,0.042,0.0295673567733969,0.0544326432266031,0.095,0.0797471150474738,0.110252884952526
"Bayes_TTest_VarEqual","ghEqual",6351271,1000,20,20,0,1,1,3,0,1,0.027,0.0137966492398331,0.0402033507601669,0.1,0.0814058073582099,0.11859419264179,0.174,0.154278926573333,0.193721073426667
"Bayes_TTest_VarEqual","ghEqual",32579305,1000,20,20,0,1,-1,1,0,1,0.149,0.119992936015101,0.178007063984899,0.453,0.422146897958228,0.483853102041772,0.595,0.569464057206067,0.620535942793933
"Bayes_TTest_VarEqual","ghEqual",226807,1000,20,20,0,1,-3,3,0,1,0.724,0.687585891423461,0.760414108576539,0.934,0.918611316157644,0.949388683842356,0.967,0.957707424265845,0.976292575734155
"Bayes_TTest_VarEqual","ghEqual",197499430,1000,20,20,0,1,-1,3,0,1,0.388,0.348304851356167,0.427695148643833,0.728,0.700419241025672,0.755580758974328,0.849,0.830374487954019,0.867625512045981
"Bayes_TTest_VarEqual","ghEqual",94768,1000,20,20,0,1,1,-3,0,1,0.42,0.379794589498427,0.460205410501573,0.749,0.722125905440369,0.775874094559631,0.869,0.851448613160921,0.886551386839079
"Bayes_TTest_VarEqual","ghEqual",3392516,1000,20,20,0.5,3,1,1,0,0,0.021,0.00931989217584016,0.0326801078241598,0.087,0.0695316821187614,0.104468317881239,0.164,0.144738461857889,0.183261538142111
"Bayes_TTest_VarEqual","ghEqual",54452200,1000,20,20,0.5,3,3,3,0,0,0.02,0.00859556184636876,0.0314044381536312,0.083,0.0659006427723145,0.100099357227685,0.14,0.121949919390762,0.158050080609238
"Bayes_TTest_VarEqual","ghEqual",3045413,1000,20,20,0.5,3,1,3,0,0,0.068,0.0474927100821196,0.0885072899178804,0.21,0.184754773916639,0.235245226083361,0.31,0.285941347762187,0.334058652237813
