"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarUnequal","Cauchy",115132,1000,10,10,0,1,1,1,0,0,0,0.014,0.00671786800449209,0.0212821319955079,0.035,0.0254398747720022,0.0445601252279978
"Bayes_TTest_VarUnequal","Cauchy",18335408,1000,10,10,0,0.5,0.5,1,0,0,0,0.007,0.00183250915820841,0.0121674908417916,0.034,0.0245725568100359,0.0434274431899641
"Bayes_TTest_VarUnequal","Cauchy",32504,1000,10,10,0,2,2,1,0,0,0,0.003,-0.000389723528549194,0.00638972352854919,0.028,0.0194182066909066,0.0365817933090934
"Bayes_TTest_VarUnequal","Cauchy",2442602,1000,10,10,0,0.5,2,1,0.001,-0.0015747116778389,0.0035747116778389,0.013,0.0059792044895183,0.0200207955104817,0.038,0.0280540737032693,0.0479459262967307
"Bayes_TTest_VarUnequal","Cauchy",62233,1000,10,10,0,1,2,1,0,0,0,0.009,0.00314651980442404,0.014853480195576,0.038,0.0280540737032693,0.0479459262967307
"Bayes_TTest_VarUnequal","Cauchy",85378677,1000,10,10,0.5,1,1,0,0.001,-0.0015747116778389,0.0035747116778389,0.015,0.00746610061123723,0.0225338993887628,0.053,0.0413458976847206,0.0646541023152794
"Bayes_TTest_VarUnequal","Cauchy",322571,1000,10,10,0.5,0.5,0.5,0,0.012,0.00313017698846251,0.0208698230115375,0.054,0.0399912779169547,0.0680087220830453,0.107,0.0909200934463225,0.123079906553677
"Bayes_TTest_VarUnequal","Cauchy",165381,1000,10,10,0.5,2,2,0,0,0,0,0.016,0.00822297290733792,0.0237770270926621,0.049,0.0377706607952649,0.0602293392047351
"Bayes_TTest_VarUnequal","Cauchy",4281158,1000,10,10,0.5,0.5,2,0,0.001,-0.0015747116778389,0.0035747116778389,0.02,0.011322710100498,0.028677289899502,0.051,0.0395558353745238,0.0624441646254762
"Bayes_TTest_VarUnequal","Cauchy",83663847,1000,10,10,0.5,1,2,0,0.002,-0.00163936929920556,0.00563936929920556,0.016,0.00822297290733792,0.0237770270926621,0.055,0.0431405881522312,0.0668594118477688
"Bayes_TTest_VarUnequal","Cauchy",481633,1000,10,10,1,1,1,0,0.008,0.000743174362298623,0.0152568256377014,0.061,0.0461661533512039,0.0758338466487961,0.101,0.0853250402241345,0.116674959775865
"Bayes_TTest_VarUnequal","Cauchy",3183823,1000,10,10,1,0.5,0.5,0,0.057,0.0381140370704589,0.0758859629295411,0.167,0.143882716041888,0.190117283958112,0.234,0.211976404809841,0.256023595190159
"Bayes_TTest_VarUnequal","Cauchy",41907,1000,10,10,1,2,2,0,0.002,-0.00163936929920556,0.00563936929920556,0.014,0.00671786800449209,0.0212821319955079,0.047,0.0359906600663346,0.0580093399336654
"Bayes_TTest_VarUnequal","Cauchy",14675494,1000,10,10,1,0.5,2,0,0.006,-0.000290927440687899,0.0122909274406879,0.034,0.0227673017311066,0.0452326982688934,0.085,0.0704927227097915,0.0995072772902085
"Bayes_TTest_VarUnequal","Cauchy",27670,1000,10,10,1,1,2,0,0.007,0.000208440607931048,0.013791559392069,0.028,0.0177748845678887,0.0382251154321113,0.062,0.0494552166260234,0.0745447833739766
"Bayes_TTest_VarUnequal","Cauchy",1293229,1000,10,10,1.5,1,1,0,0.031,0.0168814988308249,0.0451185011691751,0.097,0.0786563475392713,0.115343652460729,0.17,0.150459781794975,0.189540218205025
"Bayes_TTest_VarUnequal","Cauchy",200507,1000,10,10,1.5,0.5,0.5,0,0.168,0.137544750433201,0.198455249566799,0.309,0.280359912877228,0.337640087122772,0.396,0.370559129661114,0.421440870338886
