"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarUnequal","Logistic",80642,1000,10,10,0,1,1,0.004,-0.00114168567534034,0.00914168567534034,0.035,0.0236092124943005,0.0463907875056995,0.077,0.0631320548466977,0.0908679451533023
"Bayes_TTest_VarUnequal","Logistic",53445,1000,10,10,0,3,1,0.006,-0.000290927440687899,0.0122909274406879,0.039,0.0270008614309193,0.0509991385690807,0.078,0.0640498568501968,0.0919501431498032
"Bayes_TTest_VarUnequal","Logistic",128735950,1000,10,10,0.5,1,0,0.023,0.0107888361530934,0.0352111638469066,0.075,0.0586748353760215,0.0913251646239785,0.139,0.121004045844274,0.156995954155726
"Bayes_TTest_VarUnequal","Logistic",1493600,1000,10,10,1.5,1,0,0.169,0.138472606634958,0.199527393365042,0.411,0.380504579255239,0.441495420744761,0.548,0.522110396519066,0.573889603480934
"Bayes_TTest_VarUnequal","Logistic",937273,1000,10,10,2,1,0,0.337,0.298494960492735,0.375505039507265,0.624,0.593977815562488,0.654022184437512,0.761,0.738815115033541,0.783184884966459
"Bayes_TTest_VarUnequal","Logistic",12804575,1000,10,10,2.5,1,0,0.574,0.5337184100286,0.6142815899714,0.8,0.77520774314428,0.82479225685572,0.894,0.877986450952397,0.910013549047603
"Bayes_TTest_VarUnequal","Logistic",36725,1000,10,10,0.5,3,0,0.005,-0.000745692786775151,0.0107456927867752,0.047,0.0338824885896753,0.0601175114103247,0.097,0.0816044345418884,0.112395565458112
"Bayes_TTest_VarUnequal","Logistic",9097443,1000,10,10,1.5,3,0,0.014,0.00442919794876103,0.023570802051239,0.086,0.0686228562070748,0.103377143792925,0.156,0.137124458270026,0.174875541729974
"Bayes_TTest_VarUnequal","Logistic",36603,1000,10,10,2,3,0,0.035,0.0200292507067949,0.0499707492932051,0.124,0.103572323715116,0.144427676284884,0.228,0.206175616929682,0.249824383070318
"Bayes_TTest_VarUnequal","Logistic",4095603,1000,10,10,2.5,3,0,0.031,0.0168814988308249,0.0451185011691751,0.148,0.125990674849055,0.170009325150945,0.253,0.230385527404447,0.275614472595553
