"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Bayes_TTest_VarUnequal","Normal",865232,1000,10,10,0,1,1,0.007,0.000208440607931048,0.013791559392069,0.034,0.0227673017311066,0.0452326982688934,0.086,0.0714156114595092,0.100584388540491
"Bayes_TTest_VarUnequal","Normal",90437255,1000,10,10,0,3,1,0.006,-0.000290927440687899,0.0122909274406879,0.036,0.0244536202037175,0.0475463797962825,0.076,0.0622149392601991,0.0897850607398009
"Bayes_TTest_VarUnequal","Normal",18971,1000,10,10,0.5,1,0,0.064,0.0440623590787676,0.0839376409212324,0.198,0.173301200158712,0.222698799841288,0.308,0.283984352092854,0.332015647907146
"Bayes_TTest_VarUnequal","Normal",945734,1000,10,10,1.5,1,0,0.642,0.602946956421605,0.681053043578395,0.864,0.842753744649939,0.885246255350061,0.929,0.915640108422034,0.942359891577966
"Bayes_TTest_VarUnequal","Normal",62964,1000,10,10,2,1,0,0.909,0.885571283540407,0.932428716459593,0.982,0.973759604281347,0.990240395718653,0.997,0.994155053467111,0.999844946532889
"Bayes_TTest_VarUnequal","Normal",8173765,1000,10,10,2.5,1,0,0.996,0.99085831432466,1.00114168567534,0.999,0.997040980245123,1.00095901975488,1,1,1
"Bayes_TTest_VarUnequal","Normal",38480493,1000,10,10,0.5,3,0,0.012,0.00313017698846251,0.0208698230115375,0.058,0.0435124309285512,0.0724875690714488,0.113,0.0965310112097008,0.129468988790299
"Bayes_TTest_VarUnequal","Normal",104810,1000,10,10,1.5,3,0,0.056,0.0372705135557859,0.0747294864442141,0.197,0.172348295280042,0.221651704719958,0.315,0.290836131427791,0.339163868572209
"Bayes_TTest_VarUnequal","Normal",22247,1000,10,10,2,3,0,0.093,0.0693412945963647,0.116658705403635,0.267,0.239580237462735,0.294419762537265,0.383,0.35771238497258,0.40828761502742
"Bayes_TTest_VarUnequal","Normal",23601799,1000,10,10,2.5,3,0,0.17,0.139400849789578,0.200599150210423,0.419,0.388419037582182,0.449580962417818,0.548,0.522110396519066,0.573889603480934
"Bayes_TTest_VarUnequal","Normal",178824659,1000,20,20,0,1,1,0.009,0.00130685460010016,0.0166931453998998,0.033,0.0219279948699434,0.0440720051300566,0.093,0.0778918593210481,0.108108140678952
"Bayes_TTest_VarUnequal","Normal",404059,1000,20,20,0,3,1,0.013,0.00377266875765262,0.0222273312423474,0.057,0.0426302455970883,0.0713697544029117,0.096,0.0806755204460315,0.111324479553969
"Bayes_TTest_VarUnequal","Normal",711287,1000,20,20,0.5,1,0,0.116,0.0899143906694898,0.14208560933051,0.311,0.282308987358408,0.339691012641592,0.448,0.422131309302556,0.473868690697444
"Bayes_TTest_VarUnequal","Normal",17693407,1000,20,20,1.5,1,0,0.967,0.952448221829068,0.981551778170932,0.998,0.995230914663648,1.00076908533635,0.999,0.997355822705728,1.00064417729427
"Bayes_TTest_VarUnequal","Normal",2977005,1000,20,20,2,1,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarUnequal","Normal",33955357,1000,20,20,2.5,1,0,1,1,1,1,1,1,1,1,1
"Bayes_TTest_VarUnequal","Normal",4011270,1000,20,20,0.5,3,0,0.019,0.00787865885497617,0.0301213411450238,0.072,0.0559787533069364,0.0880212466930635,0.133,0.11533550315534,0.15066449684466
"Bayes_TTest_VarUnequal","Normal",798956,1000,20,20,1.5,3,0,0.126,0.0989674604185252,0.153032539581475,0.32,0.291087508581929,0.348912491418071,0.449,0.423125922644952,0.474874077355048
"Bayes_TTest_VarUnequal","Normal",32783,1000,20,20,2,3,0,0.288,0.25111225564695,0.32488774435305,0.52,0.48903448111205,0.55096551888795,0.657,0.632305761000286,0.681694238999714
"Bayes_TTest_VarUnequal","Normal",220166615,1000,20,20,2.5,3,0,0.452,0.411457982634112,0.492542017365888,0.707,0.678790227196945,0.735209772803055,0.822,0.802101890695345,0.841898109304655
