"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"CVM","Cauchy",281197,1000,10,10,0,1,1,1,0.006,-0.000290927440687899,0.0122909274406879,0.05,0.0364916322229516,0.0635083677770484,0.101,0.0853250402241345,0.116674959775865
"CVM","Cauchy",5203767,1000,10,10,0,0.5,0.5,1,0.01,0.00189480522134107,0.0181051947786589,0.051,0.0373643995951773,0.0646356004048227,0.11,0.0937236414545513,0.126276358545449
"CVM","Cauchy",128137167,1000,10,10,0,2,2,1,0.006,-0.000290927440687899,0.0122909274406879,0.047,0.0338824885896753,0.0601175114103247,0.101,0.0853250402241345,0.116674959775865
"CVM","Cauchy",18310542,1000,10,10,0,0.5,2,1,0.024,0.0115325857923946,0.0364674142076054,0.11,0.0906068919458484,0.129393108054152,0.214,0.192665421750126,0.235334578249874
"CVM","Cauchy",72170,1000,10,10,0,1,2,1,0.014,0.00442919794876103,0.023570802051239,0.069,0.0532907497823734,0.0847092502176266,0.152,0.133323924437934,0.170676075562066
"CVM","Cauchy",4329481,1000,10,10,0.5,1,1,0,0.021,0.00931989217584016,0.0326801078241598,0.088,0.0704412002232499,0.10555879977675,0.158,0.139026367192865,0.176973632807135
"CVM","Cauchy",835858,1000,10,10,0.5,0.5,0.5,0,0.084,0.0614039129815802,0.10659608701842,0.224,0.198158903305007,0.249841096694993,0.339,0.314375553285911,0.363624446714089
"CVM","Cauchy",89151,1000,10,10,0.5,2,2,0,0.011,0.00250349441805633,0.0194965055819437,0.056,0.0417493037924458,0.0702506962075542,0.116,0.0993420701286144,0.132657929871386
"CVM","Cauchy",2750026,1000,10,10,0.5,0.5,2,0,0.025,0.0122820190281633,0.0377179809718367,0.126,0.105431763361921,0.146568236638079,0.255,0.232326731612425,0.277673268387575
"CVM","Cauchy",234668086,1000,10,10,0.5,1,2,0,0.018,0.00716976562691277,0.0288302343730872,0.082,0.0649946984266671,0.099005301573333,0.164,0.144738461857889,0.183261538142111
"CVM","Cauchy",33885,1000,10,10,1,1,1,0,0.091,0.0675712835404071,0.114428716459593,0.229,0.202956400893886,0.255043599106114,0.346,0.321254694160306,0.370745305839694
"CVM","Cauchy",206459,1000,10,10,1,0.5,0.5,0,0.297,0.259777825066017,0.334222174933983,0.559,0.528226189862157,0.589773810137843,0.697,0.67309418217724,0.72090581782276
"CVM","Cauchy",30704,1000,10,10,1,2,2,0,0.03,0.0161039184803773,0.0438960815196227,0.088,0.0704412002232499,0.10555879977675,0.147,0.128579598788979,0.165420401211021
"CVM","Cauchy",302691,1000,10,10,1,0.5,2,0,0.079,0.0570270068951906,0.100972993104809,0.229,0.202956400893886,0.255043599106114,0.388,0.362651195838857,0.413348804161143
"CVM","Cauchy",6603732,1000,10,10,1,1,2,0,0.052,0.0339136180042552,0.0700863819957448,0.159,0.13633516136391,0.18166483863609,0.267,0.243986985013367,0.290013014986633
"CVM","Cauchy",107516,1000,10,10,1.5,1,1,0,0.161,0.131060828563502,0.190939171436498,0.366,0.336143338592535,0.395856661407465,0.515,0.489001973259976,0.540998026740024
"CVM","Cauchy",216040811,1000,10,10,1.5,0.5,0.5,0,0.587,0.546891175391742,0.627108824608258,0.804,0.779395636679646,0.828604363320354,0.885,0.868404648410624,0.901595351589376
"CVM","Cauchy",1477953,1000,10,10,1.5,2,2,0,0.039,0.0232297035949225,0.0547702964050775,0.146,0.124114249969444,0.167885750030556,0.247,0.224565733892659,0.269434266107341
"CVM","Cauchy",63890,1000,10,10,1.5,0.5,2,0,0.155,0.125519145846838,0.184480854153162,0.373,0.343026030733318,0.402973969266682,0.532,0.506043588838208,0.557956411161792
"CVM","Cauchy",146869792,1000,10,10,1.5,1,2,0,0.091,0.0675712835404071,0.114428716459593,0.245,0.218342919139561,0.271657080860439,0.371,0.345870827948876,0.396129172051124
"CVM","Cauchy",40433,1000,10,10,2,1,1,0,0.302,0.264599531584538,0.339400468415462,0.572,0.541332669734716,0.602667330265284,0.688,0.663898869271339,0.712101130728661
"CVM","Cauchy",170502356,1000,10,10,2,0.5,0.5,0,0.688,0.650258654858948,0.725741345141052,0.893,0.873840962404129,0.912159037595871,0.954,0.94310269753104,0.96489730246896
"CVM","Cauchy",64901,1000,10,10,2,2,2,0,0.094,0.0702275531914782,0.117772446808522,0.25,0.223161594682247,0.276838405317753,0.359,0.334045886772418,0.383954113227582
"CVM","Cauchy",12318952,1000,10,10,2,0.5,2,0,0.245,0.209964979440565,0.280035020559435,0.508,0.477013645945352,0.538986354054648,0.669,0.644521040259541,0.693478959740459
"CVM","Cauchy",243904503,1000,10,10,2,1,2,0,0.156,0.126441704865402,0.185558295134598,0.371,0.341058858832703,0.400941141167297,0.507,0.480992815323934,0.533007184676066
"CVM","Cauchy",121626,1000,10,10,2.5,1,1,0,0.402,0.362059869713583,0.441940130286417,0.661,0.631660233702362,0.690339766297638,0.782,0.760521817630442,0.803478182369558
"CVM","Cauchy",91467,1000,10,10,2.5,0.5,0.5,0,0.839,0.809060828563502,0.868939171436498,0.956,0.943288074009026,0.968711925990974,0.984,0.977472852261516,0.990527147738484
"CVM","Cauchy",58863,1000,10,10,2.5,2,2,0,0.13,0.102604630581064,0.157395369418936,0.325,0.295969826042547,0.354030173957453,0.447,0.421136801710249,0.472863198289751
"CVM","Cauchy",44679369,1000,10,10,2.5,0.5,2,0,0.384,0.344381153498064,0.423618846501936,0.656,0.626556650625311,0.685443349374689,0.777,0.755346463157835,0.798653536842165
"CVM","Cauchy",2838016,1000,10,10,2.5,1,2,0,0.25,0.214726667296667,0.285273332703333,0.499,0.468009740911054,0.529990259088946,0.649,0.6241719958721,0.6738280041279
"CVM","Cauchy",530966,1000,20,20,0,1,1,1,0.009,0.00130685460010016,0.0166931453998998,0.041,0.0287098466079548,0.0532901533920452,0.083,0.0686487537553354,0.0973512462446646
"CVM","Cauchy",4712537,1000,20,20,0,0.5,0.5,1,0.009,0.00130685460010016,0.0166931453998998,0.046,0.0330159800369839,0.0589840199630161,0.092,0.0769650239641029,0.107034976035897
"CVM","Cauchy",65229,1000,20,20,0,2,2,1,0.008,0.000743174362298623,0.0152568256377014,0.06,0.0452804130492734,0.0747195869507266,0.116,0.0993420701286144,0.132657929871386
"CVM","Cauchy",837429,1000,20,20,0,0.5,2,1,0.048,0.0305865448547395,0.0654134551452605,0.244,0.217379765170082,0.270620234829918,0.429,0.403253831780729,0.454746168219271
"CVM","Cauchy",602270,1000,20,20,0,1,2,1,0.017,0.00646954641356793,0.0275304535864321,0.079,0.062281418289819,0.095718581710181,0.172,0.152368870220998,0.191631129779001
"CVM","Cauchy",615589,1000,20,20,0.5,1,1,0,0.051,0.0330789251822331,0.0689210748177669,0.148,0.125990674849055,0.170009325150945,0.248,0.225535297945443,0.270464702054557
"CVM","Cauchy",1322208,1000,20,20,0.5,0.5,0.5,0,0.196,0.163662836778963,0.228337163221037,0.396,0.365687473638774,0.426312526361226,0.527,0.501028216122588,0.552971783877412
"CVM","Cauchy",113855910,1000,20,20,0.5,2,2,0,0.018,0.00716976562691277,0.0288302343730872,0.067,0.0515034759510399,0.0824965240489601,0.123,0.105914871297675,0.140085128702325
"CVM","Cauchy",455334,1000,20,20,0.5,0.5,2,0,0.087,0.0640416393560864,0.109958360643914,0.321,0.292063668262891,0.349936331737109,0.518,0.492007126016925,0.543992873983075
"CVM","Cauchy",1585434,1000,20,20,0.5,1,2,0,0.031,0.0168814988308249,0.0451185011691751,0.131,0.110087709298118,0.151912290701882,0.218,0.196521817630442,0.239478182369558
