"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Cucconi","Cauchy",1463684,1000,10,10,0,1,1,1,0.012,0.00313017698846251,0.0208698230115375,0.053,0.0391142610711565,0.0668857389288435,0.099,0.0834637609449713,0.114536239055029
"Cucconi","Cauchy",63101,1000,10,10,0,0.5,0.5,1,0.007,0.000208440607931048,0.013791559392069,0.043,0.0304267871409094,0.0555732128590905,0.103,0.0871882209800731,0.118811779019927
"Cucconi","Cauchy",278644,1000,10,10,0,2,2,1,0.01,0.00189480522134107,0.0181051947786589,0.054,0.0399912779169547,0.0680087220830453,0.087,0.0723390903496747,0.101660909650325
"Cucconi","Cauchy",49637,1000,10,10,0,0.5,2,1,0.146,0.117235871388412,0.174764128611588,0.347,0.317496237772108,0.376503762227892,0.469,0.44304030508702,0.49495969491298
"Cucconi","Cauchy",350138,1000,10,10,0,1,2,1,0.029,0.0153304419828584,0.0426695580171416,0.099,0.0804887364450722,0.117511263554928,0.185,0.164800967365366,0.205199032634634
"Cucconi","Cauchy",37680,1000,10,10,0.5,1,1,0,0.014,0.00442919794876103,0.023570802051239,0.071,0.05508183131136,0.08691816868864,0.136,0.118168321402627,0.153831678597373
"Cucconi","Cauchy",1265016,1000,10,10,0.5,0.5,0.5,0,0.06,0.0406542571504736,0.0793457428495263,0.174,0.150502550810779,0.19749744918922,0.256,0.233297569610282,0.278702430389718
"Cucconi","Cauchy",9908375,1000,10,10,0.5,2,2,0,0.006,-0.000290927440687899,0.0122909274406879,0.066,0.0506113161576436,0.0813886838423564,0.125,0.107796178204393,0.142203821795607
"Cucconi","Cauchy",4937709,1000,10,10,0.5,0.5,2,0,0.169,0.138472606634958,0.199527393365042,0.378,0.347946354204523,0.408053645795477,0.505,0.478991566764317,0.531008433235683
"Cucconi","Cauchy",16924,1000,10,10,0.5,1,2,0,0.034,0.0192370251323116,0.0487629748676884,0.131,0.110087709298118,0.151912290701882,0.203,0.182076078503899,0.223923921496101
"Cucconi","Cauchy",1550988,1000,10,10,1,1,1,0,0.07,0.0492156545063358,0.0907843454936642,0.173,0.149555991093672,0.196444008906328,0.264,0.241069856485403,0.286930143514597
"Cucconi","Cauchy",88142,1000,10,10,1,0.5,0.5,0,0.235,0.200460940510778,0.269539059489222,0.447,0.416184274378169,0.477815725621831,0.558,0.532165852406166,0.583834147593834
"Cucconi","Cauchy",58807,1000,10,10,1,2,2,0,0.017,0.00646954641356793,0.0275304535864321,0.098,0.079572247190718,0.116427752809282,0.168,0.148551674869028,0.187448325130972
"Cucconi","Cauchy",19832353,1000,10,10,1,0.5,2,0,0.219,0.185310587846268,0.252689412153732,0.433,0.402289170353115,0.463710829646885,0.568,0.54223192691721,0.59376807308279
"Cucconi","Cauchy",324134,1000,10,10,1,1,2,0,0.046,0.0289352880486074,0.0630647119513926,0.185,0.16093306749916,0.20906693250084,0.276,0.252746425229656,0.299253574770344
"Cucconi","Cauchy",39625658,1000,10,10,1.5,1,1,0,0.138,0.10990435318673,0.16609564681327,0.303,0.274516472381392,0.331483527618608,0.424,0.398292486514639,0.449707513485361
"Cucconi","Cauchy",23345,1000,10,10,1.5,0.5,0.5,0,0.491,0.450276462553653,0.531723537446347,0.668,0.638811394661615,0.697188605338385,0.761,0.738815115033541,0.783184884966459
"Cucconi","Cauchy",19246395,1000,10,10,1.5,2,2,0,0.03,0.0161039184803773,0.0438960815196227,0.117,0.0970781643014505,0.136921835698549,0.192,0.171510932319893,0.212489067680107
"Cucconi","Cauchy",1038407,1000,10,10,1.5,0.5,2,0,0.289,0.2520742282856,0.3259257717144,0.513,0.482020155429699,0.543979844570301,0.637,0.611985666773328,0.662014333226672
"Cucconi","Cauchy",816308,1000,10,10,1.5,1,2,0,0.105,0.0800280747718563,0.129971925228144,0.263,0.235712252390496,0.290287747609504,0.376,0.350802809489945,0.401197190510055
