"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Cucconi","ghEqual",623445,1000,10,10,0,1,1,1,0,1,0.005,-0.000745692786775151,0.0107456927867752,0.051,0.0373643995951773,0.0646356004048227,0.113,0.0965310112097008,0.129468988790299
"Cucconi","ghEqual",61952,1000,10,10,0,1,3,3,0,1,0.006,-0.000290927440687899,0.0122909274406879,0.046,0.0330159800369839,0.0589840199630161,0.087,0.0723390903496747,0.101660909650325
"Cucconi","ghEqual",134683,1000,10,10,0,1,1,3,0,1,0.041,0.0248472269704549,0.0571527730295451,0.155,0.132568915318246,0.177431084681754,0.256,0.233297569610282,0.278702430389718
"Cucconi","ghEqual",101918,1000,10,10,0,1,-1,1,0,1,0.027,0.0137966492398331,0.0402033507601669,0.087,0.0695316821187614,0.104468317881239,0.167,0.14759799382087,0.18640200617913
"Cucconi","ghEqual",21913011,1000,10,10,0,1,-3,3,0,1,0.045,0.0281129495292991,0.0618870504707009,0.18,0.156187814883972,0.203812185116028,0.304,0.280071949649,0.327928050351
"Cucconi","ghEqual",438032,1000,10,10,0,1,-1,3,0,1,0.04,0.0240371118402715,0.0559628881597285,0.146,0.124114249969444,0.167885750030556,0.25,0.2274749098226,0.2725250901774
"Cucconi","ghEqual",18392173,1000,10,10,0,1,1,-3,0,1,0.039,0.0232297035949225,0.0547702964050775,0.14,0.118493520976227,0.161506479023773,0.248,0.225535297945443,0.270464702054557
"Cucconi","ghEqual",9087343,1000,10,10,0.5,3,1,1,0,0,0.014,0.00442919794876103,0.023570802051239,0.074,0.0577752720084434,0.0902247279915566,0.141,0.1228961042321,0.1591038957679
"Cucconi","ghEqual",1653034,1000,10,10,0.5,3,3,3,0,0,0.074,0.0526760717825256,0.0953239282174744,0.251,0.224125905440369,0.277874094559631,0.365,0.339956259377341,0.390043740622659
"Cucconi","ghEqual",42179944,1000,10,10,0.5,3,1,3,0,0,0.085,0.062282221094482,0.107717778905518,0.25,0.223161594682247,0.276838405317753,0.389,0.363639295830459,0.414360704169542
"Cucconi","ghEqual",3076900,1000,10,10,0.5,3,-1,1,0,0,0.032,0.017662992035435,0.046337007964565,0.114,0.0943018537318863,0.133698146268114,0.219,0.197486380825742,0.240513619174258
"Cucconi","ghEqual",258097,1000,10,10,0.5,3,-3,3,0,0,0.099,0.0746709107563805,0.123329089243619,0.281,0.253140476989008,0.308859523010992,0.43,0.404246423015433,0.455753576984567
"Cucconi","ghEqual",46883397,1000,10,10,0.5,3,-1,3,0,0,0.068,0.0474927100821196,0.0885072899178804,0.215,0.189536967187705,0.240463032812295,0.359,0.334045886772418,0.383954113227582
"Cucconi","ghEqual",47019823,1000,10,10,0.5,3,1,-3,0,0,0.029,0.0153304419828584,0.0426695580171416,0.1,0.0814058073582099,0.11859419264179,0.177,0.157145797226406,0.196854202773594
"Cucconi","ghEqual",219537,1000,10,10,1,3,1,1,0,0,0.041,0.0248472269704549,0.0571527730295451,0.145,0.123176563973563,0.166823436026437,0.262,0.239125862422815,0.284874137577185
"Cucconi","ghEqual",742342,1000,10,10,1,3,3,3,0,0,0.179,0.147772015672093,0.210227984327907,0.398,0.367661377855941,0.428338622144059,0.547,0.521105432214941,0.572894567785059
"Cucconi","ghEqual",174996,1000,10,10,1,3,1,3,0,0,0.132,0.104426449793761,0.159573550206239,0.375,0.344993750650906,0.405006249349094,0.534,0.508050470426229,0.559949529573771
"Cucconi","ghEqual",312642,1000,10,10,1,3,-1,1,0,0,0.062,0.0423554030569217,0.0816445969430783,0.198,0.173301200158712,0.222698799841288,0.328,0.303577649449736,0.352422350550264
"Cucconi","ghEqual",269886,1000,10,10,1,3,-3,3,0,0,0.204,0.17117403695268,0.23682596304732,0.456,0.425129906666808,0.486870093333192,0.593,0.567444142750144,0.618555857249856
"Cucconi","ghEqual",18786928,1000,10,10,1,3,-1,3,0,0,0.147,0.1181544355504,0.1758455644496,0.343,0.313577076936511,0.372422923063489,0.477,0.451017799116029,0.50298220088397
"Cucconi","ghEqual",162776993,1000,10,10,1,3,1,-3,0,0,0.032,0.017662992035435,0.046337007964565,0.096,0.0777410456378247,0.114258954362175,0.151,0.132374487954019,0.169625512045981
"Cucconi","ghEqual",161690303,1000,10,10,1.5,3,1,1,0,0,0.093,0.0693412945963647,0.116658705403635,0.272,0.244419241025672,0.299580758974328,0.413,0.387387027763748,0.438612972236252
"Cucconi","ghEqual",419094,1000,10,10,1.5,3,3,3,0,0,0.203,0.170234029316744,0.235765970683256,0.498,0.46700992685391,0.52899007314609,0.658,0.633323026078954,0.682676973921046
"Cucconi","ghEqual",1860692,1000,10,10,1.5,3,1,3,0,0,0.216,0.18247793486457,0.24952206513543,0.514,0.483021829518191,0.544978170481809,0.662,0.63739330721328,0.68660669278672
"Cucconi","ghEqual",32410982,1000,10,10,1.5,3,-1,1,0,0,0.119,0.0926240996350077,0.145375900364992,0.345,0.315536368859219,0.374463631140781,0.495,0.468991566764317,0.521008433235683
"Cucconi","ghEqual",123398782,1000,10,10,1.5,3,-3,3,0,0,0.524,0.483316811911749,0.564683188088251,0.781,0.755366751622161,0.806633248377839,0.865,0.847223721723178,0.882776278276822
"Cucconi","ghEqual",1263838,1000,10,10,1.5,3,-1,3,0,0,0.252,0.216633105410624,0.287366894589376,0.519,0.488032062025379,0.549967937974621,0.672,0.647577649449736,0.696422350550264
"Cucconi","ghEqual",320000,1000,10,10,1.5,3,1,-3,0,0,0.036,0.0208247579820287,0.0511752420179712,0.099,0.0804887364450722,0.117511263554928,0.162,0.142833385017171,0.181166614982829
"Cucconi","ghEqual",307009,1000,10,10,2,3,1,1,0,0,0.151,0.121833240710974,0.180166759289026,0.388,0.357797169510127,0.418202830489873,0.551,0.525125922644952,0.576874077355048
"Cucconi","ghEqual",21001958,1000,10,10,2,3,3,3,0,0,0.289,0.2520742282856,0.3259257717144,0.591,0.560527262833805,0.621472737166195,0.75,0.7274749098226,0.7725250901774
