"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"KS","Normal",30537513,1000,10,10,0,1,1,0.003,-0.00145506520895037,0.00745506520895037,0.014,0.00671786800449209,0.0212821319955079,0.048,0.0368799946762603,0.0591200053237397
"KS","Normal",130518456,1000,10,10,0,3,1,0.002,-0.00163936929920556,0.00563936929920556,0.018,0.00975960428134668,0.0262403957186533,0.06,0.0476460609520688,0.0723539390479312
"KS","Normal",31590,1000,10,10,0.5,1,0,0.011,0.00250349441805633,0.0194965055819437,0.052,0.038238622394542,0.065761377605458,0.161,0.141881235631584,0.180118764368416
"KS","Normal",181519118,1000,10,10,1.5,1,0,0.29,0.253036419567363,0.326963580432637,0.554,0.523190944603899,0.584809055396101,0.782,0.760521817630442,0.803478182369558
"KS","Normal",200569,1000,10,10,2,1,0,0.64,0.60089906918755,0.67910093081245,0.846,0.823628164706489,0.868371835293511,0.948,0.936450272366848,0.959549727633152
"KS","Normal",3806705,1000,10,10,2.5,1,0,0.881,0.854624099635008,0.907375900364992,0.972,0.961774884567889,0.982225115432111,0.996,0.992716586593193,0.999283413406807
"KS","Normal",20686,1000,10,10,0.5,3,0,0.003,-0.00145506520895037,0.00745506520895037,0.014,0.00671786800449209,0.0212821319955079,0.056,0.0440395942543741,0.0679604057456259
"KS","Normal",34761,1000,10,10,1.5,3,0,0.014,0.00442919794876103,0.023570802051239,0.049,0.0356203617986135,0.0623796382013865,0.142,0.123842597600428,0.160157402399572
"KS","Normal",348222,1000,10,10,2,3,0,0.025,0.0122820190281633,0.0377179809718367,0.083,0.0659006427723145,0.100099357227685,0.211,0.189775101037343,0.232224898962657
"KS","Normal",135931840,1000,10,10,2.5,3,0,0.04,0.0240371118402715,0.0559628881597285,0.15,0.127868484010353,0.172131515989647,0.362,0.337000545807958,0.386999454192042
"KS","Normal",51989,1000,20,20,0,1,1,0.007,0.000208440607931048,0.013791559392069,0.033,0.0219279948699434,0.0440720051300566,0.087,0.0723390903496747,0.101660909650325
"KS","Normal",463048,1000,20,20,0,3,1,0.002,-0.00163936929920556,0.00563936929920556,0.037,0.0253004252384969,0.0486995747615031,0.084,0.0695704335616069,0.0984295664383931
"KS","Normal",65806,1000,20,20,0.5,1,0,0.073,0.0518092096019049,0.0941907903980951,0.228,0.201996479746004,0.254003520253996,0.335,0.310447307288711,0.359552692711289
"KS","Normal",20530,1000,20,20,1.5,1,0,0.86,0.831734341854469,0.888265658145531,0.975,0.965323275347515,0.984676724652484,0.99,0.98482412833428,0.99517587166572
"KS","Normal",4099078,1000,20,20,2,1,0,0.993,0.986208440607931,0.999791559392069,1,1,1,1,1,1
"KS","Normal",226672,1000,20,20,2.5,1,0,0.999,0.996425288322161,1.00157471167784,1,1,1,1,1,1
"KS","Normal",232821,1000,20,20,0.5,3,0,0.005,-0.000745692786775151,0.0107456927867752,0.047,0.0338824885896753,0.0601175114103247,0.107,0.0909200934463225,0.123079906553677
"KS","Normal",6152341,1000,20,20,1.5,3,0,0.06,0.0406542571504736,0.0793457428495263,0.195,0.170443225781874,0.219556774218126,0.333,0.308483925298388,0.357516074701612
"KS","Normal",4063827,1000,20,20,2,3,0,0.138,0.10990435318673,0.16609564681327,0.368,0.338109132471606,0.397890867528394,0.534,0.508050470426229,0.559949529573771
"KS","Normal",851065,1000,20,20,2.5,3,0,0.204,0.17117403695268,0.23682596304732,0.538,0.50709930859026,0.56890069140974,0.679,0.654714150149212,0.703285849850788
"KS","Normal",310283,1000,100,100,0,1,1,0.005,-0.000745692786775151,0.0107456927867752,0.043,0.0304267871409094,0.0555732128590905,0.077,0.0631320548466977,0.0908679451533023
"KS","Normal",9850596,1000,100,100,0,3,1,0.009,0.00130685460010016,0.0166931453998998,0.039,0.0270008614309193,0.0509991385690807,0.08,0.0658874722320911,0.0941125277679089
"KS","Normal",2958762,1000,100,100,0.5,1,0,0.613,0.573323662262552,0.652676337737447,0.823,0.799343928610185,0.846656071389814,0.887,0.870531011209701,0.903468988790299
"KS","Normal",404733,1000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1
"KS","Normal",1744634,1000,100,100,2,1,0,1,1,1,1,1,1,1,1,1
"KS","Normal",79197,1000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"KS","Normal",24715,1000,100,100,0.5,3,0,0.042,0.0256599546164645,0.0583400453835355,0.149,0.126929407837577,0.171070592162423,0.221,0.199416057867595,0.242583942132405
"KS","Normal",107113,1000,100,100,1.5,3,0,0.628,0.588627122964965,0.667372877035035,0.849,0.826807900540958,0.871192099459042,0.922,0.908049856850197,0.935950143149803
"KS","Normal",181183,1000,100,100,2,3,0,0.91,0.88668755580382,0.93331244419618,0.977,0.967708897073006,0.986291102926994,0.99,0.98482412833428,0.99517587166572
"KS","Normal",247659952,1000,100,100,2.5,3,0,0.986,0.976429197948761,0.995570802051239,0.996,0.992087847855719,0.999912152144281,1,1,1
"KS","Normal",32052161,1000,10,100,0,1,1,0.01,0.00189480522134107,0.0181051947786589,0.042,0.0295673567733969,0.0544326432266031,0.105,0.0890532542700713,0.120946745729929
"KS","Normal",4728698,1000,10,100,0,3,1,0.008,0.000743174362298623,0.0152568256377014,0.035,0.0236092124943005,0.0463907875056995,0.093,0.0778918593210481,0.108108140678952
"KS","Normal",3793881,1000,10,100,0.5,1,0,0.083,0.0605265590721848,0.105473440927815,0.236,0.209681644306682,0.262318355693318,0.373,0.347843275794035,0.398156724205965
"KS","Normal",50264,1000,10,100,1.5,1,0,0.87,0.842604630581063,0.897395369418936,0.973,0.962953972247699,0.983046027752301,0.988,0.982335846718176,0.993664153281824
"KS","Normal",39879,1000,10,100,2,1,0,0.989,0.980503494418056,0.997496505581944,0.999,0.997040980245123,1.00095901975488,0.999,0.997355822705728,1.00064417729427
"KS","Normal",18595092,1000,10,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"KS","Normal",323951956,1000,10,100,0.5,3,0,0.018,0.00716976562691277,0.0288302343730872,0.069,0.0532907497823734,0.0847092502176266,0.134,0.116279447945958,0.151720552054042
"KS","Normal",373101,1000,10,100,1.5,3,0,0.084,0.0614039129815802,0.10659608701842,0.217,0.191451416916001,0.242548583083999,0.363,0.337985666773328,0.388014333226672
"KS","Normal",1993214,1000,10,100,2,3,0,0.183,0.151502039660702,0.214497960339298,0.381,0.3509001810238,0.4110998189762,0.539,0.513069508566651,0.564930491433349
"KS","Normal",142668221,1000,10,100,2.5,3,0,0.291,0.253998828821995,0.328001171178005,0.54,0.509109007138002,0.570890992861998,0.693,0.669006052330327,0.716993947669673
