"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"KS","ghEqual",75226,1000,10,10,0,1,1,1,0,1,0.003,-0.00145506520895037,0.00745506520895037,0.015,0.00746610061123723,0.0225338993887628,0.053,0.0413458976847206,0.0646541023152794
"KS","ghEqual",354764485,1000,10,10,0,1,3,3,0,1,0.003,-0.00145506520895037,0.00745506520895037,0.013,0.0059792044895183,0.0200207955104817,0.051,0.0395558353745238,0.0624441646254762
"KS","ghEqual",78765314,1000,10,10,0,1,1,3,0,1,0.01,0.00189480522134107,0.0181051947786589,0.037,0.0253004252384969,0.0486995747615031,0.126,0.108737372821613,0.143262627178387
"KS","ghEqual",561732,1000,10,10,0,1,-1,1,0,1,0.007,0.000208440607931048,0.013791559392069,0.027,0.0169539722476991,0.0370460277523009,0.114,0.0974676272392618,0.130532372760738
"KS","ghEqual",2449667,1000,10,10,0,1,-3,3,0,1,0.022,0.0100511357687854,0.0339488642312146,0.102,0.083241663357323,0.120758336642677,0.297,0.273230404593788,0.320769595406212
"KS","ghEqual",316984310,1000,10,10,0,1,-1,3,0,1,0.014,0.00442919794876103,0.023570802051239,0.065,0.0497201688491005,0.0802798311508995,0.21,0.188812042394322,0.231187957605678
"KS","ghEqual",75171,1000,10,10,0,1,1,-3,0,1,0.022,0.0100511357687854,0.0339488642312146,0.081,0.0640895043715449,0.0979104956284551,0.216,0.194593246448842,0.237406753551158
"KS","ghEqual",3435298,1000,10,10,0.5,3,1,1,0,0,0.002,-0.00163936929920556,0.00563936929920556,0.018,0.00975960428134668,0.0262403957186533,0.085,0.0704927227097915,0.0995072772902085
"KS","ghEqual",8009068,1000,10,10,0.5,3,3,3,0,0,0.017,0.00646954641356793,0.0275304535864321,0.075,0.0586748353760215,0.0913251646239785,0.213,0.191701791700357,0.234298208299643
"KS","ghEqual",159620,1000,10,10,0.5,3,1,3,0,0,0.022,0.0100511357687854,0.0339488642312146,0.075,0.0586748353760215,0.0913251646239785,0.238,0.215847034737986,0.260152965262014
"KS","ghEqual",7771349,1000,10,10,0.5,3,-1,1,0,0,0.004,-0.00114168567534034,0.00914168567534034,0.043,0.0304267871409094,0.0555732128590905,0.167,0.14759799382087,0.18640200617913
"KS","ghEqual",117543,1000,10,10,0.5,3,-3,3,0,0,0.056,0.0372705135557859,0.0747294864442141,0.183,0.159034160611404,0.206965839388596,0.453,0.427105432214941,0.478894567785059
"KS","ghEqual",27996,1000,10,10,0.5,3,-1,3,0,0,0.027,0.0137966492398331,0.0402033507601669,0.12,0.0998586753166531,0.140141324683347,0.305,0.281049850744202,0.328950149255798
"KS","ghEqual",3954759,1000,10,10,0.5,3,1,-3,0,0,0.006,-0.000290927440687899,0.0122909274406879,0.038,0.0261495346251719,0.0498504653748281,0.138,0.120058486410004,0.155941513589996
"KS","ghEqual",1165366,1000,10,10,1,3,1,1,0,0,0.009,0.00130685460010016,0.0166931453998998,0.041,0.0287098466079548,0.0532901533920452,0.145,0.126683901906383,0.163316098093617
"KS","ghEqual",26222,1000,10,10,1,3,3,3,0,0,0.053,0.03475017169352,0.07124982830648,0.179,0.15523957714181,0.20276042285819,0.372,0.346856994284692,0.397143005715308
"KS","ghEqual",101925,1000,10,10,1,3,1,3,0,0,0.068,0.0474927100821196,0.0885072899178804,0.183,0.159034160611404,0.206965839388596,0.385,0.359687570851951,0.410312429148049
"KS","ghEqual",115018,1000,10,10,1,3,-1,1,0,0,0.021,0.00931989217584016,0.0326801078241598,0.089,0.071351399874211,0.106648600125789,0.272,0.248851863003689,0.295148136996311
"KS","ghEqual",138753,1000,10,10,1,3,-3,3,0,0,0.116,0.0899143906694898,0.14208560933051,0.311,0.282308987358408,0.339691012641592,0.585,0.55936886230822,0.61063113769178
"KS","ghEqual",74460,1000,10,10,1,3,-1,3,0,0,0.061,0.0415040872615822,0.0804959127384178,0.205,0.179978314205474,0.230021685794526,0.461,0.435069508566651,0.486930491433349
"KS","ghEqual",103001666,1000,10,10,1,3,1,-3,0,0,0.01,0.00189480522134107,0.0181051947786589,0.035,0.0236092124943005,0.0463907875056995,0.137,0.119113243956072,0.154886756043928
