"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Lepage","Cauchy",712582,1000,10,10,0,1,1,1,0.009,0.00130685460010016,0.0166931453998998,0.048,0.0347506319546931,0.0612493680453069,0.105,0.0890532542700713,0.120946745729929
"Lepage","Cauchy",1777923,1000,10,10,0,0.5,0.5,1,0.008,0.000743174362298623,0.0152568256377014,0.044,0.031288074009026,0.056711925990974,0.09,0.0751129772116786,0.104887022788321
"Lepage","Cauchy",253814,1000,10,10,0,2,2,1,0.015,0.00509830366048322,0.0249016963395168,0.047,0.0338824885896753,0.0601175114103247,0.094,0.0788192255434711,0.109180774456529
"Lepage","Cauchy",4125666,1000,10,10,0,0.5,2,1,0.127,0.0998759309672018,0.154124069032798,0.356,0.326322726162937,0.385677273837063,0.484,0.458003586639692,0.509996413360308
"Lepage","Cauchy",60035471,1000,10,10,0,1,2,1,0.027,0.0137966492398331,0.0402033507601669,0.131,0.110087709298118,0.151912290701882,0.22,0.198451127871742,0.241548872128258
"Lepage","Cauchy",8797081,1000,10,10,0.5,1,1,0,0.019,0.00787865885497617,0.0301213411450238,0.074,0.0577752720084434,0.0902247279915566,0.145,0.126683901906383,0.163316098093617
"Lepage","Cauchy",27947757,1000,10,10,0.5,0.5,0.5,0,0.046,0.0289352880486074,0.0630647119513926,0.18,0.156187814883972,0.203812185116028,0.284,0.260542507644678,0.307457492355322
"Lepage","Cauchy",159674778,1000,10,10,0.5,2,2,0,0.008,0.000743174362298623,0.0152568256377014,0.055,0.0408696369473392,0.0691303630526608,0.108,0.0918541762551426,0.124145823744857
"Lepage","Cauchy",78928,1000,10,10,0.5,0.5,2,0,0.13,0.102604630581064,0.157395369418936,0.372,0.342042376168995,0.401957623831005,0.518,0.492007126016925,0.543992873983075
"Lepage","Cauchy",3153771,1000,10,10,0.5,1,2,0,0.041,0.0248472269704549,0.0571527730295451,0.137,0.115688120458298,0.158311879541702,0.211,0.189775101037343,0.232224898962657
"Lepage","Cauchy",214476,1000,10,10,1,1,1,0,0.056,0.0372705135557859,0.0747294864442141,0.171,0.147663732637802,0.194336267362198,0.259,0.23621101994439,0.28178898005561
"Lepage","Cauchy",62669809,1000,10,10,1,0.5,0.5,0,0.209,0.175878709980679,0.242121290019321,0.416,0.38545014451098,0.44654985548902,0.557,0.53115983021002,0.58284016978998
"Lepage","Cauchy",9300774,1000,10,10,1,2,2,0,0.011,0.00250349441805633,0.0194965055819437,0.076,0.0595752467781096,0.0924247532218904,0.135,0.117223721723178,0.152776278276822
"Lepage","Cauchy",16335269,1000,10,10,1,0.5,2,0,0.165,0.134763531317298,0.195236468682702,0.405,0.374574195819995,0.435425804180005,0.533,0.507046977270942,0.558953022729058
"Lepage","Cauchy",12413739,1000,10,10,1,1,2,0,0.048,0.0305865448547395,0.0654134551452605,0.191,0.166636088360035,0.215363911639965,0.298,0.274207362359335,0.321792637640665
