"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Lepage","Normal",41835,1000,10,10,0,1,1,0.007,0.000208440607931048,0.013791559392069,0.048,0.0347506319546931,0.0612493680453069,0.099,0.0834637609449713,0.114536239055029
"Lepage","Normal",3611218,1000,10,10,0,3,1,0.004,-0.00114168567534034,0.00914168567534034,0.042,0.0295673567733969,0.0544326432266031,0.097,0.0816044345418884,0.112395565458112
"Lepage","Normal",1207192,1000,10,10,0.5,1,0,0.025,0.0122820190281633,0.0377179809718367,0.122,0.101714615468274,0.142285384531726,0.214,0.192665421750126,0.235334578249874
"Lepage","Normal",18933,1000,10,10,1.5,1,0,0.491,0.450276462553653,0.531723537446347,0.764,0.737681644306682,0.790318355693318,0.879,0.862035032774125,0.895964967225875
"Lepage","Normal",67382,1000,10,10,2,1,0,0.803,0.77060061665377,0.835399383346231,0.947,0.933114261071156,0.960885738928843,0.972,0.963418206690907,0.980581793309093
"Lepage","Normal",15429991,1000,10,10,2.5,1,0,0.96,0.944037111840272,0.975962888159728,0.997,0.993610276471451,1.00038972352855,0.999,0.997355822705728,1.00064417729427
"Lepage","Normal",131541751,1000,10,10,0.5,3,0,0.009,0.00130685460010016,0.0166931453998998,0.061,0.0461661533512039,0.0758338466487961,0.123,0.105914871297675,0.140085128702325
"Lepage","Normal",270379,1000,10,10,1.5,3,0,0.025,0.0122820190281633,0.0377179809718367,0.116,0.096152253770264,0.135847746229736,0.192,0.171510932319893,0.212489067680107
"Lepage","Normal",6460093,1000,10,10,2,3,0,0.048,0.0305865448547395,0.0654134551452605,0.174,0.150502550810779,0.19749744918922,0.287,0.26346839143248,0.31053160856752
"Lepage","Normal",1729640,1000,10,10,2.5,3,0,0.075,0.0535440693513425,0.0964559306486575,0.283,0.255080420891425,0.310919579108575,0.414,0.388377890619623,0.439622109380377
"Lepage","Normal",966933,1000,20,20,0,1,1,0.016,0.00577876439250127,0.0262212356074987,0.063,0.0479409997144565,0.0780590002855435,0.125,0.107796178204393,0.142203821795607
"Lepage","Normal",4656928,1000,20,20,0,3,1,0.01,0.00189480522134107,0.0181051947786589,0.052,0.038238622394542,0.065761377605458,0.102,0.0862563960320389,0.117743603967961
