"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Mood","Logistic",57234,1000,10,10,0,1,1,0,0,0,0.02,0.011322710100498,0.028677289899502,0.02,0.0127172745486322,0.0272827254513678
"Mood","Logistic",196513467,1000,10,10,0,3,1,0,0,0,0.018,0.00975960428134668,0.0262403957186533,0.018,0.0110839535932731,0.0249160464067269
"Mood","Logistic",8457607,1000,10,10,0.5,1,0,0.003,-0.00145506520895037,0.00745506520895037,0.042,0.0295673567733969,0.0544326432266031,0.042,0.031565460149101,0.052434539850899
"Mood","Logistic",2601889,1000,10,10,1.5,1,0,0.039,0.0232297035949225,0.0547702964050775,0.247,0.220269810595508,0.273730189404492,0.247,0.224565733892659,0.269434266107341
"Mood","Logistic",36094621,1000,10,10,2,1,0,0.095,0.0711146312232781,0.118885368776722,0.428,0.397332669734716,0.458667330265284,0.428,0.402261347813065,0.453738652186935
"Mood","Logistic",34352,1000,10,10,2.5,1,0,0.226,0.191930123554319,0.260069876445681,0.639,0.609231284098907,0.668768715901093,0.639,0.614015542011582,0.663984457988418
"Mood","Logistic",34058786,1000,10,10,0.5,3,0,0.001,-0.0015747116778389,0.0035747116778389,0.018,0.00975960428134668,0.0262403957186533,0.018,0.0110839535932731,0.0249160464067269
"Mood","Logistic",250793,1000,10,10,1.5,3,0,0,0,0,0.048,0.0347506319546931,0.0612493680453069,0.048,0.0368799946762603,0.0591200053237397
"Mood","Logistic",2143310,1000,10,10,2,3,0,0.006,-0.000290927440687899,0.0122909274406879,0.072,0.0559787533069364,0.0880212466930635,0.072,0.0585535965254645,0.0854464034745355
"Mood","Logistic",619506,1000,10,10,2.5,3,0,0.013,0.00377266875765262,0.0222273312423474,0.098,0.079572247190718,0.116427752809282,0.098,0.0825338503207812,0.113466149679219
"Mood","Logistic",29153,1000,20,20,0,1,1,0.002,-0.00163936929920556,0.00563936929920556,0.025,0.0153232753475156,0.0346767246524844,0.025,0.0168784632380934,0.0331215367619066
"Mood","Logistic",638605,1000,20,20,0,3,1,0.005,-0.000745692786775151,0.0107456927867752,0.03,0.0194268944959392,0.0405731055040608,0.03,0.0211261435948061,0.0388738564051939
"Mood","Logistic",34176928,1000,20,20,0.5,1,0,0.018,0.00716976562691277,0.0288302343730872,0.085,0.0677147334414537,0.102285266558546,0.085,0.0704927227097915,0.0995072772902085
"Mood","Logistic",3197655,1000,20,20,1.5,1,0,0.246,0.210916809216036,0.281083190783964,0.517,0.486027596515608,0.547972403484392,0.517,0.491005304218456,0.542994695781544
"Mood","Logistic",260703,1000,20,20,2,1,0,0.572,0.531694365937055,0.612305634062945,0.787,0.761623411387659,0.812376588612341,0.787,0.765701791700357,0.808298208299643
"Mood","Logistic",38486,1000,20,20,2.5,1,0,0.772,0.737823944809033,0.806176055190967,0.937,0.921940999714457,0.952059000285544,0.937,0.924361196188919,0.949638803811081
"Mood","Logistic",2040650,1000,20,20,0.5,3,0,0.004,-0.00114168567534034,0.00914168567534034,0.024,0.0145139239724742,0.0334860760275258,0.024,0.0160384719054694,0.0319615280945306
"Mood","Logistic",42014669,1000,20,20,1.5,3,0,0.013,0.00377266875765262,0.0222273312423474,0.066,0.0506113161576436,0.0813886838423564,0.066,0.0530844974894509,0.0789155025105491
"Mood","Logistic",9832473,1000,20,20,2,3,0,0.033,0.0184482218290684,0.0475517781709316,0.131,0.110087709298118,0.151912290701882,0.131,0.113448613160921,0.148551386839079
"Mood","Logistic",146659222,1000,20,20,2.5,3,0,0.057,0.0381140370704589,0.0758859629295411,0.181,0.157136325882212,0.204863674117788,0.181,0.160971559222571,0.201028440777429
"Mood","Logistic",12036637,1000,100,100,0,1,1,0.006,-0.000290927440687899,0.0122909274406879,0.033,0.0219279948699434,0.0440720051300566,0.067,0.0539939887446227,0.0800060112553773
"Mood","Logistic",53911,1000,100,100,0,3,1,0.009,0.00130685460010016,0.0166931453998998,0.04,0.0278543242262935,0.0521456757737065,0.067,0.0539939887446227,0.0800060112553773
"Mood","Logistic",71651896,1000,100,100,0.5,1,0,0.187,0.155237700633361,0.218762299366639,0.344,0.314556650625311,0.373443349374689,0.455,0.429095819847465,0.480904180152535
"Mood","Logistic",20483,1000,100,100,1.5,1,0,0.991,0.9833068546001,0.9986931453999,1,1,1,1,1,1
"Mood","Logistic",89120541,1000,100,100,2,1,0,1,1,1,1,1,1,1,1,1
"Mood","Logistic",16896081,1000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"Mood","Logistic",328550,1000,100,100,0.5,3,0,0.02,0.00859556184636876,0.0314044381536312,0.076,0.0595752467781096,0.0924247532218904,0.114,0.0974676272392618,0.130532372760738
"Mood","Logistic",15959165,1000,100,100,1.5,3,0,0.171,0.140329477181111,0.201670522818889,0.349,0.319456681323859,0.378543318676141,0.481,0.455009052057014,0.506990947942986
"Mood","Logistic",142241,1000,100,100,2,3,0,0.358,0.318946956421605,0.397053043578395,0.578,0.547389091722067,0.608610908277933,0.69,0.665941347762187,0.714058652237812
"Mood","Logistic",999889,1000,100,100,2.5,3,0,0.601,0.561109494249584,0.640890505750416,0.796,0.771023723768344,0.820976276231656,0.871,0.853563077594512,0.888436922405488
"Mood","Logistic",159611,1000,10,100,0,1,1,0,0,0,0.022,0.0129084728675541,0.0310915271324459,0.101,0.0853250402241345,0.116674959775865
"Mood","Logistic",3108155,1000,10,100,0,3,1,0.004,-0.00114168567534034,0.00914168567534034,0.024,0.0145139239724742,0.0334860760275258,0.113,0.0965310112097008,0.129468988790299
"Mood","Logistic",91431,1000,10,100,0.5,1,0,0.004,-0.00114168567534034,0.00914168567534034,0.046,0.0330159800369839,0.0589840199630161,0.174,0.154278926573333,0.193721073426667
"Mood","Logistic",397908,1000,10,100,1.5,1,0,0.112,0.0863101627514692,0.137689837248531,0.37,0.340075478951201,0.399924521048799,0.696,0.672071949649,0.719928050351
"Mood","Logistic",696447,1000,10,100,2,1,0,0.198,0.165538720208593,0.230461279791407,0.587,0.556482416058934,0.617517583941066,0.872,0.854620826072566,0.889379173927434
"Mood","Logistic",1795592,1000,10,100,2.5,1,0,0.402,0.362059869713583,0.441940130286417,0.832,0.808827527503523,0.855172472496477,0.957,0.946447482064692,0.967552517935308
"Mood","Logistic",1544283,1000,10,100,0.5,3,0,0.004,-0.00114168567534034,0.00914168567534034,0.026,0.0161367004303834,0.0358632995696166,0.103,0.0871882209800731,0.118811779019927
"Mood","Logistic",73173837,1000,10,100,1.5,3,0,0,0,0,0.042,0.0295673567733969,0.0544326432266031,0.185,0.164800967365366,0.205199032634634
"Mood","Logistic",1887372,1000,10,100,2,3,0,0.012,0.00313017698846251,0.0208698230115375,0.082,0.0649946984266671,0.099005301573333,0.267,0.243986985013367,0.290013014986633
"Mood","Logistic",70846812,1000,10,100,2.5,3,0,0.016,0.00577876439250127,0.0262212356074987,0.123,0.102643250907868,0.143356749092132,0.314,0.289856913844746,0.338143086155254
