"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Mood","Normal",19866,1000,10,10,0,1,1,0.002,-0.00163936929920556,0.00563936929920556,0.022,0.0129084728675541,0.0310915271324459,0.022,0.0143696111566972,0.0296303888433028
"Mood","Normal",38028454,1000,10,10,0,3,1,0.001,-0.0015747116778389,0.0035747116778389,0.026,0.0161367004303834,0.0358632995696166,0.026,0.0177218735755003,0.0342781264244997
"Mood","Normal",21528861,1000,10,10,0.5,1,0,0.01,0.00189480522134107,0.0181051947786589,0.083,0.0659006427723145,0.100099357227685,0.083,0.0686487537553354,0.0973512462446646
"Mood","Normal",40819,1000,10,10,1.5,1,0,0.223,0.189091482732269,0.256908517267731,0.636,0.606178099215509,0.665821900784491,0.636,0.610970904698731,0.661029095301269
"Mood","Normal",3583534,1000,10,10,2,1,0,0.516,0.475290722908113,0.556709277091887,0.881,0.860931380157071,0.901068619842929,0.881,0.864156694060399,0.897843305939601
"Mood","Normal",53124,1000,10,10,2.5,1,0,0.775,0.740983629823275,0.809016370176725,0.976,0.966513923972474,0.985486076027526,0.976,0.968038471905469,0.983961528094531
"Mood","Normal",38196,1000,10,10,0.5,3,0,0.001,-0.0015747116778389,0.0035747116778389,0.034,0.0227673017311066,0.0452326982688934,0.034,0.0245725568100359,0.0434274431899641
"Mood","Normal",452850,1000,10,10,1.5,3,0,0.007,0.000208440607931048,0.013791559392069,0.085,0.0677147334414537,0.102285266558546,0.085,0.0704927227097915,0.0995072772902085
"Mood","Normal",36963521,1000,10,10,2,3,0,0.023,0.0107888361530934,0.0352111638469066,0.129,0.108224092453036,0.149775907546964,0.129,0.111563077594512,0.146436922405488
"Mood","Normal",273441855,1000,10,10,2.5,3,0,0.032,0.017662992035435,0.046337007964565,0.213,0.187623411387659,0.238376588612341,0.213,0.191701791700357,0.234298208299643
"Mood","Normal",163396,1000,20,20,0,1,1,0.007,0.000208440607931048,0.013791559392069,0.032,0.0210914069834832,0.0429085930165168,0.032,0.0228445737182805,0.0411554262817195
"Mood","Normal",18250420,1000,20,20,0,3,1,0.005,-0.000745692786775151,0.0107456927867752,0.025,0.0153232753475156,0.0346767246524844,0.025,0.0168784632380934,0.0331215367619066
"Mood","Normal",3840291,1000,20,20,0.5,1,0,0.042,0.0256599546164645,0.0583400453835355,0.147,0.125052287918783,0.168947712081217,0.147,0.128579598788979,0.165420401211021
"Mood","Normal",2920943,1000,20,20,1.5,1,0,0.781,0.747310587846268,0.814689412153732,0.923,0.906476490881172,0.939523509118828,0.923,0.909132054846698,0.936867945153302
"Mood","Normal",293149,1000,20,20,2,1,0,0.965,0.950029250706795,0.979970749293205,0.995,0.990628277227454,0.999371722772546,0.995,0.991330875530184,0.998669124469816
"Mood","Normal",4621539,1000,20,20,2.5,1,0,0.999,0.996425288322161,1.00157471167784,1,1,1,1,1,1
"Mood","Normal",2152498,1000,20,20,0.5,3,0,0.009,0.00130685460010016,0.0166931453998998,0.043,0.0304267871409094,0.0555732128590905,0.043,0.0324474820646919,0.0535525179353081
"Mood","Normal",106891334,1000,20,20,1.5,3,0,0.056,0.0372705135557859,0.0747294864442141,0.17,0.146718037883374,0.193281962116626,0.17,0.150459781794975,0.189540218205025
"Mood","Normal",6529365,1000,20,20,2,3,0,0.109,0.0836137846589138,0.134386215341086,0.277,0.249262641192788,0.304737358807212,0.277,0.25372043100109,0.30027956899891
"Mood","Normal",841912,1000,20,20,2.5,3,0,0.217,0.183421862232458,0.250578137767542,0.468,0.437073212232759,0.498926787767242,0.468,0.442043588838208,0.493956411161792
"Mood","Normal",136211653,1000,100,100,0,1,1,0.009,0.00130685460010016,0.0166931453998998,0.031,0.0202576621538885,0.0417423378461115,0.066,0.0530844974894509,0.0789155025105491
"Mood","Normal",376230,1000,100,100,0,3,1,0.004,-0.00114168567534034,0.00914168567534034,0.028,0.0177748845678887,0.0382251154321113,0.06,0.0476460609520688,0.0723539390479312
"Mood","Normal",293649789,1000,100,100,0.5,1,0,0.52,0.479302460890123,0.560697539109877,0.752,0.725233546488188,0.778766453511812,0.832,0.812551674869028,0.851448325130972
"Mood","Normal",17821,1000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1
"Mood","Normal",97773634,1000,100,100,2,1,0,1,1,1,1,1,1,1,1,1
"Mood","Normal",4836577,1000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"Mood","Normal",1678535,1000,100,100,0.5,3,0,0.039,0.0232297035949225,0.0547702964050775,0.115,0.0952268151275522,0.134773184872448,0.186,0.16575887826478,0.20624112173522
