"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Mood","ghEqual",203923,1000,10,10,0,1,1,1,0,1,0.001,-0.0015747116778389,0.0035747116778389,0.02,0.011322710100498,0.028677289899502,0.02,0.0127172745486322,0.0272827254513678
"Mood","ghEqual",744455,1000,10,10,0,1,3,3,0,1,0,0,0,0.028,0.0177748845678887,0.0382251154321113,0.028,0.0194182066909066,0.0365817933090934
"Mood","ghEqual",32588,1000,10,10,0,1,1,3,0,1,0,0,0,0.024,0.0145139239724742,0.0334860760275258,0.024,0.0160384719054694,0.0319615280945306
"Mood","ghEqual",330366,1000,10,10,0,1,-1,1,0,1,0.001,-0.0015747116778389,0.0035747116778389,0.031,0.0202576621538885,0.0417423378461115,0.031,0.0219841093077278,0.0400158906922722
"Mood","ghEqual",125921739,1000,10,10,0,1,-3,3,0,1,0.008,0.000743174362298623,0.0152568256377014,0.057,0.0426302455970883,0.0713697544029117,0.057,0.044939670411842,0.069060329588158
"Mood","ghEqual",13089320,1000,10,10,0,1,-1,3,0,1,0.002,-0.00163936929920556,0.00563936929920556,0.028,0.0177748845678887,0.0382251154321113,0.028,0.0194182066909066,0.0365817933090934
"Mood","ghEqual",45654804,1000,10,10,0,1,1,-3,0,1,0.002,-0.00163936929920556,0.00563936929920556,0.034,0.0227673017311066,0.0452326982688934,0.034,0.0245725568100359,0.0434274431899641
"Mood","ghEqual",185923883,1000,10,10,0.5,3,1,1,0,0,0.003,-0.00145506520895037,0.00745506520895037,0.026,0.0161367004303834,0.0358632995696166,0.026,0.0177218735755003,0.0342781264244997
"Mood","ghEqual",12189988,1000,10,10,0.5,3,3,3,0,0,0.008,0.000743174362298623,0.0152568256377014,0.058,0.0435124309285512,0.0724875690714488,0.058,0.0458407902436055,0.0701592097563945
"Mood","ghEqual",10458748,1000,10,10,0.5,3,1,3,0,0,0.007,0.000208440607931048,0.013791559392069,0.06,0.0452804130492734,0.0747195869507266,0.06,0.0476460609520688,0.0723539390479312
"Mood","ghEqual",206841152,1000,10,10,0.5,3,-1,1,0,0,0.006,-0.000290927440687899,0.0122909274406879,0.044,0.031288074009026,0.056711925990974,0.044,0.0333310621147183,0.0546689378852817
"Mood","ghEqual",106258110,1000,10,10,0.5,3,-3,3,0,0,0.01,0.00189480522134107,0.0181051947786589,0.079,0.062281418289819,0.095718581710181,0.079,0.0649683332075266,0.0930316667924734
"Mood","ghEqual",5977205,1000,10,10,0.5,3,-1,3,0,0,0.01,0.00189480522134107,0.0181051947786589,0.061,0.0461661533512039,0.0758338466487961,0.061,0.0485501644197604,0.0734498355802396
"Mood","ghEqual",2549639,1000,10,10,0.5,3,1,-3,0,0,0.006,-0.000290927440687899,0.0122909274406879,0.034,0.0227673017311066,0.0452326982688934,0.034,0.0245725568100359,0.0434274431899641
"Mood","ghEqual",40693059,1000,10,10,1,3,1,1,0,0,0.001,-0.0015747116778389,0.0035747116778389,0.053,0.0391142610711565,0.0668857389288435,0.053,0.0413458976847206,0.0646541023152794
"Mood","ghEqual",55407,1000,10,10,1,3,3,3,0,0,0.018,0.00716976562691277,0.0288302343730872,0.082,0.0649946984266671,0.099005301573333,0.082,0.0677276933223813,0.0962723066776187
"Mood","ghEqual",20945731,1000,10,10,1,3,1,3,0,0,0.023,0.0107888361530934,0.0352111638469066,0.1,0.0814058073582099,0.11859419264179,0.1,0.0843941597470691,0.115605840252931
"Mood","ghEqual",2197971,1000,10,10,1,3,-1,1,0,0,0.014,0.00442919794876103,0.023570802051239,0.08,0.0631850732978107,0.0968149267021893,0.08,0.0658874722320911,0.0941125277679089
"Mood","ghEqual",20731,1000,10,10,1,3,-3,3,0,0,0.032,0.017662992035435,0.046337007964565,0.166,0.142938203226982,0.189061796773018,0.166,0.146644563422645,0.185355436577355
"Mood","ghEqual",916309,1000,10,10,1,3,-1,3,0,0,0.014,0.00442919794876103,0.023570802051239,0.104,0.0850797554349845,0.122920244565016,0.104,0.0881205090257905,0.119879490974209
