"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"TTest_VarEqual","Logistic",3851872,1000,10,10,0,1,1,0.007,0.000208440607931048,0.013791559392069,0.044,0.031288074009026,0.056711925990974,0.097,0.0816044345418884,0.112395565458112
"TTest_VarEqual","Logistic",241401496,1000,10,10,0,3,1,0.007,0.000208440607931048,0.013791559392069,0.041,0.0287098466079548,0.0532901533920452,0.092,0.0769650239641029,0.107034976035897
"TTest_VarEqual","Logistic",293646,1000,10,10,0.5,1,0,0.02,0.00859556184636876,0.0314044381536312,0.088,0.0704412002232499,0.10555879977675,0.154,0.135223638235803,0.172776361764197
"TTest_VarEqual","Logistic",1389263,1000,10,10,1.5,1,0,0.191,0.158978858987475,0.223021141012525,0.414,0.383471529248913,0.444528470751087,0.555,0.529148104046802,0.580851895953199
"TTest_VarEqual","Logistic",5634144,1000,10,10,2,1,0,0.396,0.356160679639532,0.435839320360468,0.652,0.622476387863271,0.681523612136729,0.795,0.773999656565308,0.816000343434692
"TTest_VarEqual","Logistic",10863493,1000,10,10,2.5,1,0,0.595,0.555011800220565,0.634988199779435,0.839,0.816220195646143,0.861779804353857,0.909,0.894038727260858,0.923961272739142
"TTest_VarEqual","Logistic",23174446,1000,10,10,0.5,3,0,0.014,0.00442919794876103,0.023570802051239,0.052,0.038238622394542,0.065761377605458,0.106,0.0899864509523966,0.122013549047603
"TTest_VarEqual","Logistic",62201654,1000,10,10,1.5,3,0,0.024,0.0115325857923946,0.0364674142076054,0.092,0.0740859859997822,0.109914014000218,0.152,0.133323924437934,0.170676075562066
"TTest_VarEqual","Logistic",167833,1000,10,10,2,3,0,0.036,0.0208247579820287,0.0511752420179712,0.117,0.0970781643014505,0.136921835698549,0.205,0.183999656565308,0.226000343434692
"TTest_VarEqual","Logistic",33286,1000,10,10,2.5,3,0,0.051,0.0330789251822331,0.0689210748177669,0.16,0.137277521261975,0.182722478738025,0.268,0.244959662320183,0.291040337679817
"TTest_VarEqual","Logistic",10644364,1000,20,20,0,1,1,0.013,0.00377266875765262,0.0222273312423474,0.044,0.031288074009026,0.056711925990974,0.098,0.0825338503207812,0.113466149679219
"TTest_VarEqual","Logistic",26416935,1000,20,20,0,3,1,0.005,-0.000745692786775151,0.0107456927867752,0.052,0.038238622394542,0.065761377605458,0.095,0.0797471150474738,0.110252884952526
"TTest_VarEqual","Logistic",872559,1000,20,20,0.5,1,0,0.041,0.0248472269704549,0.0571527730295451,0.131,0.110087709298118,0.151912290701882,0.215,0.193629240318253,0.236370759681747
"TTest_VarEqual","Logistic",40177399,1000,20,20,1.5,1,0,0.483,0.44229341256337,0.52370658743663,0.744,0.716950295705868,0.771049704294132,0.835,0.815691385487949,0.854308614512051
"TTest_VarEqual","Logistic",223021792,1000,20,20,2,1,0,0.793,0.759995920461616,0.826004079538384,0.927,0.910876572523189,0.943123427476812,0.964,0.954309288385263,0.973690711614737
