"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"TTest_VarEqual","Normal",4588265,1000,10,10,0,1,1,0.007,0.000208440607931048,0.013791559392069,0.057,0.0426302455970883,0.0713697544029117,0.109,0.0927886940077303,0.12521130599227
"TTest_VarEqual","Normal",274753143,1000,10,10,0,3,1,0.012,0.00313017698846251,0.0208698230115375,0.059,0.0443958296914888,0.0736041703085112,0.1,0.0843941597470691,0.115605840252931
"TTest_VarEqual","Normal",88637434,1000,10,10,0.5,1,0,0.065,0.0449179362016749,0.0850820637983251,0.177,0.153343928610186,0.200656071389814,0.269,0.245932489298258,0.292067510701742
"TTest_VarEqual","Normal",92183280,1000,10,10,1.5,1,0,0.682,0.64406399394011,0.71993600605989,0.878,0.857714615468274,0.898285384531726,0.928,0.914553596525465,0.941446403474536
"TTest_VarEqual","Normal",49229324,1000,10,10,2,1,0,0.947,0.92875017169352,0.96524982830648,0.987,0.979979204489518,0.994020795510482,0.995,0.991330875530184,0.998669124469816
"TTest_VarEqual","Normal",6953320,1000,10,10,2.5,1,0,0.992,0.984743174362299,0.999256825637701,1,1,1,1,1,1
"TTest_VarEqual","Normal",383792,1000,10,10,0.5,3,0,0.013,0.00377266875765262,0.0222273312423474,0.068,0.0523966272363953,0.0836033727636047,0.123,0.105914871297675,0.140085128702325
"TTest_VarEqual","Normal",80028,1000,10,10,1.5,3,0,0.065,0.0449179362016749,0.0850820637983251,0.193,0.168539152884661,0.217460847115339,0.287,0.26346839143248,0.31053160856752
"TTest_VarEqual","Normal",446230,1000,10,10,2,3,0,0.115,0.0890123855962114,0.140987614403789,0.28,0.252170760700299,0.307829239299701,0.419,0.393333835113617,0.444666164886383
"TTest_VarEqual","Normal",14404421,1000,10,10,2.5,3,0,0.186,0.154303264686974,0.217696735313026,0.405,0.374574195819995,0.435425804180005,0.541,0.515077858460864,0.566922141539136
