"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"TTest_VarEqual","Normal2Var",12759709,1000,10,10,0,1,2,1,0.014,0.00442919794876103,0.023570802051239,0.05,0.0364916322229516,0.0635083677770484,0.091,0.0760387272608578,0.105961272739142
"TTest_VarEqual","Normal2Var",37162400,1000,10,10,0,3,5,1,0.013,0.00377266875765262,0.0222273312423474,0.057,0.0426302455970883,0.0713697544029117,0.107,0.0909200934463225,0.123079906553677
"TTest_VarEqual","Normal2Var",1259053,1000,10,10,0,1,5,1,0.012,0.00313017698846251,0.0208698230115375,0.056,0.0417493037924458,0.0702506962075542,0.105,0.0890532542700713,0.120946745729929
"TTest_VarEqual","Normal2Var",1506881,1000,10,10,0.5,1,2,0,0.031,0.0168814988308249,0.0451185011691751,0.114,0.0943018537318863,0.133698146268114,0.18,0.160014773206191,0.199985226793809
"TTest_VarEqual","Normal2Var",9554552,1000,10,10,1.5,1,2,0,0.254,0.218540538927051,0.289459461072949,0.509,0.478014699769084,0.539985300230916,0.645,0.620107991756891,0.669892008243109
"TTest_VarEqual","Normal2Var",340476521,1000,10,10,2,1,2,0,0.551,0.510482295886563,0.591517704113437,0.775,0.749117979213361,0.800882020786639,0.858,0.839842597600428,0.876157402399572
"TTest_VarEqual","Normal2Var",19425,1000,10,10,2.5,1,2,0,0.727,0.690709380020507,0.763290619979493,0.919,0.902089504371545,0.935910495628455,0.961,0.950929294415236,0.971070705584764
"TTest_VarEqual","Normal2Var",11107046,1000,10,10,0.5,3,5,0,0.017,0.00646954641356793,0.0275304535864321,0.069,0.0532907497823734,0.0847092502176266,0.12,0.103095673926477,0.136904326073523
"TTest_VarEqual","Normal2Var",997538,1000,10,10,1.5,3,5,0,0.03,0.0161039184803773,0.0438960815196227,0.114,0.0943018537318863,0.133698146268114,0.208,0.186886503501315,0.229113496498685
"TTest_VarEqual","Normal2Var",295385,1000,10,10,2,3,5,0,0.049,0.0314153326496064,0.0665846673503936,0.16,0.137277521261975,0.182722478738025,0.271,0.247878590160308,0.294121409839692
"TTest_VarEqual","Normal2Var",115128053,1000,10,10,2.5,3,5,0,0.092,0.0684558673139994,0.115544132686001,0.255,0.227985041921187,0.282014958078813,0.359,0.334045886772418,0.383954113227582
"TTest_VarEqual","Normal2Var",55566018,1000,10,10,0.5,1,5,0,0.017,0.00646954641356793,0.0275304535864321,0.062,0.0470530240650491,0.0769469759349509,0.109,0.0927886940077303,0.12521130599227
"TTest_VarEqual","Normal2Var",1576549,1000,10,10,1.5,1,5,0,0.063,0.0432081710532857,0.0827918289467144,0.162,0.139163182148119,0.184836817851881,0.264,0.241069856485403,0.286930143514597
"TTest_VarEqual","Normal2Var",28830262,1000,10,10,2,1,5,0,0.097,0.0728911996230422,0.121108800376958,0.235,0.208720280823418,0.261279719176582,0.339,0.314375553285911,0.363624446714089
"TTest_VarEqual","Normal2Var",54405,1000,10,10,2.5,1,5,0,0.148,0.119073458373044,0.176926541626956,0.327,0.297923811226366,0.356076188773634,0.443,0.41715983021002,0.46884016978998
"TTest_VarEqual","Normal2Var",224423334,1000,20,20,0,1,2,1,0.02,0.00859556184636876,0.0314044381536312,0.063,0.0479409997144565,0.0780590002855435,0.114,0.0974676272392618,0.130532372760738
"TTest_VarEqual","Normal2Var",26678,1000,20,20,0,3,5,1,0.012,0.00313017698846251,0.0208698230115375,0.052,0.038238622394542,0.065761377605458,0.103,0.0871882209800731,0.118811779019927
"TTest_VarEqual","Normal2Var",18358,1000,20,20,0,1,5,1,0.01,0.00189480522134107,0.0181051947786589,0.058,0.0435124309285512,0.0724875690714488,0.108,0.0918541762551426,0.124145823744857
"TTest_VarEqual","Normal2Var",34088,1000,20,20,0.5,1,2,0,0.079,0.0570270068951906,0.100972993104809,0.195,0.170443225781874,0.219556774218126,0.297,0.273230404593788,0.320769595406212
"TTest_VarEqual","Normal2Var",1796830,1000,20,20,1.5,1,2,0,0.609,0.569249473646957,0.648750526353043,0.845,0.822568915318246,0.867431084681754,0.916,0.901570433561607,0.930429566438393
"TTest_VarEqual","Normal2Var",81308341,1000,20,20,2,1,2,0,0.884,0.85791439066949,0.91008560933051,0.964,0.952453620203717,0.975546379796282,0.983,0.976275389693447,0.989724610306553
"TTest_VarEqual","Normal2Var",196445530,1000,20,20,2.5,1,2,0,0.986,0.976429197948761,0.995570802051239,0.998,0.995230914663648,1.00076908533635,0.999,0.997355822705728,1.00064417729427
"TTest_VarEqual","Normal2Var",2910744,1000,20,20,0.5,3,5,0,0.02,0.00859556184636876,0.0314044381536312,0.076,0.0595752467781096,0.0924247532218904,0.127,0.10967892330786,0.14432107669214
"TTest_VarEqual","Normal2Var",49218092,1000,20,20,1.5,3,5,0,0.09,0.0666875558038201,0.11331244419618,0.212,0.186666971566747,0.237333028433253,0.302,0.278116548702082,0.325883451297918
"TTest_VarEqual","Normal2Var",316552862,1000,20,20,2,3,5,0,0.139,0.110819101577416,0.167180898422584,0.303,0.274516472381392,0.331483527618608,0.419,0.393333835113617,0.444666164886383
"TTest_VarEqual","Normal2Var",18054,1000,20,20,2.5,3,5,0,0.219,0.185310587846268,0.252689412153732,0.465,0.434085698455246,0.495914301544754,0.595,0.569464057206067,0.620535942793933
"TTest_VarEqual","Normal2Var",706092,1000,20,20,0.5,1,5,0,0.026,0.0130368062799324,0.0389631937200676,0.081,0.0640895043715449,0.0979104956284551,0.128,0.110620826072566,0.145379173927434
