"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"TTest_VarUnequal","Cauchy",1064324,1000,10,10,0,1,1,1,0.002,-0.00163936929920556,0.00563936929920556,0.015,0.00746610061123723,0.0225338993887628,0.051,0.0395558353745238,0.0624441646254762
"TTest_VarUnequal","Cauchy",129233686,1000,10,10,0,0.5,0.5,1,0.001,-0.0015747116778389,0.0035747116778389,0.014,0.00671786800449209,0.0212821319955079,0.055,0.0431405881522312,0.0668594118477688
"TTest_VarUnequal","Cauchy",201291,1000,10,10,0,2,2,1,0,0,0,0.017,0.00898769835814952,0.0250123016418505,0.056,0.0440395942543741,0.0679604057456259
"TTest_VarUnequal","Cauchy",83757,1000,10,10,0,0.5,2,1,0.001,-0.0015747116778389,0.0035747116778389,0.017,0.00898769835814952,0.0250123016418505,0.05,0.0386626199014058,0.0613373800985942
"TTest_VarUnequal","Cauchy",364731,1000,10,10,0,1,2,1,0.002,-0.00163936929920556,0.00563936929920556,0.019,0.0105381099983514,0.0274618900016486,0.054,0.0422426796803013,0.0657573203196987
"TTest_VarUnequal","Cauchy",22111021,1000,10,10,0.5,1,1,0,0.006,-0.000290927440687899,0.0122909274406879,0.024,0.0145139239724742,0.0334860760275258,0.076,0.0622149392601991,0.0897850607398009
"TTest_VarUnequal","Cauchy",143413402,1000,10,10,0.5,0.5,0.5,0,0.008,0.000743174362298623,0.0152568256377014,0.062,0.0470530240650491,0.0769469759349509,0.118,0.1012180973099,0.1347819026901
"TTest_VarUnequal","Cauchy",1609991,1000,10,10,0.5,2,2,0,0.001,-0.0015747116778389,0.0035747116778389,0.018,0.00975960428134668,0.0262403957186533,0.06,0.0476460609520688,0.0723539390479312
"TTest_VarUnequal","Cauchy",323015,1000,10,10,0.5,0.5,2,0,0.002,-0.00163936929920556,0.00563936929920556,0.028,0.0177748845678887,0.0382251154321113,0.065,0.0521758559983522,0.0778241440016478
"TTest_VarUnequal","Cauchy",111109823,1000,10,10,0.5,1,2,0,0.001,-0.0015747116778389,0.0035747116778389,0.024,0.0145139239724742,0.0334860760275258,0.06,0.0476460609520688,0.0723539390479312
"TTest_VarUnequal","Cauchy",3844673,1000,10,10,1,1,1,0,0.011,0.00250349441805633,0.0194965055819437,0.07,0.0541858240809077,0.0858141759190924,0.133,0.11533550315534,0.15066449684466
"TTest_VarUnequal","Cauchy",43047080,1000,10,10,1,0.5,0.5,0,0.077,0.0552833880152543,0.0987166119847457,0.188,0.163783408794795,0.212216591205205,0.275,0.251772565049601,0.298227434950399
"TTest_VarUnequal","Cauchy",631285,1000,10,10,1,2,2,0,0.005,-0.000745692786775151,0.0107456927867752,0.028,0.0177748845678887,0.0382251154321113,0.076,0.0622149392601991,0.0897850607398009
"TTest_VarUnequal","Cauchy",104860965,1000,10,10,1,0.5,2,0,0.012,0.00313017698846251,0.0208698230115375,0.061,0.0461661533512039,0.0758338466487961,0.11,0.0937236414545513,0.126276358545449
"TTest_VarUnequal","Cauchy",1449532,1000,10,10,1,1,2,0,0.006,-0.000290927440687899,0.0122909274406879,0.041,0.0287098466079548,0.0532901533920452,0.09,0.0751129772116786,0.104887022788321
"TTest_VarUnequal","Cauchy",148202888,1000,10,10,1.5,1,1,0,0.03,0.0161039184803773,0.0438960815196227,0.103,0.0841604335081722,0.121839566491828,0.172,0.152368870220998,0.191631129779001
"TTest_VarUnequal","Cauchy",24240857,1000,10,10,1.5,0.5,0.5,0,0.147,0.1181544355504,0.1758455644496,0.292,0.26381849866313,0.32018150133687,0.385,0.359687570851951,0.410312429148049
"TTest_VarUnequal","Cauchy",364318182,1000,10,10,1.5,2,2,0,0.01,0.00189480522134107,0.0181051947786589,0.052,0.038238622394542,0.065761377605458,0.1,0.0843941597470691,0.115605840252931
"TTest_VarUnequal","Cauchy",79323,1000,10,10,1.5,0.5,2,0,0.027,0.0137966492398331,0.0402033507601669,0.087,0.0695316821187614,0.104468317881239,0.169,0.149505604780476,0.188494395219524
"TTest_VarUnequal","Cauchy",1896902,1000,10,10,1.5,1,2,0,0.011,0.00250349441805633,0.0194965055819437,0.064,0.0488300558208015,0.0791699441791986,0.112,0.0955948050179219,0.128405194982078
"TTest_VarUnequal","Cauchy",203090,1000,10,10,2,1,1,0,0.067,0.0466331398213667,0.0873668601786333,0.19,0.165684938001313,0.214315061998687,0.267,0.243986985013367,0.290013014986633
"TTest_VarUnequal","Cauchy",112565,1000,10,10,2,0.5,0.5,0,0.266,0.230005619197658,0.301994380802342,0.431,0.400306187229345,0.461693812770655,0.51,0.483995468712165,0.536004531287835
"TTest_VarUnequal","Cauchy",105625133,1000,10,10,2,2,2,0,0.014,0.00442919794876103,0.023570802051239,0.072,0.0559787533069364,0.0880212466930635,0.128,0.110620826072566,0.145379173927434
"TTest_VarUnequal","Cauchy",1513093,1000,10,10,2,0.5,2,0,0.031,0.0168814988308249,0.0451185011691751,0.105,0.0859996221090211,0.124000377890979,0.185,0.164800967365366,0.205199032634634
"TTest_VarUnequal","Cauchy",275871,1000,10,10,2,1,2,0,0.025,0.0122820190281633,0.0377179809718367,0.09,0.0722622707202979,0.107737729279702,0.152,0.133323924437934,0.170676075562066
"TTest_VarUnequal","Cauchy",1998057,1000,10,10,2.5,1,1,0,0.12,0.0935285447018869,0.146471455298113,0.242,0.215454044797747,0.268545955202253,0.326,0.301616016791754,0.350383983208246
"TTest_VarUnequal","Cauchy",2655286,1000,10,10,2.5,0.5,0.5,0,0.318,0.28006399394011,0.35593600605989,0.492,0.461013645945352,0.522986354054648,0.572,0.546261347813065,0.597738652186935
"TTest_VarUnequal","Cauchy",44299,1000,10,10,2.5,2,2,0,0.025,0.0122820190281633,0.0377179809718367,0.093,0.0749988111059297,0.11100118889407,0.159,0.139977724716139,0.178022275283861
