"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"TTest_VarUnequal","Normal",305733,1000,10,10,0,1,1,0.008,0.000743174362298623,0.0152568256377014,0.054,0.0399912779169547,0.0680087220830453,0.102,0.0862563960320389,0.117743603967961
"TTest_VarUnequal","Normal",36462557,1000,10,10,0,3,1,0.007,0.000208440607931048,0.013791559392069,0.05,0.0364916322229516,0.0635083677770484,0.096,0.0806755204460315,0.111324479553969
"TTest_VarUnequal","Normal",67636130,1000,10,10,0.5,1,0,0.057,0.0381140370704589,0.0758859629295411,0.187,0.162833033090601,0.211166966909399,0.28,0.256643317016323,0.303356682983677
"TTest_VarUnequal","Normal",261405,1000,10,10,1.5,1,0,0.688,0.650258654858948,0.725741345141052,0.888,0.868453384702205,0.907546615297795,0.939,0.92655016441976,0.95144983558024
"TTest_VarUnequal","Normal",7713114,1000,10,10,2,1,0,0.923,0.901283388015254,0.944716611984746,0.984,0.976222972907338,0.991777027092662,0.996,0.992716586593193,0.999283413406807
"TTest_VarUnequal","Normal",1724835,1000,10,10,2.5,1,0,0.991,0.9833068546001,0.9986931453999,0.999,0.997040980245123,1.00095901975488,0.999,0.997355822705728,1.00064417729427
"TTest_VarUnequal","Normal",25116650,1000,10,10,0.5,3,0,0.007,0.000208440607931048,0.013791559392069,0.066,0.0506113161576436,0.0813886838423564,0.122,0.10497476655373,0.13902523344627
"TTest_VarUnequal","Normal",113027,1000,10,10,1.5,3,0,0.052,0.0339136180042552,0.0700863819957448,0.179,0.15523957714181,0.20276042285819,0.29,0.266395539669376,0.313604460330624
"TTest_VarUnequal","Normal",42395,1000,10,10,2,3,0,0.1,0.0755619182422188,0.124438081757781,0.258,0.230881361804102,0.285118638195898,0.39,0.364627508054982,0.415372491945018
"TTest_VarUnequal","Normal",13912320,1000,10,10,2.5,3,0,0.187,0.155237700633361,0.218762299366639,0.417,0.386439646310947,0.447560353689053,0.567,0.541224839403507,0.592775160596493
"TTest_VarUnequal","Normal",340484428,1000,20,20,0,1,1,0.011,0.00250349441805633,0.0194965055819437,0.05,0.0364916322229516,0.0635083677770484,0.104,0.0881205090257905,0.119879490974209
"TTest_VarUnequal","Normal",291204877,1000,20,20,0,3,1,0.006,-0.000290927440687899,0.0122909274406879,0.056,0.0417493037924458,0.0702506962075542,0.116,0.0993420701286144,0.132657929871386
"TTest_VarUnequal","Normal",7518202,1000,20,20,0.5,1,0,0.145,0.116317769793825,0.173682230206175,0.342,0.312597648094072,0.371402351905928,0.457,0.431086628745472,0.482913371254528
