"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"TTest_VarUnequal","ghEqual",8140185,1000,10,10,0,1,1,1,0,1,0.002,-0.00163936929920556,0.00563936929920556,0.039,0.0270008614309193,0.0509991385690807,0.098,0.0825338503207812,0.113466149679219
"TTest_VarUnequal","ghEqual",317969,1000,10,10,0,1,3,3,0,1,0.003,-0.00145506520895037,0.00745506520895037,0.05,0.0364916322229516,0.0635083677770484,0.104,0.0881205090257905,0.119879490974209
"TTest_VarUnequal","ghEqual",4928332,1000,10,10,0,1,1,3,0,1,0.008,0.000743174362298623,0.0152568256377014,0.061,0.0461661533512039,0.0758338466487961,0.141,0.1228961042321,0.1591038957679
"TTest_VarUnequal","ghEqual",57925701,1000,10,10,0,1,-1,1,0,1,0.031,0.0168814988308249,0.0451185011691751,0.171,0.147663732637802,0.194336267362198,0.311,0.286920042961521,0.335079957038479
"TTest_VarUnequal","ghEqual",60137379,1000,10,10,0,1,-3,3,0,1,0.167,0.136617283940767,0.197382716059233,0.543,0.512124493824392,0.573875506175608,0.758,0.735720359026681,0.780279640973319
"TTest_VarUnequal","ghEqual",781478,1000,10,10,0,1,-1,3,0,1,0.076,0.0544131814798011,0.0975868185201988,0.334,0.304767468970341,0.363232531029659,0.521,0.495013216956018,0.546986783043982
"TTest_VarUnequal","ghEqual",22298347,1000,10,10,0,1,1,-3,0,1,0.064,0.0440623590787676,0.0839376409212324,0.299,0.270624032731905,0.327375967268095,0.489,0.462996561362485,0.515003438637515
"TTest_VarUnequal","ghEqual",522260,1000,10,10,0.5,3,1,1,0,0,0.012,0.00313017698846251,0.0208698230115375,0.055,0.0408696369473392,0.0691303630526608,0.121,0.104035032774125,0.137964967225875
"TTest_VarUnequal","ghEqual",3164938,1000,10,10,0.5,3,3,3,0,0,0.003,-0.00145506520895037,0.00745506520895037,0.044,0.031288074009026,0.056711925990974,0.099,0.0834637609449713,0.114536239055029
"TTest_VarUnequal","ghEqual",5530232,1000,10,10,0.5,3,1,3,0,0,0.023,0.0107888361530934,0.0352111638469066,0.115,0.0952268151275522,0.134773184872448,0.199,0.178231329388355,0.219768670611645
"TTest_VarUnequal","ghEqual",312916,1000,10,10,0.5,3,-1,1,0,0,0.064,0.0440623590787676,0.0839376409212324,0.3,0.271596901577469,0.328403098422531,0.475,0.449022798757853,0.500977201242147
"TTest_VarUnequal","ghEqual",60764128,1000,10,10,0.5,3,-3,3,0,0,0.251,0.215679761435913,0.286320238564087,0.724,0.69629361303959,0.75170638696041,0.859,0.8408961042321,0.8771038957679
"TTest_VarUnequal","ghEqual",4336739,1000,10,10,0.5,3,-1,3,0,0,0.141,0.112650069606011,0.169349930393989,0.505,0.474011228485143,0.535988771514857,0.702,0.678207362359335,0.725792637640665
"TTest_VarUnequal","ghEqual",3932251,1000,10,10,0.5,3,1,-3,0,0,0.035,0.0200292507067949,0.0499707492932051,0.211,0.185710758682792,0.236289241317208,0.367,0.341927318177447,0.392072681822553
"TTest_VarUnequal","ghEqual",116887231,1000,10,10,1,3,1,1,0,0,0.022,0.0100511357687854,0.0339488642312146,0.097,0.0786563475392713,0.115343652460729,0.165,0.145691385487949,0.184308614512051
"TTest_VarUnequal","ghEqual",4294665,1000,10,10,1,3,3,3,0,0,0.02,0.00859556184636876,0.0314044381536312,0.084,0.0668073250946806,0.101192674905319,0.15,0.131425334794403,0.168574665205597
"TTest_VarUnequal","ghEqual",1134816,1000,10,10,1,3,1,3,0,0,0.051,0.0330789251822331,0.0689210748177669,0.177,0.153343928610186,0.200656071389814,0.288,0.264443967600634,0.311556032399366
"TTest_VarUnequal","ghEqual",1833204,1000,10,10,1,3,-1,1,0,0,0.147,0.1181544355504,0.1758455644496,0.472,0.441058309910414,0.502941690089586,0.667,0.642483925298388,0.691516074701612
"TTest_VarUnequal","ghEqual",2952859,1000,10,10,1,3,-3,3,0,0,0.484,0.443290722908113,0.524709277091887,0.885,0.865226815127552,0.904773184872448,0.957,0.946447482064692,0.967552517935308
"TTest_VarUnequal","ghEqual",161056994,1000,10,10,1,3,-1,3,0,0,0.261,0.225224284226532,0.296775715773468,0.671,0.641878396774903,0.700121603225097,0.835,0.815691385487949,0.854308614512051
"TTest_VarUnequal","ghEqual",68001537,1000,10,10,1,3,1,-3,0,0,0.011,0.00250349441805633,0.0194965055819437,0.108,0.0887624227720848,0.127237577227915,0.236,0.213911380043108,0.258088619956892
"TTest_VarUnequal","ghEqual",12345981,1000,10,10,1.5,3,1,1,0,0,0.052,0.0339136180042552,0.0700863819957448,0.188,0.163783408794795,0.212216591205205,0.297,0.273230404593788,0.320769595406212
"TTest_VarUnequal","ghEqual",96489226,1000,10,10,1.5,3,3,3,0,0,0.04,0.0240371118402715,0.0559628881597285,0.174,0.150502550810779,0.19749744918922,0.284,0.260542507644678,0.307457492355322
