"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"VW","Cauchy",90714306,1000,10,10,0,1,1,1,0.008,0.000743174362298623,0.0152568256377014,0.046,0.0330159800369839,0.0589840199630161,0.095,0.0797471150474738,0.110252884952526
"VW","Cauchy",6872334,1000,10,10,0,0.5,0.5,1,0.008,0.000743174362298623,0.0152568256377014,0.049,0.0356203617986135,0.0623796382013865,0.108,0.0918541762551426,0.124145823744857
"VW","Cauchy",295993,1000,10,10,0,2,2,1,0.007,0.000208440607931048,0.013791559392069,0.043,0.0304267871409094,0.0555732128590905,0.102,0.0862563960320389,0.117743603967961
"VW","Cauchy",1454638,1000,10,10,0,0.5,2,1,0.004,-0.00114168567534034,0.00914168567534034,0.043,0.0304267871409094,0.0555732128590905,0.093,0.0778918593210481,0.108108140678952
"VW","Cauchy",810201,1000,10,10,0,1,2,1,0.014,0.00442919794876103,0.023570802051239,0.055,0.0408696369473392,0.0691303630526608,0.112,0.0955948050179219,0.128405194982078
"VW","Cauchy",122963,1000,10,10,0.5,1,1,0,0.022,0.0100511357687854,0.0339488642312146,0.074,0.0577752720084434,0.0902247279915566,0.141,0.1228961042321,0.1591038957679
"VW","Cauchy",296667586,1000,10,10,0.5,0.5,0.5,0,0.046,0.0289352880486074,0.0630647119513926,0.163,0.140106478436029,0.185893521563971,0.278,0.254694581876739,0.301305418123261
"VW","Cauchy",428744,1000,10,10,0.5,2,2,0,0.011,0.00250349441805633,0.0194965055819437,0.064,0.0488300558208015,0.0791699441791986,0.122,0.10497476655373,0.13902523344627
"VW","Cauchy",85605,1000,10,10,0.5,0.5,2,0,0.021,0.00931989217584016,0.0326801078241598,0.065,0.0497201688491005,0.0802798311508995,0.132,0.114391890493298,0.149608109506702
"VW","Cauchy",148712184,1000,10,10,0.5,1,2,0,0.01,0.00189480522134107,0.0181051947786589,0.059,0.0443958296914888,0.0736041703085112,0.122,0.10497476655373,0.13902523344627
"VW","Cauchy",46289,1000,10,10,1,1,1,0,0.048,0.0305865448547395,0.0654134551452605,0.185,0.16093306749916,0.20906693250084,0.292,0.268347668520841,0.315652331479159
"VW","Cauchy",54235515,1000,10,10,1,0.5,0.5,0,0.209,0.175878709980679,0.242121290019321,0.449,0.418171312087603,0.479828687912397,0.58,0.554325349272093,0.605674650727907
