"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"VW","Logistic",13998906,1000,10,10,0,1,1,0.004,-0.00114168567534034,0.00914168567534034,0.054,0.0399912779169547,0.0680087220830453,0.098,0.0825338503207812,0.113466149679219
"VW","Logistic",797470,1000,10,10,0,3,1,0.01,0.00189480522134107,0.0181051947786589,0.042,0.0295673567733969,0.0544326432266031,0.09,0.0751129772116786,0.104887022788321
"VW","Logistic",178240835,1000,10,10,0.5,1,0,0.021,0.00931989217584016,0.0326801078241598,0.1,0.0814058073582099,0.11859419264179,0.171,0.151414204178155,0.190585795821845
"VW","Logistic",3454602,1000,10,10,1.5,1,0,0.165,0.134763531317298,0.195236468682702,0.417,0.386439646310947,0.447560353689053,0.549,0.52311546631722,0.574884533682781
"VW","Logistic",129352,1000,10,10,2,1,0,0.331,0.292666990704303,0.369333009295697,0.635,0.605160649470875,0.664839350529125,0.771,0.749141979321654,0.792858020678346
"VW","Logistic",280548660,1000,10,10,2.5,1,0,0.546,0.505442599960254,0.586557400039746,0.807,0.782539152884661,0.831460847115339,0.896,0.880120509025791,0.91187949097421
"VW","Logistic",321684,1000,10,10,0.5,3,0,0.008,0.000743174362298623,0.0152568256377014,0.051,0.0373643995951773,0.0646356004048227,0.11,0.0937236414545513,0.126276358545449
"VW","Logistic",505826,1000,10,10,1.5,3,0,0.011,0.00250349441805633,0.0194965055819437,0.085,0.0677147334414537,0.102285266558546,0.161,0.141881235631584,0.180118764368416
"VW","Logistic",1009281,1000,10,10,2,3,0,0.031,0.0168814988308249,0.0451185011691751,0.132,0.111020124843079,0.152979875156921,0.221,0.199416057867595,0.242583942132405
"VW","Logistic",2644170,1000,10,10,2.5,3,0,0.047,0.0297598421464303,0.0642401578535697,0.16,0.137277521261975,0.182722478738025,0.245,0.222627092849274,0.267372907150726
"VW","Logistic",45275,1000,20,20,0,1,1,0.01,0.00189480522134107,0.0181051947786589,0.055,0.0408696369473392,0.0691303630526608,0.11,0.0937236414545513,0.126276358545449
"VW","Logistic",982671,1000,20,20,0,3,1,0.008,0.000743174362298623,0.0152568256377014,0.047,0.0338824885896753,0.0601175114103247,0.097,0.0816044345418884,0.112395565458112
"VW","Logistic",17253722,1000,20,20,0.5,1,0,0.041,0.0248472269704549,0.0571527730295451,0.159,0.13633516136391,0.18166483863609,0.243,0.22068910569307,0.26531089430693
"VW","Logistic",331265799,1000,20,20,1.5,1,0,0.476,0.435316811911749,0.516683188088251,0.736,0.708678977940055,0.763321022059945,0.828,0.808368870220998,0.847631129779001
"VW","Logistic",5429683,1000,20,20,2,1,0,0.776,0.742037415772294,0.809962584227706,0.925,0.908674835376022,0.941325164623979,0.966,0.956572556810036,0.975427443189964
"VW","Logistic",1081843,1000,20,20,2.5,1,0,0.923,0.901283388015254,0.944716611984746,0.987,0.979979204489518,0.994020795510482,0.998,0.995675946235562,1.00032405376444
"VW","Logistic",332538,1000,20,20,0.5,3,0,0.01,0.00189480522134107,0.0181051947786589,0.058,0.0435124309285512,0.0724875690714488,0.119,0.102156694060399,0.135843305939601
"VW","Logistic",269454792,1000,20,20,1.5,3,0,0.042,0.0256599546164645,0.0583400453835355,0.152,0.129747654649453,0.174252345350547,0.239,0.216815115033541,0.261184884966459
"VW","Logistic",502079,1000,20,20,2,3,0,0.059,0.0398059475945281,0.0781940524054719,0.197,0.172348295280042,0.221651704719958,0.329,0.304558654436079,0.353441345563921
"VW","Logistic",30715,1000,20,20,2.5,3,0,0.109,0.0836137846589138,0.134386215341086,0.322,0.293039980221001,0.350960019778999,0.435,0.409210985005724,0.460789014994276
"VW","Logistic",172647,1000,100,100,0,1,1,0.012,0.00313017698846251,0.0208698230115375,0.045,0.0321511572505536,0.0578488427494463,0.1,0.0843941597470691,0.115605840252931
"VW","Logistic",4231821,1000,100,100,0,3,1,0.004,-0.00114168567534034,0.00914168567534034,0.031,0.0202576621538885,0.0417423378461115,0.077,0.0631320548466977,0.0908679451533023
"VW","Logistic",9494887,1000,100,100,0.5,1,0,0.267,0.230962597808166,0.303037402191834,0.511,0.480017179495727,0.541982820504273,0.639,0.614015542011582,0.663984457988418
"VW","Logistic",144234,1000,100,100,1.5,1,0,0.999,0.996425288322161,1.00157471167784,1,1,1,1,1,1
"VW","Logistic",2191103,1000,100,100,2,1,0,1,1,1,1,1,1,1,1,1
"VW","Logistic",12177792,1000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"VW","Logistic",1161747,1000,100,100,0.5,3,0,0.019,0.00787865885497617,0.0301213411450238,0.102,0.083241663357323,0.120758336642677,0.178,0.158101890695345,0.197898109304655
"VW","Logistic",178325,1000,100,100,1.5,3,0,0.288,0.25111225564695,0.32488774435305,0.514,0.483021829518191,0.544978170481809,0.64,0.61503065559531,0.66496934440469
"VW","Logistic",156831,1000,100,100,2,3,0,0.514,0.473285833081052,0.554714166918948,0.75,0.723161594682247,0.776838405317753,0.842,0.823026367192865,0.860973632807135
"VW","Logistic",3729839,1000,100,100,2.5,3,0,0.751,0.715773823990901,0.786226176009099,0.921,0.904281418289819,0.937718581710181,0.959,0.948685049831676,0.969314950168324
"VW","Logistic",1531063,1000,10,100,0,1,1,0.007,0.000208440607931048,0.013791559392069,0.041,0.0287098466079548,0.0532901533920452,0.084,0.0695704335616069,0.0984295664383931
"VW","Logistic",2454933,1000,10,100,0,3,1,0.016,0.00577876439250127,0.0262212356074987,0.057,0.0426302455970883,0.0713697544029117,0.102,0.0862563960320389,0.117743603967961
"VW","Logistic",6405771,1000,10,100,0.5,1,0,0.039,0.0232297035949225,0.0547702964050775,0.135,0.11381975354251,0.15618024645749,0.211,0.189775101037343,0.232224898962657
"VW","Logistic",353476,1000,10,100,1.5,1,0,0.481,0.440299281519069,0.521700718480931,0.729,0.701451086148452,0.756548913851548,0.821,0.801058216529733,0.840941783470267
"VW","Logistic",17533,1000,10,100,2,1,0,0.772,0.737823944809033,0.806176055190967,0.923,0.906476490881172,0.939523509118828,0.954,0.94310269753104,0.96489730246896
"VW","Logistic",12966801,1000,10,100,2.5,1,0,0.937,0.917208171053286,0.956791828946714,0.984,0.976222972907338,0.991777027092662,0.992,0.987365885802011,0.996634114197989
"VW","Logistic",178660511,1000,10,100,0.5,3,0,0.009,0.00130685460010016,0.0166931453998998,0.057,0.0426302455970883,0.0713697544029117,0.107,0.0909200934463225,0.123079906553677
"VW","Logistic",3186907,1000,10,100,1.5,3,0,0.033,0.0184482218290684,0.0475517781709316,0.147,0.125052287918783,0.168947712081217,0.241,0.218751777891818,0.263248222108182
"VW","Logistic",25222012,1000,10,100,2,3,0,0.069,0.0483535568568337,0.0896464431431663,0.197,0.172348295280042,0.221651704719958,0.302,0.278116548702082,0.325883451297918
"VW","Logistic",20619556,1000,10,100,2.5,3,0,0.122,0.0953392089011597,0.14866079109884,0.306,0.277437480111167,0.334562519888833,0.432,0.40623192691721,0.45776807308279
