"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"VW","ghEqual",228449015,1000,10,10,0,1,1,1,0,1,0.006,-0.000290927440687899,0.0122909274406879,0.046,0.0330159800369839,0.0589840199630161,0.088,0.0732631501873704,0.10273684981263
"VW","ghEqual",43374,1000,10,10,0,1,3,3,0,1,0.01,0.00189480522134107,0.0181051947786589,0.044,0.031288074009026,0.056711925990974,0.093,0.0778918593210481,0.108108140678952
"VW","ghEqual",390003,1000,10,10,0,1,1,3,0,1,0.013,0.00377266875765262,0.0222273312423474,0.094,0.0759122687326464,0.112087731267354,0.181,0.160971559222571,0.201028440777429
"VW","ghEqual",33359,1000,10,10,0,1,-1,1,0,1,0.023,0.0107888361530934,0.0352111638469066,0.138,0.116622877424686,0.159377122575314,0.246,0.223596331972197,0.268403668027803
"VW","ghEqual",430073,1000,10,10,0,1,-3,3,0,1,0.093,0.0693412945963647,0.116658705403635,0.314,0.285233769687357,0.342766230312643,0.472,0.446031081531954,0.497968918468046
"VW","ghEqual",83733,1000,10,10,0,1,-1,3,0,1,0.043,0.0264752059566238,0.0595247940433761,0.212,0.186666971566747,0.237333028433253,0.343,0.318305761000286,0.367694238999714
"VW","ghEqual",99312,1000,10,10,0,1,1,-3,0,1,0.049,0.0314153326496064,0.0665846673503936,0.226,0.200077267921764,0.251922732078236,0.368,0.342913021895812,0.393086978104188
"VW","ghEqual",319735347,1000,10,10,0.5,3,1,1,0,0,0.012,0.00313017698846251,0.0208698230115375,0.087,0.0695316821187614,0.104468317881239,0.158,0.139026367192865,0.176973632807135
"VW","ghEqual",12497775,1000,10,10,0.5,3,3,3,0,0,0.029,0.0153304419828584,0.0426695580171416,0.144,0.122239232954696,0.165760767045304,0.247,0.224565733892659,0.269434266107341
"VW","ghEqual",551267,1000,10,10,0.5,3,1,3,0,0,0.044,0.0272928972690056,0.0607071027309944,0.185,0.16093306749916,0.20906693250084,0.291,0.267371534709698,0.314628465290302
"VW","ghEqual",285053,1000,10,10,0.5,3,-1,1,0,0,0.047,0.0297598421464303,0.0642401578535697,0.245,0.218342919139561,0.271657080860439,0.378,0.352776404421653,0.403223595578347
"VW","ghEqual",1890726,1000,10,10,0.5,3,-3,3,0,0,0.154,0.124597016471385,0.183402983528615,0.447,0.416184274378169,0.477815725621831,0.605,0.579570247260836,0.630429752739164
"VW","ghEqual",2669053,1000,10,10,0.5,3,-1,3,0,0,0.099,0.0746709107563805,0.123329089243619,0.346,0.316516231339939,0.375483768660061,0.502,0.475990474323817,0.528009525676183
"VW","ghEqual",364023013,1000,10,10,0.5,3,1,-3,0,0,0.024,0.0115325857923946,0.0364674142076054,0.152,0.129747654649453,0.174252345350547,0.266,0.243014457911548,0.288985542088452
"VW","ghEqual",384836,1000,10,10,1,3,1,1,0,0,0.03,0.0161039184803773,0.0438960815196227,0.153,0.13068774360133,0.17531225639867,0.264,0.241069856485403,0.286930143514597
"VW","ghEqual",53683426,1000,10,10,1,3,3,3,0,0,0.074,0.0526760717825256,0.0953239282174744,0.238,0.211604977560154,0.264395022439846,0.355,0.330107991756891,0.379892008243109
"VW","ghEqual",2976788,1000,10,10,1,3,1,3,0,0,0.087,0.0640416393560864,0.109958360643914,0.29,0.261875536627342,0.318124463372658,0.41,0.384415093365423,0.435584906634577
"VW","ghEqual",541788,1000,10,10,1,3,-1,1,0,0,0.12,0.0935285447018869,0.146471455298113,0.407,0.376550467957619,0.437449532042381,0.543,0.517086628745472,0.568913371254528
"VW","ghEqual",891387,1000,10,10,1,3,-3,3,0,0,0.357,0.317971177104914,0.396028822895086,0.693,0.664411466606347,0.721588533393653,0.809,0.788551717016458,0.829448282983542
"VW","ghEqual",19415,1000,10,10,1,3,-1,3,0,0,0.202,0.169294334617746,0.234705665382255,0.525,0.494048441073187,0.555951558926813,0.666,0.641465554314393,0.690534445685607
"VW","ghEqual",10875713,1000,10,10,1,3,1,-3,0,0,0.014,0.00442919794876103,0.023570802051239,0.088,0.0704412002232499,0.10555879977675,0.17,0.150459781794975,0.189540218205025
"VW","ghEqual",2606046,1000,10,10,1.5,3,1,1,0,0,0.065,0.0449179362016749,0.0850820637983251,0.261,0.2337793466941,0.2882206533059,0.387,0.361663208238315,0.412336791761685
"VW","ghEqual",44823,1000,10,10,1.5,3,3,3,0,0,0.11,0.0845119151288293,0.135488084871171,0.326,0.296946743411452,0.355053256588548,0.472,0.446031081531954,0.497968918468046
"VW","ghEqual",130684,1000,10,10,1.5,3,1,3,0,0,0.158,0.128288098412656,0.187711901587344,0.391,0.360755034296597,0.421244965703403,0.555,0.529148104046802,0.580851895953199
"VW","ghEqual",6179010,1000,10,10,1.5,3,-1,1,0,0,0.239,0.204259414180184,0.273740585819816,0.567,0.536289170353115,0.597710829646885,0.719,0.69561790033006,0.74238209966994
"VW","ghEqual",1607877,1000,10,10,1.5,3,-3,3,0,0,0.705,0.667850632393,0.742149367607,0.923,0.906476490881172,0.939523509118828,0.963,0.953180714039453,0.972819285960547
"VW","ghEqual",1051077,1000,10,10,1.5,3,-1,3,0,0,0.377,0.337521507818864,0.416478492181136,0.707,0.678790227196945,0.735209772803055,0.823,0.803145797226406,0.842854202773594
"VW","ghEqual",48659,1000,10,10,1.5,3,1,-3,0,0,0.007,0.000208440607931048,0.013791559392069,0.055,0.0408696369473392,0.0691303630526608,0.113,0.0965310112097008,0.129468988790299
"VW","ghEqual",1841255,1000,10,10,2,3,1,1,0,0,0.135,0.107163104655871,0.162836895344129,0.402,0.371610770434248,0.432389229565752,0.555,0.529148104046802,0.580851895953199
"VW","ghEqual",2418360,1000,10,10,2,3,3,3,0,0,0.178,0.146840407556966,0.209159592443034,0.44,0.409233618347293,0.470766381652707,0.575,0.54928454045958,0.60071545954042
"VW","ghEqual",96071,1000,10,10,2,3,1,3,0,0,0.249,0.213773823990901,0.284226176009099,0.52,0.48903448111205,0.55096551888795,0.67,0.645539784802664,0.694460215197336
"VW","ghEqual",171886,1000,10,10,2,3,-1,1,0,0,0.369,0.329692654019077,0.408307345980923,0.745,0.717985041921187,0.772014958078813,0.846,0.827223638235803,0.864776361764197
"VW","ghEqual",43183495,1000,10,10,2,3,-3,3,0,0,0.998,0.994360630700794,1.00163936929921,1,1,1,1,1,1
"VW","ghEqual",4339699,1000,10,10,2,3,-1,3,0,0,0.607,0.567213431907539,0.64678656809246,0.873,0.852362121388088,0.893637878611912,0.945,0.933140588152231,0.956859411847769
"VW","ghEqual",45645713,1000,10,10,2,3,1,-3,0,0,0.012,0.00313017698846251,0.0208698230115375,0.054,0.0399912779169547,0.0680087220830453,0.102,0.0862563960320389,0.117743603967961
"VW","ghEqual",58262,1000,10,10,2.5,3,1,1,0,0,0.228,0.193823944809033,0.262176055190967,0.512,0.481018605428419,0.542981394571581,0.654,0.629254694160306,0.678745305839694
"VW","ghEqual",27181789,1000,10,10,2.5,3,3,3,0,0,0.227,0.19287689564978,0.26112310435022,0.543,0.512124493824392,0.573875506175608,0.695,0.671049850744202,0.718950149255798
"VW","ghEqual",179655090,1000,10,10,2.5,3,1,3,0,0,0.362,0.322851918541824,0.401148081458176,0.651,0.621456681323859,0.680543318676141,0.783,0.761557439197358,0.804442560802642
"VW","ghEqual",84239,1000,10,10,2.5,3,-1,1,0,0,0.609,0.569249473646957,0.648750526353043,0.877,0.856643250907868,0.897356749092132,0.935,0.922175855998352,0.947824144001648
"VW","ghEqual",1165457,1000,10,10,2.5,3,-3,3,0,0,1,1,1,1,1,1,1,1,1
