"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"WMW_Asymp","Cauchy",3762860,1000,10,10,0,1,1,1,0.004,-0.00114168567534034,0.00914168567534034,0.034,0.0227673017311066,0.0452326982688934,0.078,0.0640498568501968,0.0919501431498032
"WMW_Asymp","Cauchy",5069607,1000,10,10,0,0.5,0.5,1,0.008,0.000743174362298623,0.0152568256377014,0.056,0.0417493037924458,0.0702506962075542,0.103,0.0871882209800731,0.118811779019927
"WMW_Asymp","Cauchy",15700194,1000,10,10,0,2,2,1,0.004,-0.00114168567534034,0.00914168567534034,0.037,0.0253004252384969,0.0486995747615031,0.096,0.0806755204460315,0.111324479553969
"WMW_Asymp","Cauchy",10823605,1000,10,10,0,0.5,2,1,0.011,0.00250349441805633,0.0194965055819437,0.055,0.0408696369473392,0.0691303630526608,0.108,0.0918541762551426,0.124145823744857
"WMW_Asymp","Cauchy",1171100,1000,10,10,0,1,2,1,0.01,0.00189480522134107,0.0181051947786589,0.042,0.0295673567733969,0.0544326432266031,0.086,0.0714156114595092,0.100584388540491
"WMW_Asymp","Cauchy",363371,1000,10,10,0.5,1,1,0,0.014,0.00442919794876103,0.023570802051239,0.081,0.0640895043715449,0.0979104956284551,0.143,0.124789396776191,0.161210603223809
"WMW_Asymp","Cauchy",257079,1000,10,10,0.5,0.5,0.5,0,0.065,0.0449179362016749,0.0850820637983251,0.197,0.172348295280042,0.221651704719958,0.297,0.273230404593788,0.320769595406212
"WMW_Asymp","Cauchy",28749,1000,10,10,0.5,2,2,0,0.006,-0.000290927440687899,0.0122909274406879,0.051,0.0373643995951773,0.0646356004048227,0.089,0.0741877820372842,0.103812217962716
"WMW_Asymp","Cauchy",102266795,1000,10,10,0.5,0.5,2,0,0.021,0.00931989217584016,0.0326801078241598,0.079,0.062281418289819,0.095718581710181,0.144,0.125736499086977,0.162263500913023
"WMW_Asymp","Cauchy",8648896,1000,10,10,0.5,1,2,0,0.02,0.00859556184636876,0.0314044381536312,0.07,0.0541858240809077,0.0858141759190924,0.121,0.104035032774125,0.137964967225875
"WMW_Asymp","Cauchy",12285950,1000,10,10,1,1,1,0,0.051,0.0330789251822331,0.0689210748177669,0.178,0.154291614445517,0.201708385554483,0.263,0.240097783256309,0.285902216743691
"WMW_Asymp","Cauchy",615944,1000,10,10,1,0.5,0.5,0,0.225,0.190983629823275,0.259016370176725,0.487,0.456020155429699,0.517979844570301,0.615,0.589687570851951,0.640312429148049
"WMW_Asymp","Cauchy",14005937,1000,10,10,1,2,2,0,0.018,0.00716976562691277,0.0288302343730872,0.074,0.0577752720084434,0.0902247279915566,0.143,0.124789396776191,0.161210603223809
"WMW_Asymp","Cauchy",182165188,1000,10,10,1,0.5,2,0,0.038,0.0224251026502259,0.0535748973497741,0.144,0.122239232954696,0.165760767045304,0.223,0.201346463157835,0.244653536842165
"WMW_Asymp","Cauchy",122247,1000,10,10,1,1,2,0,0.026,0.0130368062799324,0.0389631937200676,0.118,0.098004541475625,0.137995458524375,0.194,0.17343000016772,0.21456999983228
"WMW_Asymp","Cauchy",16619,1000,10,10,1.5,1,1,0,0.139,0.110819101577416,0.167180898422584,0.325,0.295969826042547,0.354030173957453,0.45,0.424120641671402,0.475879358328599
"WMW_Asymp","Cauchy",110882,1000,10,10,1.5,0.5,0.5,0,0.439,0.398574113769714,0.479425886230286,0.697,0.668516472381392,0.725483527618608,0.796,0.775037768162717,0.816962231837283
"WMW_Asymp","Cauchy",536675,1000,10,10,1.5,2,2,0,0.037,0.0216234160277388,0.0523765839722612,0.129,0.108224092453036,0.149775907546964,0.215,0.193629240318253,0.236370759681747
"WMW_Asymp","Cauchy",30635783,1000,10,10,1.5,0.5,2,0,0.085,0.062282221094482,0.107717778905518,0.239,0.212566945571879,0.265433054428121,0.34,0.315357921962627,0.364642078037373
"WMW_Asymp","Cauchy",351045,1000,10,10,1.5,1,2,0,0.067,0.0466331398213667,0.0873668601786333,0.184,0.159983480885024,0.208016519114976,0.28,0.256643317016323,0.303356682983677
"WMW_Asymp","Cauchy",36444,1000,10,10,2,1,1,0,0.193,0.160851458076983,0.225148541923017,0.463,0.432094646910284,0.493905353089716,0.616,0.590699921391426,0.641300078608574
"WMW_Asymp","Cauchy",18505135,1000,10,10,2,0.5,0.5,0,0.553,0.512499332039879,0.593500667960121,0.802,0.777301200158712,0.826698799841288,0.881,0.864156694060399,0.897843305939601
"WMW_Asymp","Cauchy",15084421,1000,10,10,2,2,2,0,0.057,0.0381140370704589,0.0758859629295411,0.197,0.172348295280042,0.221651704719958,0.3,0.276161685252518,0.323838314747482
"WMW_Asymp","Cauchy",32593,1000,10,10,2,0.5,2,0,0.158,0.128288098412656,0.187711901587344,0.372,0.342042376168995,0.401957623831005,0.501,0.474990318264635,0.527009681735365
"WMW_Asymp","Cauchy",254109,1000,10,10,2,1,2,0,0.111,0.0854107104455008,0.136589289554499,0.295,0.266734176820761,0.323265823179239,0.431,0.405239121424629,0.456760878575371
"WMW_Asymp","Cauchy",4518497,1000,10,10,2.5,1,1,0,0.318,0.28006399394011,0.35593600605989,0.597,0.566598447644898,0.627401552355102,0.72,0.696643317016323,0.743356682983677
"WMW_Asymp","Cauchy",60070,1000,10,10,2.5,0.5,0.5,0,0.671,0.632725892904158,0.709274107095842,0.889,0.869529888382446,0.908470111617554,0.937,0.924361196188919,0.949638803811081
"WMW_Asymp","Cauchy",59522,1000,10,10,2.5,2,2,0,0.088,0.0649227202934141,0.111077279706586,0.254,0.227019975270582,0.280980024729418,0.345,0.320271595292559,0.369728404707441
"WMW_Asymp","Cauchy",53282,1000,10,10,2.5,0.5,2,0,0.235,0.200460940510778,0.269539059489222,0.499,0.468009740911054,0.529990259088946,0.596,0.570474179276662,0.621525820723338
"WMW_Asymp","Cauchy",7100441,1000,10,10,2.5,1,2,0,0.152,0.122754060396424,0.181245939603576,0.376,0.345977815562488,0.406022184437512,0.506,0.479992139013368,0.532007860986632
"WMW_Asymp","Cauchy",36113527,1000,20,20,0,1,1,1,0.005,-0.000745692786775151,0.0107456927867752,0.032,0.0210914069834832,0.0429085930165168,0.069,0.0558154507102063,0.0821845492897937
"WMW_Asymp","Cauchy",304230,1000,20,20,0,0.5,0.5,1,0.007,0.000208440607931048,0.013791559392069,0.043,0.0304267871409094,0.0555732128590905,0.091,0.0760387272608578,0.105961272739142
"WMW_Asymp","Cauchy",129286007,1000,20,20,0,2,2,1,0.014,0.00442919794876103,0.023570802051239,0.052,0.038238622394542,0.065761377605458,0.1,0.0843941597470691,0.115605840252931
"WMW_Asymp","Cauchy",2922286,1000,20,20,0,0.5,2,1,0.011,0.00250349441805633,0.0194965055819437,0.04,0.0278543242262935,0.0521456757737065,0.096,0.0806755204460315,0.111324479553969
"WMW_Asymp","Cauchy",3543151,1000,20,20,0,1,2,1,0.012,0.00313017698846251,0.0208698230115375,0.044,0.031288074009026,0.056711925990974,0.099,0.0834637609449713,0.114536239055029
"WMW_Asymp","Cauchy",45947,1000,20,20,0.5,1,1,0,0.045,0.0281129495292991,0.0618870504707009,0.131,0.110087709298118,0.151912290701882,0.224,0.202311936702416,0.245688063297584
"WMW_Asymp","Cauchy",17220391,1000,20,20,0.5,0.5,0.5,0,0.165,0.134763531317298,0.195236468682702,0.367,0.337126166339085,0.396873833660915,0.48,0.454011082361899,0.505988917638101
"WMW_Asymp","Cauchy",39374,1000,20,20,0.5,2,2,0,0.017,0.00646954641356793,0.0275304535864321,0.084,0.0668073250946806,0.101192674905319,0.13,0.112505674419973,0.147494325580027
"WMW_Asymp","Cauchy",18102,1000,20,20,0.5,0.5,2,0,0.036,0.0208247579820287,0.0511752420179712,0.135,0.11381975354251,0.15618024645749,0.196,0.175349909356131,0.216650090643869
