"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"WMW_Asymp","Logistic",76043022,1000,10,10,0,1,1,0.007,0.000208440607931048,0.013791559392069,0.034,0.0227673017311066,0.0452326982688934,0.09,0.0751129772116786,0.104887022788321
"WMW_Asymp","Logistic",3817422,1000,10,10,0,3,1,0.008,0.000743174362298623,0.0152568256377014,0.041,0.0287098466079548,0.0532901533920452,0.092,0.0769650239641029,0.107034976035897
"WMW_Asymp","Logistic",87814,1000,10,10,0.5,1,0,0.012,0.00313017698846251,0.0208698230115375,0.074,0.0577752720084434,0.0902247279915566,0.124,0.106855343118044,0.141144656881956
"WMW_Asymp","Logistic",110090671,1000,10,10,1.5,1,0,0.194,0.161788255581791,0.226211744418209,0.454,0.423141108665411,0.484858891334589,0.569,0.543239121424629,0.594760878575371
"WMW_Asymp","Logistic",37944,1000,10,10,2,1,0,0.334,0.295580102075305,0.372419897924695,0.617,0.58687007571201,0.64712992428799,0.741,0.71821101994439,0.76378898005561
"WMW_Asymp","Logistic",41644848,1000,10,10,2.5,1,0,0.548,0.507457982634112,0.588542017365889,0.809,0.784636088360036,0.833363911639965,0.888,0.871594805017922,0.904405194982078
"WMW_Asymp","Logistic",818425,1000,10,10,0.5,3,0,0.006,-0.000290927440687899,0.0122909274406879,0.047,0.0338824885896753,0.0601175114103247,0.094,0.0788192255434711,0.109180774456529
"WMW_Asymp","Logistic",10234679,1000,10,10,1.5,3,0,0.015,0.00509830366048322,0.0249016963395168,0.086,0.0686228562070748,0.103377143792925,0.15,0.131425334794403,0.168574665205597
"WMW_Asymp","Logistic",728174,1000,10,10,2,3,0,0.034,0.0192370251323116,0.0487629748676884,0.107,0.087840962404129,0.126159037595871,0.193,0.172470360456769,0.213529639543231
"WMW_Asymp","Logistic",167624,1000,10,10,2.5,3,0,0.032,0.017662992035435,0.046337007964565,0.139,0.117558012069773,0.160441987930227,0.248,0.225535297945443,0.270464702054557
"WMW_Asymp","Logistic",260361,1000,20,20,0,1,1,0.007,0.000208440607931048,0.013791559392069,0.039,0.0270008614309193,0.0509991385690807,0.095,0.0797471150474738,0.110252884952526
"WMW_Asymp","Logistic",13560028,1000,20,20,0,3,1,0.006,-0.000290927440687899,0.0122909274406879,0.038,0.0261495346251719,0.0498504653748281,0.09,0.0751129772116786,0.104887022788321
"WMW_Asymp","Logistic",79763,1000,20,20,0.5,1,0,0.045,0.0281129495292991,0.0618870504707009,0.161,0.138220195646143,0.183779804353857,0.241,0.218751777891818,0.263248222108182
"WMW_Asymp","Logistic",308217,1000,20,20,1.5,1,0,0.477,0.436312979041272,0.517687020958728,0.758,0.731454044797747,0.784545955202253,0.854,0.835631602652926,0.872368397347074
"WMW_Asymp","Logistic",63822,1000,20,20,2,1,0,0.779,0.745200465086277,0.812799534913723,0.929,0.91308183131136,0.94491816868864,0.963,0.953180714039453,0.972819285960547
"WMW_Asymp","Logistic",15463374,1000,20,20,2.5,1,0,0.949,0.931078925182233,0.966921074817767,0.992,0.986478502232184,0.997521497767816,0.996,0.992716586593193,0.999283413406807
"WMW_Asymp","Logistic",28571593,1000,20,20,0.5,3,0,0.01,0.00189480522134107,0.0181051947786589,0.062,0.0470530240650491,0.0769469759349509,0.116,0.0993420701286144,0.132657929871386
"WMW_Asymp","Logistic",2556922,1000,20,20,1.5,3,0,0.042,0.0256599546164645,0.0583400453835355,0.146,0.124114249969444,0.167885750030556,0.232,0.210042115074534,0.253957884925466
"WMW_Asymp","Logistic",254927348,1000,20,20,2,3,0,0.075,0.0535440693513425,0.0964559306486575,0.235,0.208720280823418,0.261279719176582,0.327,0.302596770136414,0.351403229863586
"WMW_Asymp","Logistic",7802965,1000,20,20,2.5,3,0,0.117,0.0908170159390493,0.143182984060951,0.324,0.294993059478807,0.353006940521193,0.425,0.39928454045958,0.45071545954042
"WMW_Asymp","Logistic",7580428,1000,100,100,0,1,1,0.007,0.000208440607931048,0.013791559392069,0.051,0.0373643995951773,0.0646356004048227,0.101,0.0853250402241345,0.116674959775865
"WMW_Asymp","Logistic",197173,1000,100,100,0,3,1,0.009,0.00130685460010016,0.0166931453998998,0.051,0.0373643995951773,0.0646356004048227,0.103,0.0871882209800731,0.118811779019927
"WMW_Asymp","Logistic",5009833,1000,100,100,0.5,1,0,0.331,0.292666990704303,0.369333009295697,0.559,0.528226189862157,0.589773810137843,0.682,0.657774561347625,0.706225438652375
"WMW_Asymp","Logistic",12768537,1000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1
"WMW_Asymp","Logistic",31892,1000,100,100,2,1,0,1,1,1,1,1,1,1,1,1
"WMW_Asymp","Logistic",28273,1000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"WMW_Asymp","Logistic",152222989,1000,100,100,0.5,3,0,0.021,0.00931989217584016,0.0326801078241598,0.088,0.0704412002232499,0.10555879977675,0.171,0.151414204178155,0.190585795821845
"WMW_Asymp","Logistic",223403553,1000,100,100,1.5,3,0,0.278,0.241504706938894,0.314495293061106,0.528,0.497058309910414,0.558941690089586,0.652,0.627221254099531,0.676778745900469
"WMW_Asymp","Logistic",744925,1000,100,100,2,3,0,0.548,0.507457982634112,0.588542017365889,0.777,0.751200041209335,0.802799958790665,0.859,0.8408961042321,0.8771038957679
"WMW_Asymp","Logistic",108985958,1000,100,100,2.5,3,0,0.752,0.716821232527333,0.787178767472667,0.92,0.903185073297811,0.936814926702189,0.961,0.950929294415236,0.971070705584764
"WMW_Asymp","Logistic",14638151,1000,10,100,0,1,1,0.013,0.00377266875765262,0.0222273312423474,0.058,0.0435124309285512,0.0724875690714488,0.108,0.0918541762551426,0.124145823744857
"WMW_Asymp","Logistic",51378294,1000,10,100,0,3,1,0.01,0.00189480522134107,0.0181051947786589,0.05,0.0364916322229516,0.0635083677770484,0.091,0.0760387272608578,0.105961272739142
"WMW_Asymp","Logistic",60083,1000,10,100,0.5,1,0,0.039,0.0232297035949225,0.0547702964050775,0.133,0.111952939929767,0.154047060070233,0.207,0.185924025294782,0.228075974705218
"WMW_Asymp","Logistic",6613167,1000,10,100,1.5,1,0,0.457,0.416420763312058,0.497579236687942,0.724,0.69629361303959,0.75170638696041,0.82,0.800014773206191,0.839985226793809
"WMW_Asymp","Logistic",419263,1000,10,100,2,1,0,0.747,0.711586698233347,0.782413301766653,0.902,0.883572247190718,0.920427752809282,0.948,0.936450272366848,0.959549727633152
"WMW_Asymp","Logistic",272003,1000,10,100,2.5,1,0,0.907,0.883341294596365,0.930658705403635,0.978,0.968908472867554,0.987091527132446,0.99,0.98482412833428,0.99517587166572
"WMW_Asymp","Logistic",409959,1000,10,100,0.5,3,0,0.016,0.00577876439250127,0.0262212356074987,0.064,0.0488300558208015,0.0791699441791986,0.124,0.106855343118044,0.141144656881956
"WMW_Asymp","Logistic",2921218,1000,10,100,1.5,3,0,0.037,0.0216234160277388,0.0523765839722612,0.136,0.114753744649939,0.157246255350061,0.234,0.211976404809841,0.256023595190159
"WMW_Asymp","Logistic",287194,1000,10,100,2,3,0,0.072,0.0509435043462593,0.0930564956537407,0.198,0.173301200158712,0.222698799841288,0.3,0.276161685252518,0.323838314747482
"WMW_Asymp","Logistic",118562205,1000,10,100,2.5,3,0,0.11,0.0845119151288293,0.135488084871171,0.305,0.276463651950539,0.333536348049461,0.426,0.400276702056307,0.451723297943693
