"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"WMW_Asymp","Normal",279686,1000,10,10,0,1,1,0.01,0.00189480522134107,0.0181051947786589,0.04,0.0278543242262935,0.0521456757737065,0.096,0.0806755204460315,0.111324479553969
"WMW_Asymp","Normal",35927747,1000,10,10,0,3,1,0.012,0.00313017698846251,0.0208698230115375,0.044,0.031288074009026,0.056711925990974,0.084,0.0695704335616069,0.0984295664383931
"WMW_Asymp","Normal",77550357,1000,10,10,0.5,1,0,0.042,0.0256599546164645,0.0583400453835355,0.166,0.142938203226982,0.189061796773018,0.264,0.241069856485403,0.286930143514597
"WMW_Asymp","Normal",65938235,1000,10,10,1.5,1,0,0.598,0.558059869713583,0.637940130286417,0.879,0.858786422028745,0.899213577971255,0.947,0.935345897684721,0.958654102315279
"WMW_Asymp","Normal",237145575,1000,10,10,2,1,0,0.882,0.855720254510821,0.908279745489179,0.978,0.968908472867554,0.987091527132446,0.992,0.987365885802011,0.996634114197989
"WMW_Asymp","Normal",62125,1000,10,10,2.5,1,0,0.987,0.977772668757653,0.996227331242347,0.999,0.997040980245123,1.00095901975488,0.999,0.997355822705728,1.00064417729427
"WMW_Asymp","Normal",1682391,1000,10,10,0.5,3,0,0.012,0.00313017698846251,0.0208698230115375,0.061,0.0461661533512039,0.0758338466487961,0.094,0.0788192255434711,0.109180774456529
"WMW_Asymp","Normal",241871,1000,10,10,1.5,3,0,0.04,0.0240371118402715,0.0559628881597285,0.159,0.13633516136391,0.18166483863609,0.266,0.243014457911548,0.288985542088452
"WMW_Asymp","Normal",52924,1000,10,10,2,3,0,0.075,0.0535440693513425,0.0964559306486575,0.267,0.239580237462735,0.294419762537265,0.373,0.347843275794035,0.398156724205965
"WMW_Asymp","Normal",12676580,1000,10,10,2.5,3,0,0.133,0.105338149621979,0.160661850378021,0.363,0.333195688070348,0.392804311929652,0.497,0.470990734424536,0.523009265575464
"WMW_Asymp","Normal",107048,1000,20,20,0,1,1,0.009,0.00130685460010016,0.0166931453998998,0.051,0.0373643995951773,0.0646356004048227,0.105,0.0890532542700713,0.120946745729929
"WMW_Asymp","Normal",59178501,1000,20,20,0,3,1,0.006,-0.000290927440687899,0.0122909274406879,0.047,0.0338824885896753,0.0601175114103247,0.092,0.0769650239641029,0.107034976035897
"WMW_Asymp","Normal",3684669,1000,20,20,0.5,1,0,0.11,0.0845119151288293,0.135488084871171,0.291,0.262846934973257,0.319153065026743,0.412,0.386396273857112,0.437603726142888
"WMW_Asymp","Normal",440014,1000,20,20,1.5,1,0,0.962,0.946425102650226,0.977574897349774,0.993,0.987832509158208,0.998167490841792,0.998,0.995675946235562,1.00032405376444
"WMW_Asymp","Normal",7166398,1000,20,20,2,1,0,1,1,1,1,1,1,1,1,1
"WMW_Asymp","Normal",445764,1000,20,20,2.5,1,0,1,1,1,1,1,1,1,1,1
"WMW_Asymp","Normal",391649,1000,20,20,0.5,3,0,0.02,0.00859556184636876,0.0314044381536312,0.086,0.0686228562070748,0.103377143792925,0.144,0.125736499086977,0.162263500913023
"WMW_Asymp","Normal",90520508,1000,20,20,1.5,3,0,0.125,0.0980595471456028,0.151940452854397,0.319,0.290111501555117,0.347888498444883,0.444,0.418153914114512,0.469846085885488
"WMW_Asymp","Normal",510273,1000,20,20,2,3,0,0.261,0.225224284226532,0.296775715773468,0.506,0.4750119103138,0.5369880896862,0.614,0.588675333188766,0.639324666811234
"WMW_Asymp","Normal",44186,1000,20,20,2.5,3,0,0.433,0.392637195321237,0.473362804678763,0.698,0.6695431218578,0.7264568781422,0.814,0.79375887826478,0.83424112173522
"WMW_Asymp","Normal",10550157,1000,100,100,0,1,1,0.011,0.00250349441805633,0.0194965055819437,0.049,0.0356203617986135,0.0623796382013865,0.103,0.0871882209800731,0.118811779019927
"WMW_Asymp","Normal",29620836,1000,100,100,0,3,1,0.011,0.00250349441805633,0.0194965055819437,0.05,0.0364916322229516,0.0635083677770484,0.103,0.0871882209800731,0.118811779019927
"WMW_Asymp","Normal",174177049,1000,100,100,0.5,1,0,0.796,0.76317403695268,0.82882596304732,0.934,0.918611316157644,0.949388683842356,0.967,0.957707424265845,0.976292575734155
"WMW_Asymp","Normal",115857,1000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1
"WMW_Asymp","Normal",51988,1000,100,100,2,1,0,1,1,1,1,1,1,1,1,1
"WMW_Asymp","Normal",138214441,1000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"WMW_Asymp","Normal",50303303,1000,100,100,0.5,3,0,0.081,0.0587747771740304,0.10322522282597,0.228,0.201996479746004,0.254003520253996,0.333,0.308483925298388,0.357516074701612
"WMW_Asymp","Normal",366803,1000,100,100,1.5,3,0,0.791,0.757878709980679,0.824121290019321,0.925,0.908674835376022,0.941325164623979,0.969,0.959984109307728,0.978015890692272
"WMW_Asymp","Normal",87117322,1000,100,100,2,3,0,0.98,0.968595561846369,0.991404438153631,0.997,0.993610276471451,1.00038972352855,0.998,0.995675946235562,1.00032405376444
"WMW_Asymp","Normal",82179628,1000,100,100,2.5,3,0,1,1,1,1,1,1,1,1,1
"WMW_Asymp","Normal",68444,1000,10,100,0,1,1,0.012,0.00313017698846251,0.0208698230115375,0.05,0.0364916322229516,0.0635083677770484,0.107,0.0909200934463225,0.123079906553677
"WMW_Asymp","Normal",457141,1000,10,100,0,3,1,0.005,-0.000745692786775151,0.0107456927867752,0.044,0.031288074009026,0.056711925990974,0.097,0.0816044345418884,0.112395565458112
"WMW_Asymp","Normal",355109123,1000,10,100,0.5,1,0,0.125,0.0980595471456028,0.151940452854397,0.332,0.302811394661615,0.361188605338385,0.439,0.413184556347508,0.464815443652492
