"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"WMW_Asymp","Normal2Var",580825,1000,10,10,0,1,2,1,0.008,0.000743174362298623,0.0152568256377014,0.048,0.0347506319546931,0.0612493680453069,0.083,0.0686487537553354,0.0973512462446646
"WMW_Asymp","Normal2Var",10195591,1000,10,10,0,3,5,1,0.009,0.00130685460010016,0.0166931453998998,0.049,0.0356203617986135,0.0623796382013865,0.098,0.0825338503207812,0.113466149679219
"WMW_Asymp","Normal2Var",7788031,1000,10,10,0,1,5,1,0.017,0.00646954641356793,0.0275304535864321,0.065,0.0497201688491005,0.0802798311508995,0.123,0.105914871297675,0.140085128702325
"WMW_Asymp","Normal2Var",327909598,1000,10,10,0.5,1,2,0,0.031,0.0168814988308249,0.0451185011691751,0.117,0.0970781643014505,0.136921835698549,0.182,0.16192857309756,0.20207142690244
"WMW_Asymp","Normal2Var",29947053,1000,10,10,1.5,1,2,0,0.211,0.177762711411669,0.244237288588331,0.484,0.453025550038782,0.514974449961218,0.605,0.579570247260836,0.630429752739164
"WMW_Asymp","Normal2Var",261385905,1000,10,10,2,1,2,0,0.423,0.382755739737249,0.463244260262751,0.702,0.673651325364314,0.730348674635686,0.808,0.787510932319893,0.828489067680107
"WMW_Asymp","Normal2Var",103468,1000,10,10,2.5,1,2,0,0.635,0.595782567876007,0.674217432123993,0.882,0.862004541475625,0.901995458524375,0.938,0.925455216626023,0.950544783373977
"WMW_Asymp","Normal2Var",41306004,1000,10,10,0.5,3,5,0,0.016,0.00577876439250127,0.0262212356074987,0.071,0.05508183131136,0.08691816868864,0.121,0.104035032774125,0.137964967225875
"WMW_Asymp","Normal2Var",1385078,1000,10,10,1.5,3,5,0,0.026,0.0130368062799324,0.0389631937200676,0.119,0.0989313801570711,0.139068619842929,0.207,0.185924025294782,0.228075974705218
"WMW_Asymp","Normal2Var",183515,1000,10,10,2,3,5,0,0.05,0.0322461452073078,0.0677538547926922,0.164,0.141050082213655,0.186949917786345,0.243,0.22068910569307,0.26531089430693
"WMW_Asymp","Normal2Var",2621715,1000,10,10,2.5,3,5,0,0.062,0.0423554030569217,0.0816445969430783,0.221,0.195282962565645,0.246717037434355,0.309,0.284962784021959,0.333037215978041
"WMW_Asymp","Normal2Var",74478,1000,10,10,0.5,1,5,0,0.023,0.0107888361530934,0.0352111638469066,0.082,0.0649946984266671,0.099005301573333,0.134,0.116279447945958,0.151720552054042
"WMW_Asymp","Normal2Var",55120,1000,10,10,1.5,1,5,0,0.048,0.0305865448547395,0.0654134551452605,0.159,0.13633516136391,0.18166483863609,0.242,0.219720359026681,0.264279640973319
"WMW_Asymp","Normal2Var",256354130,1000,10,10,2,1,5,0,0.074,0.0526760717825256,0.0953239282174744,0.202,0.177115254600459,0.226884745399541,0.294,0.270300350781077,0.317699649218923
"WMW_Asymp","Normal2Var",16887716,1000,10,10,2.5,1,5,0,0.132,0.104426449793761,0.159573550206239,0.299,0.270624032731905,0.327375967268095,0.401,0.37550520643396,0.42649479356604
"WMW_Asymp","Normal2Var",31560,1000,20,20,0,1,2,1,0.009,0.00130685460010016,0.0166931453998998,0.059,0.0443958296914888,0.0736041703085112,0.109,0.0927886940077303,0.12521130599227
"WMW_Asymp","Normal2Var",1960178,1000,20,20,0,3,5,1,0.015,0.00509830366048322,0.0249016963395168,0.06,0.0452804130492734,0.0747195869507266,0.125,0.107796178204393,0.142203821795607
"WMW_Asymp","Normal2Var",21933,1000,20,20,0,1,5,1,0.019,0.00787865885497617,0.0301213411450238,0.077,0.0604764908811718,0.0935235091188282,0.138,0.120058486410004,0.155941513589996
"WMW_Asymp","Normal2Var",26503046,1000,20,20,0.5,1,2,0,0.053,0.03475017169352,0.07124982830648,0.166,0.142938203226982,0.189061796773018,0.264,0.241069856485403,0.286930143514597
"WMW_Asymp","Normal2Var",28045,1000,20,20,1.5,1,2,0,0.574,0.5337184100286,0.6142815899714,0.825,0.801449394912232,0.848550605087768,0.901,0.885463760944971,0.916536239055029
"WMW_Asymp","Normal2Var",838119,1000,20,20,2,1,2,0,0.863,0.834990101173764,0.891009898826236,0.965,0.9536092124943,0.9763907875057,0.982,0.975083953593273,0.988916046406727
"WMW_Asymp","Normal2Var",6528687,1000,20,20,2.5,1,2,0,0.972,0.958561276860654,0.985438723139346,0.997,0.993610276471451,1.00038972352855,0.998,0.995675946235562,1.00032405376444
"WMW_Asymp","Normal2Var",29158046,1000,20,20,0.5,3,5,0,0.011,0.00250349441805633,0.0194965055819437,0.075,0.0586748353760215,0.0913251646239785,0.135,0.117223721723178,0.152776278276822
"WMW_Asymp","Normal2Var",287892610,1000,20,20,1.5,3,5,0,0.069,0.0483535568568337,0.0896464431431663,0.214,0.188580076978873,0.239419923021127,0.304,0.280071949649,0.327928050351
"WMW_Asymp","Normal2Var",709718,1000,20,20,2,3,5,0,0.115,0.0890123855962114,0.140987614403789,0.306,0.277437480111167,0.334562519888833,0.411,0.38540562901779,0.43659437098221
"WMW_Asymp","Normal2Var",18146093,1000,20,20,2.5,3,5,0,0.204,0.17117403695268,0.23682596304732,0.432,0.401297615050293,0.462702384949707,0.558,0.532165852406166,0.583834147593834
"WMW_Asymp","Normal2Var",19913904,1000,20,20,0.5,1,5,0,0.028,0.0145612768606538,0.0414387231393462,0.112,0.0924533847022048,0.131546615297795,0.173,0.153323778239332,0.192676221760668
"WMW_Asymp","Normal2Var",35002925,1000,20,20,1.5,1,5,0,0.106,0.0809234636190721,0.131076536380928,0.275,0.247324758356972,0.302675241643028,0.379,0.353763373086425,0.404236626913575
"WMW_Asymp","Normal2Var",1744229,1000,20,20,2,1,5,0,0.204,0.17117403695268,0.23682596304732,0.423,0.392379367191385,0.453620632808615,0.52,0.494011082361899,0.545988917638101
"WMW_Asymp","Normal2Var",37708,1000,20,20,2.5,1,5,0,0.294,0.256887357818878,0.331112642181122,0.537,0.506094646910284,0.567905353089716,0.658,0.633323026078954,0.682676973921046
"WMW_Asymp","Normal2Var",3566394,1000,100,100,0,1,2,1,0.015,0.00509830366048322,0.0249016963395168,0.058,0.0435124309285512,0.0724875690714488,0.111,0.0946590134638388,0.127340986536161
"WMW_Asymp","Normal2Var",513723,1000,100,100,0,3,5,1,0.016,0.00577876439250127,0.0262212356074987,0.058,0.0435124309285512,0.0724875690714488,0.11,0.0937236414545513,0.126276358545449
"WMW_Asymp","Normal2Var",43229,1000,100,100,0,1,5,1,0.02,0.00859556184636876,0.0314044381536312,0.086,0.0686228562070748,0.103377143792925,0.158,0.139026367192865,0.176973632807135
"WMW_Asymp","Normal2Var",28029325,1000,100,100,0.5,1,2,0,0.361,0.321875401958563,0.400124598041437,0.583,0.552439646310947,0.613560353689053,0.695,0.671049850744202,0.718950149255798
"WMW_Asymp","Normal2Var",984775,1000,100,100,1.5,1,2,0,1,1,1,1,1,1,1,1,1
"WMW_Asymp","Normal2Var",99230,1000,100,100,2,1,2,0,1,1,1,1,1,1,1,1,1
"WMW_Asymp","Normal2Var",19591,1000,100,100,2.5,1,2,0,1,1,1,1,1,1,1,1,1
"WMW_Asymp","Normal2Var",95012352,1000,100,100,0.5,3,5,0,0.05,0.0322461452073078,0.0677538547926922,0.17,0.146718037883374,0.193281962116626,0.243,0.22068910569307,0.26531089430693
"WMW_Asymp","Normal2Var",2776318,1000,100,100,1.5,3,5,0,0.464,0.423375573427998,0.504624426572002,0.707,0.678790227196945,0.735209772803055,0.802,0.781270650133205,0.822729349866795
"WMW_Asymp","Normal2Var",23289620,1000,100,100,2,3,5,0,0.785,0.751534299732413,0.818465700267587,0.918,0.900994698426667,0.935005301573333,0.953,0.941990660066335,0.964009339933665
"WMW_Asymp","Normal2Var",18072585,1000,100,100,2.5,3,5,0,0.922,0.900154669450521,0.943845330549479,0.983,0.974987698358149,0.991012301641851,0.994,0.989982695791952,0.998017304208048
"WMW_Asymp","Normal2Var",89166443,1000,100,100,0.5,1,5,0,0.06,0.0406542571504736,0.0793457428495263,0.168,0.144827527503523,0.191172472496477,0.257,0.234268564062625,0.279731435937375
"WMW_Asymp","Normal2Var",51038991,1000,100,100,1.5,1,5,0,0.583,0.542834963722959,0.623165036277041,0.78,0.754324748102501,0.805675251897499,0.864,0.846168321402627,0.881831678597373
"WMW_Asymp","Normal2Var",20849,1000,100,100,2,1,5,0,0.877,0.850245415478913,0.903754584521087,0.965,0.9536092124943,0.9763907875057,0.979,0.971541235492724,0.986458764507276
"WMW_Asymp","Normal2Var",124757,1000,100,100,2.5,1,5,0,0.965,0.950029250706795,0.979970749293205,0.989,0.982535267491999,0.995464732508001,0.995,0.991330875530184,0.998669124469816
"WMW_Asymp","Normal2Var",80786,1000,10,100,0,1,2,1,0,0,0,0.004,8.78478557193099e-05,0.00791215214428069,0.016,0.00947285226151575,0.0225271477384842
"WMW_Asymp","Normal2Var",1903112,1000,10,100,0,3,5,1,0,0,0,0.02,0.011322710100498,0.028677289899502,0.039,0.0289292944152358,0.0490707055847642
"WMW_Asymp","Normal2Var",57147168,1000,10,100,0,1,5,1,0,0,0,0.001,-0.000959019754877423,0.00295901975487742,0.001,-0.000644177294272123,0.00264417729427212
"WMW_Asymp","Normal2Var",95016632,1000,10,100,0.5,1,2,0,0.013,0.00377266875765262,0.0222273312423474,0.076,0.0595752467781096,0.0924247532218904,0.148,0.129527887819743,0.166472112180257
"WMW_Asymp","Normal2Var",210799,1000,10,100,1.5,1,2,0,0.505,0.46427190029476,0.54572809970524,0.864,0.842753744649939,0.885246255350061,0.953,0.941990660066335,0.964009339933665
"WMW_Asymp","Normal2Var",1917907,1000,10,100,2,1,2,0,0.888,0.862310162751469,0.913689837248531,0.983,0.974987698358149,0.991012301641851,0.996,0.992716586593193,0.999283413406807
"WMW_Asymp","Normal2Var",53758,1000,10,100,2.5,1,2,0,0.998,0.994360630700794,1.00163936929921,1,1,1,1,1,1
"WMW_Asymp","Normal2Var",163147260,1000,10,100,0.5,3,5,0,0.005,-0.000745692786775151,0.0107456927867752,0.022,0.0129084728675541,0.0310915271324459,0.062,0.0494552166260234,0.0745447833739766
"WMW_Asymp","Normal2Var",1612704,1000,10,100,1.5,3,5,0,0.019,0.00787865885497617,0.0301213411450238,0.113,0.0933773750583669,0.132622624941633,0.213,0.191701791700357,0.234298208299643
"WMW_Asymp","Normal2Var",30304239,1000,10,100,2,3,5,0,0.054,0.0355885366908548,0.0724114633091452,0.218,0.192408974197973,0.243591025802027,0.367,0.341927318177447,0.392072681822553
"WMW_Asymp","Normal2Var",161699906,1000,10,100,2.5,3,5,0,0.126,0.0989674604185252,0.153032539581475,0.373,0.343026030733318,0.402973969266682,0.562,0.536191003702197,0.587808996297803
"WMW_Asymp","Normal2Var",2230298,1000,10,100,0.5,1,5,0,0,0,0,0.005,0.00062827722745369,0.00937172277254631,0.01,0.0048241283342803,0.0151758716657197
"WMW_Asymp","Normal2Var",54959,1000,10,100,1.5,1,5,0,0.002,-0.00163936929920556,0.00563936929920556,0.068,0.0523966272363953,0.0836033727636047,0.188,0.167675360952775,0.208324639047225
