"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"WMW_Asymp","ghEqual",131013750,1000,10,10,0,1,1,1,0,1,0.008,0.000743174362298623,0.0152568256377014,0.055,0.0408696369473392,0.0691303630526608,0.1,0.0843941597470691,0.115605840252931
"WMW_Asymp","ghEqual",332066576,1000,10,10,0,1,3,3,0,1,0.008,0.000743174362298623,0.0152568256377014,0.043,0.0304267871409094,0.0555732128590905,0.096,0.0806755204460315,0.111324479553969
"WMW_Asymp","ghEqual",120024,1000,10,10,0,1,1,3,0,1,0.018,0.00716976562691277,0.0288302343730872,0.095,0.0768263498437986,0.113173650156201,0.16,0.140929348202015,0.179070651797985
"WMW_Asymp","ghEqual",23654,1000,10,10,0,1,-1,1,0,1,0.018,0.00716976562691277,0.0288302343730872,0.126,0.105431763361921,0.146568236638079,0.221,0.199416057867595,0.242583942132405
"WMW_Asymp","ghEqual",46393095,1000,10,10,0,1,-3,3,0,1,0.072,0.0509435043462593,0.0930564956537407,0.24,0.213529113350702,0.266470886649298,0.369,0.343898841561095,0.394101158438905
"WMW_Asymp","ghEqual",4449304,1000,10,10,0,1,-1,3,0,1,0.027,0.0137966492398331,0.0402033507601669,0.158,0.135393118357456,0.180606881642544,0.261,0.238154094546834,0.283845905453166
"WMW_Asymp","ghEqual",550494,1000,10,10,0,1,1,-3,0,1,0.051,0.0330789251822331,0.0689210748177669,0.173,0.149555991093672,0.196444008906328,0.27,0.246905465419282,0.293094534580718
"WMW_Asymp","ghEqual",1636516,1000,10,10,0.5,3,1,1,0,0,0.012,0.00313017698846251,0.0208698230115375,0.059,0.0443958296914888,0.0736041703085112,0.116,0.0993420701286144,0.132657929871386
"WMW_Asymp","ghEqual",669102,1000,10,10,0.5,3,3,3,0,0,0.027,0.0137966492398331,0.0402033507601669,0.12,0.0998586753166531,0.140141324683347,0.193,0.172470360456769,0.213529639543231
"WMW_Asymp","ghEqual",1232283,1000,10,10,0.5,3,1,3,0,0,0.036,0.0208247579820287,0.0511752420179712,0.171,0.147663732637802,0.194336267362198,0.275,0.251772565049601,0.298227434950399
"WMW_Asymp","ghEqual",27792,1000,10,10,0.5,3,-1,1,0,0,0.033,0.0184482218290684,0.0475517781709316,0.149,0.126929407837577,0.171070592162423,0.27,0.246905465419282,0.293094534580718
