"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuen","Cauchy",1549068,1000,10,10,0,1,1,1,0.004,-0.00114168567534034,0.00914168567534034,0.034,0.0227673017311066,0.0452326982688934,0.072,0.0585535965254645,0.0854464034745355
"Yuen","Cauchy",14394797,1000,10,10,0,0.5,0.5,1,0.005,-0.000745692786775151,0.0107456927867752,0.029,0.0185992493347836,0.0394007506652164,0.077,0.0631320548466977,0.0908679451533023
"Yuen","Cauchy",39138987,1000,10,10,0,2,2,1,0.012,0.00313017698846251,0.0208698230115375,0.043,0.0304267871409094,0.0555732128590905,0.077,0.0631320548466977,0.0908679451533023
"Yuen","Cauchy",139531,1000,10,10,0,0.5,2,1,0.008,0.000743174362298623,0.0152568256377014,0.033,0.0219279948699434,0.0440720051300566,0.072,0.0585535965254645,0.0854464034745355
"Yuen","Cauchy",1607251,1000,10,10,0,1,2,1,0.005,-0.000745692786775151,0.0107456927867752,0.028,0.0177748845678887,0.0382251154321113,0.062,0.0494552166260234,0.0745447833739766
"Yuen","Cauchy",98131978,1000,10,10,0.5,1,1,0,0.021,0.00931989217584016,0.0326801078241598,0.07,0.0541858240809077,0.0858141759190924,0.143,0.124789396776191,0.161210603223809
"Yuen","Cauchy",200517,1000,10,10,0.5,0.5,0.5,0,0.049,0.0314153326496064,0.0665846673503936,0.197,0.172348295280042,0.221651704719958,0.301,0.277139049600341,0.324860950399659
"Yuen","Cauchy",187956760,1000,10,10,0.5,2,2,0,0.004,-0.00114168567534034,0.00914168567534034,0.038,0.0261495346251719,0.0498504653748281,0.089,0.0741877820372842,0.103812217962716
"Yuen","Cauchy",19141119,1000,10,10,0.5,0.5,2,0,0.011,0.00250349441805633,0.0194965055819437,0.055,0.0408696369473392,0.0691303630526608,0.121,0.104035032774125,0.137964967225875
"Yuen","Cauchy",4648738,1000,10,10,0.5,1,2,0,0.008,0.000743174362298623,0.0152568256377014,0.05,0.0364916322229516,0.0635083677770484,0.1,0.0843941597470691,0.115605840252931
"Yuen","Cauchy",15221346,1000,10,10,1,1,1,0,0.059,0.0398059475945281,0.0781940524054719,0.205,0.179978314205474,0.230021685794526,0.314,0.289856913844746,0.338143086155254
"Yuen","Cauchy",186254,1000,10,10,1,0.5,0.5,0,0.242,0.207111030305611,0.276888969694389,0.539,0.508104095313456,0.569895904686544,0.667,0.642483925298388,0.691516074701612
"Yuen","Cauchy",835949,1000,10,10,1,2,2,0,0.018,0.00716976562691277,0.0288302343730872,0.083,0.0659006427723145,0.100099357227685,0.138,0.120058486410004,0.155941513589996
"Yuen","Cauchy",42189623,1000,10,10,1,0.5,2,0,0.031,0.0168814988308249,0.0451185011691751,0.104,0.0850797554349845,0.122920244565016,0.181,0.160971559222571,0.201028440777429
"Yuen","Cauchy",41412392,1000,10,10,1,1,2,0,0.03,0.0161039184803773,0.0438960815196227,0.108,0.0887624227720848,0.127237577227915,0.173,0.153323778239332,0.192676221760668
