"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuen","Logistic",155280,1000,10,10,0,1,1,0.011,0.00250349441805633,0.0194965055819437,0.05,0.0364916322229516,0.0635083677770484,0.096,0.0806755204460315,0.111324479553969
"Yuen","Logistic",5472394,1000,10,10,0,3,1,0.007,0.000208440607931048,0.013791559392069,0.044,0.031288074009026,0.056711925990974,0.094,0.0788192255434711,0.109180774456529
"Yuen","Logistic",890437,1000,10,10,0.5,1,0,0.021,0.00931989217584016,0.0326801078241598,0.078,0.0613785528427877,0.0946214471572123,0.151,0.132374487954019,0.169625512045981
"Yuen","Logistic",1204537,1000,10,10,1.5,1,0,0.157,0.127364690158934,0.186635309841066,0.385,0.354840509951261,0.415159490048739,0.542,0.516082191028175,0.567917808971825
"Yuen","Logistic",187566030,1000,10,10,2,1,0,0.297,0.259777825066017,0.334222174933983,0.604,0.573687473638774,0.634312526361226,0.738,0.715125862422815,0.760874137577185
"Yuen","Logistic",242829,1000,10,10,2.5,1,0,0.468,0.427353364648768,0.508646635351232,0.79,0.764754773916639,0.815245226083361,0.888,0.871594805017922,0.904405194982078
"Yuen","Logistic",34451,1000,10,10,0.5,3,0,0.005,-0.000745692786775151,0.0107456927867752,0.052,0.038238622394542,0.065761377605458,0.097,0.0816044345418884,0.112395565458112
"Yuen","Logistic",164421,1000,10,10,1.5,3,0,0.015,0.00509830366048322,0.0249016963395168,0.079,0.062281418289819,0.095718581710181,0.159,0.139977724716139,0.178022275283861
"Yuen","Logistic",70388483,1000,10,10,2,3,0,0.027,0.0137966492398331,0.0402033507601669,0.109,0.0896844013709127,0.128315598629087,0.187,0.166717009915326,0.207282990084674
"Yuen","Logistic",79584699,1000,10,10,2.5,3,0,0.046,0.0289352880486074,0.0630647119513926,0.132,0.111020124843079,0.152979875156921,0.243,0.22068910569307,0.26531089430693
"Yuen","Logistic",1312735,1000,20,20,0,1,1,0.01,0.00189480522134107,0.0181051947786589,0.044,0.031288074009026,0.056711925990974,0.105,0.0890532542700713,0.120946745729929
"Yuen","Logistic",1901175,1000,20,20,0,3,1,0.011,0.00250349441805633,0.0194965055819437,0.054,0.0399912779169547,0.0680087220830453,0.111,0.0946590134638388,0.127340986536161
