"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuen","Normal",80272047,1000,10,10,0,1,1,0.014,0.00442919794876103,0.023570802051239,0.054,0.0399912779169547,0.0680087220830453,0.108,0.0918541762551426,0.124145823744857
"Yuen","Normal",136312222,1000,10,10,0,3,1,0.015,0.00509830366048322,0.0249016963395168,0.07,0.0541858240809077,0.0858141759190924,0.116,0.0993420701286144,0.132657929871386
"Yuen","Normal",358687832,1000,10,10,0.5,1,0,0.046,0.0289352880486074,0.0630647119513926,0.152,0.129747654649453,0.174252345350547,0.249,0.226505023472451,0.271494976527549
"Yuen","Normal",13721674,1000,10,10,1.5,1,0,0.491,0.450276462553653,0.531723537446347,0.781,0.755366751622161,0.806633248377839,0.88,0.863095673926477,0.896904326073523
"Yuen","Normal",1389539,1000,10,10,2,1,0,0.77,0.73571886919018,0.80428113080982,0.962,0.950149534625172,0.973850465374828,0.985,0.978676905870146,0.991323094129854
"Yuen","Normal",145506,1000,10,10,2.5,1,0,0.943,0.924114037070459,0.961885962929541,0.994,0.98921342477339,0.99878657522661,1,1,1
"Yuen","Normal",935447,1000,10,10,0.5,3,0,0.011,0.00250349441805633,0.0194965055819437,0.063,0.0479409997144565,0.0780590002855435,0.123,0.105914871297675,0.140085128702325
"Yuen","Normal",68972,1000,10,10,1.5,3,0,0.036,0.0208247579820287,0.0511752420179712,0.159,0.13633516136391,0.18166483863609,0.25,0.2274749098226,0.2725250901774
"Yuen","Normal",107713167,1000,10,10,2,3,0,0.068,0.0474927100821196,0.0885072899178804,0.236,0.209681644306682,0.262318355693318,0.362,0.337000545807958,0.386999454192042
"Yuen","Normal",1781940,1000,10,10,2.5,3,0,0.126,0.0989674604185252,0.153032539581475,0.35,0.320437117867163,0.379562882132837,0.484,0.458003586639692,0.509996413360308
"Yuen","Normal",16666380,1000,20,20,0,1,1,0.012,0.00313017698846251,0.0208698230115375,0.056,0.0417493037924458,0.0702506962075542,0.115,0.0984046484106241,0.131595351589376
"Yuen","Normal",349169977,1000,20,20,0,3,1,0.011,0.00250349441805633,0.0194965055819437,0.054,0.0399912779169547,0.0680087220830453,0.106,0.0899864509523966,0.122013549047603
"Yuen","Normal",181154,1000,20,20,0.5,1,0,0.121,0.0944335832377793,0.147566416762221,0.3,0.271596901577469,0.328403098422531,0.425,0.39928454045958,0.45071545954042
"Yuen","Normal",71659,1000,20,20,1.5,1,0,0.938,0.918355403056922,0.957644596943078,0.99,0.98383300397276,0.99616699602724,0.995,0.991330875530184,0.998669124469816
"Yuen","Normal",78581386,1000,20,20,2,1,0,0.999,0.996425288322161,1.00157471167784,1,1,1,1,1,1
"Yuen","Normal",178019,1000,20,20,2.5,1,0,1,1,1,1,1,1,1,1,1
"Yuen","Normal",109992960,1000,20,20,0.5,3,0,0.016,0.00577876439250127,0.0262212356074987,0.082,0.0649946984266671,0.099005301573333,0.148,0.129527887819743,0.166472112180257
"Yuen","Normal",864575,1000,20,20,1.5,3,0,0.108,0.0827163270718829,0.133283672928117,0.274,0.246356077731263,0.301643922268737,0.395,0.369570247260836,0.420429752739164
"Yuen","Normal",1112461,1000,20,20,2,3,0,0.229,0.19477126974625,0.26322873025375,0.481,0.450032062025379,0.511967937974621,0.606,0.580581476181729,0.631418523818271
"Yuen","Normal",40120811,1000,20,20,2.5,3,0,0.397,0.357143444047234,0.436856555952766,0.668,0.638811394661615,0.697188605338385,0.788,0.766738351136377,0.809261648863623
"Yuen","Normal",6353069,1000,100,100,0,1,1,0.01,0.00189480522134107,0.0181051947786589,0.043,0.0304267871409094,0.0555732128590905,0.099,0.0834637609449713,0.114536239055029
"Yuen","Normal",3375768,1000,100,100,0,3,1,0.006,-0.000290927440687899,0.0122909274406879,0.046,0.0330159800369839,0.0589840199630161,0.106,0.0899864509523966,0.122013549047603
"Yuen","Normal",1822744,1000,100,100,0.5,1,0,0.702,0.664741741907384,0.739258258092616,0.892,0.872762422772085,0.911237577227915,0.938,0.925455216626023,0.950544783373977
"Yuen","Normal",3907131,1000,100,100,1.5,1,0,1,1,1,1,1,1,1,1,1
"Yuen","Normal",4475062,1000,100,100,2,1,0,1,1,1,1,1,1,1,1,1
"Yuen","Normal",6199941,1000,100,100,2.5,1,0,1,1,1,1,1,1,1,1,1
"Yuen","Normal",22578,1000,100,100,0.5,3,0,0.068,0.0474927100821196,0.0885072899178804,0.203,0.178069370132305,0.227930629867695,0.302,0.278116548702082,0.325883451297918
"Yuen","Normal",180082965,1000,100,100,1.5,3,0,0.754,0.718916809216036,0.789083190783964,0.907,0.88899881110593,0.92500118889407,0.952,0.94087999467626,0.96312000532374
"Yuen","Normal",57636,1000,100,100,2,3,0,0.971,0.957330441982858,0.984669558017142,0.996,0.992087847855719,0.999912152144281,1,1,1
"Yuen","Normal",49182,1000,100,100,2.5,3,0,0.995,0.989254307213225,1.00074569278678,0.998,0.995230914663648,1.00076908533635,0.998,0.995675946235562,1.00032405376444
"Yuen","Normal",641502,1000,10,100,0,1,1,0.015,0.00509830366048322,0.0249016963395168,0.07,0.0541858240809077,0.0858141759190924,0.113,0.0965310112097008,0.129468988790299
"Yuen","Normal",44797,1000,10,100,0,3,1,0.013,0.00377266875765262,0.0222273312423474,0.065,0.0497201688491005,0.0802798311508995,0.122,0.10497476655373,0.13902523344627
"Yuen","Normal",912651,1000,10,100,0.5,1,0,0.099,0.0746709107563805,0.123329089243619,0.24,0.213529113350702,0.266470886649298,0.365,0.339956259377341,0.390043740622659
"Yuen","Normal",1159645,1000,10,100,1.5,1,0,0.67,0.631696343861193,0.708303656138807,0.93,0.914185824080908,0.945814175919092,0.976,0.968038471905469,0.983961528094531
"Yuen","Normal",63465173,1000,10,100,2,1,0,0.902,0.877780667736372,0.926219332263628,0.998,0.995230914663648,1.00076908533635,1,1,1
"Yuen","Normal",26459705,1000,10,100,2.5,1,0,0.978,0.966051135768785,0.989948864231215,1,1,1,1,1,1
"Yuen","Normal",108863487,1000,10,100,0.5,3,0,0.031,0.0168814988308249,0.0451185011691751,0.092,0.0740859859997822,0.109914014000218,0.165,0.145691385487949,0.184308614512051
"Yuen","Normal",310349290,1000,10,100,1.5,3,0,0.091,0.0675712835404071,0.114428716459593,0.264,0.236678977940055,0.291321022059945,0.387,0.361663208238315,0.412336791761685
"Yuen","Normal",1968030,1000,10,100,2,3,0,0.151,0.121833240710974,0.180166759289026,0.357,0.327304156492869,0.386695843507131,0.496,0.469991098569913,0.522008901430087
"Yuen","Normal",23118157,1000,10,100,2.5,3,0,0.292,0.254961455385828,0.329038544614172,0.563,0.532256664305902,0.593743335694098,0.696,0.672071949649,0.719928050351
