"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuen","Normal2Var",43567,1000,10,10,0,1,2,1,0.011,0.00250349441805633,0.0194965055819437,0.046,0.0330159800369839,0.0589840199630161,0.101,0.0853250402241345,0.116674959775865
"Yuen","Normal2Var",274863913,1000,10,10,0,3,5,1,0.009,0.00130685460010016,0.0166931453998998,0.055,0.0408696369473392,0.0691303630526608,0.093,0.0778918593210481,0.108108140678952
"Yuen","Normal2Var",1705663,1000,10,10,0,1,5,1,0.02,0.00859556184636876,0.0314044381536312,0.073,0.0568765725231885,0.0891234274768115,0.114,0.0974676272392618,0.130532372760738
"Yuen","Normal2Var",185190,1000,10,10,0.5,1,2,0,0.03,0.0161039184803773,0.0438960815196227,0.108,0.0887624227720848,0.127237577227915,0.174,0.154278926573333,0.193721073426667
"Yuen","Normal2Var",52736,1000,10,10,1.5,1,2,0,0.171,0.140329477181111,0.201670522818889,0.414,0.383471529248913,0.444528470751087,0.553,0.527136801710249,0.578863198289751
"Yuen","Normal2Var",15371539,1000,10,10,2,1,2,0,0.346,0.307249904046777,0.384750095953223,0.647,0.617379283168701,0.676620716831299,0.774,0.752243421291481,0.795756578708519
"Yuen","Normal2Var",185503416,1000,10,10,2.5,1,2,0,0.51,0.46927801057905,0.55072198942095,0.812,0.787783408794795,0.836216591205205,0.915,0.900492722709792,0.929507277290209
"Yuen","Normal2Var",317370811,1000,10,10,0.5,3,5,0,0.015,0.00509830366048322,0.0249016963395168,0.055,0.0408696369473392,0.0691303630526608,0.108,0.0918541762551426,0.124145823744857
"Yuen","Normal2Var",201125624,1000,10,10,1.5,3,5,0,0.031,0.0168814988308249,0.0451185011691751,0.104,0.0850797554349845,0.122920244565016,0.187,0.166717009915326,0.207282990084674
"Yuen","Normal2Var",5843588,1000,10,10,2,3,5,0,0.043,0.0264752059566238,0.0595247940433761,0.141,0.119429400787183,0.162570599212817,0.235,0.212943807119655,0.257056192880345
"Yuen","Normal2Var",1365777,1000,10,10,2.5,3,5,0,0.05,0.0322461452073078,0.0677538547926922,0.185,0.16093306749916,0.20906693250084,0.292,0.268347668520841,0.315652331479159
"Yuen","Normal2Var",680157,1000,10,10,0.5,1,5,0,0.021,0.00931989217584016,0.0326801078241598,0.069,0.0532907497823734,0.0847092502176266,0.12,0.103095673926477,0.136904326073523
"Yuen","Normal2Var",47693991,1000,10,10,1.5,1,5,0,0.027,0.0137966492398331,0.0402033507601669,0.107,0.087840962404129,0.126159037595871,0.18,0.160014773206191,0.199985226793809
"Yuen","Normal2Var",1526645,1000,10,10,2,1,5,0,0.052,0.0339136180042552,0.0700863819957448,0.18,0.156187814883972,0.203812185116028,0.278,0.254694581876739,0.301305418123261
"Yuen","Normal2Var",91012,1000,10,10,2.5,1,5,0,0.086,0.0631614681578697,0.10883853184213,0.243,0.216416806783232,0.269583193216768,0.365,0.339956259377341,0.390043740622659
"Yuen","Normal2Var",20512,1000,20,20,0,1,2,1,0.013,0.00377266875765262,0.0222273312423474,0.059,0.0443958296914888,0.0736041703085112,0.126,0.108737372821613,0.143262627178387
"Yuen","Normal2Var",147561555,1000,20,20,0,3,5,1,0.01,0.00189480522134107,0.0181051947786589,0.061,0.0461661533512039,0.0758338466487961,0.099,0.0834637609449713,0.114536239055029
"Yuen","Normal2Var",17285281,1000,20,20,0,1,5,1,0.011,0.00250349441805633,0.0194965055819437,0.051,0.0373643995951773,0.0646356004048227,0.099,0.0834637609449713,0.114536239055029
"Yuen","Normal2Var",2342584,1000,20,20,0.5,1,2,0,0.042,0.0256599546164645,0.0583400453835355,0.142,0.120365648204765,0.163634351795235,0.229,0.207141979321654,0.250858020678346
"Yuen","Normal2Var",158396,1000,20,20,1.5,1,2,0,0.498,0.457270189579425,0.538729810420575,0.753,0.726269810595508,0.779730189404492,0.849,0.830374487954019,0.867625512045981
"Yuen","Normal2Var",3592819,1000,20,20,2,1,2,0,0.767,0.73256330206399,0.80143669793601,0.924,0.90757524677811,0.94042475322189,0.959,0.948685049831676,0.969314950168324
"Yuen","Normal2Var",5635692,1000,20,20,2.5,1,2,0,0.937,0.917208171053286,0.956791828946714,0.994,0.98921342477339,0.99878657522661,0.996,0.992716586593193,0.999283413406807
"Yuen","Normal2Var",59291499,1000,20,20,0.5,3,5,0,0.011,0.00250349441805633,0.0194965055819437,0.057,0.0426302455970883,0.0713697544029117,0.106,0.0899864509523966,0.122013549047603
"Yuen","Normal2Var",31750379,1000,20,20,1.5,3,5,0,0.06,0.0406542571504736,0.0793457428495263,0.18,0.156187814883972,0.203812185116028,0.272,0.248851863003689,0.295148136996311
"Yuen","Normal2Var",12483190,1000,20,20,2,3,5,0,0.102,0.0773461861267673,0.126653813873233,0.279,0.251201215594922,0.306798784405078,0.392,0.366604268579149,0.417395731420851
"Yuen","Normal2Var",1905335,1000,20,20,2.5,3,5,0,0.176,0.144978285369374,0.207021714630626,0.405,0.374574195819995,0.435425804180005,0.531,0.50504030508702,0.55695969491298
"Yuen","Normal2Var",243123,1000,20,20,0.5,1,5,0,0.021,0.00931989217584016,0.0326801078241598,0.072,0.0559787533069364,0.0880212466930635,0.118,0.1012180973099,0.1347819026901
"Yuen","Normal2Var",274090,1000,20,20,1.5,1,5,0,0.071,0.0500789782949302,0.0919210217050698,0.185,0.16093306749916,0.20906693250084,0.291,0.267371534709698,0.314628465290302
"Yuen","Normal2Var",133946,1000,20,20,2,1,5,0,0.123,0.0962454154789128,0.149754584521087,0.31,0.281334371801755,0.338665628198245,0.45,0.424120641671402,0.475879358328599
"Yuen","Normal2Var",2031269,1000,20,20,2.5,1,5,0,0.233,0.19856330206399,0.26743669793601,0.471,0.44006184856201,0.50193815143799,0.615,0.589687570851951,0.640312429148049
"Yuen","Normal2Var",50894,1000,100,100,0,1,2,1,0.008,0.000743174362298623,0.0152568256377014,0.039,0.0270008614309193,0.0509991385690807,0.091,0.0760387272608578,0.105961272739142
"Yuen","Normal2Var",886295,1000,100,100,0,3,5,1,0.015,0.00509830366048322,0.0249016963395168,0.055,0.0408696369473392,0.0691303630526608,0.1,0.0843941597470691,0.115605840252931
"Yuen","Normal2Var",252418,1000,100,100,0,1,5,1,0.01,0.00189480522134107,0.0181051947786589,0.044,0.031288074009026,0.056711925990974,0.082,0.0677276933223813,0.0962723066776187
"Yuen","Normal2Var",318291,1000,100,100,0.5,1,2,0,0.293,0.255924298601699,0.330075701398301,0.517,0.486027596515608,0.547972403484392,0.628,0.602856994284692,0.653143005715308
"Yuen","Normal2Var",59643608,1000,100,100,1.5,1,2,0,1,1,1,1,1,1,1,1,1
"Yuen","Normal2Var",38997876,1000,100,100,2,1,2,0,1,1,1,1,1,1,1,1,1
"Yuen","Normal2Var",54023531,1000,100,100,2.5,1,2,0,1,1,1,1,1,1,1,1,1
"Yuen","Normal2Var",55513404,1000,100,100,0.5,3,5,0,0.038,0.0224251026502259,0.0535748973497741,0.133,0.111952939929767,0.154047060070233,0.21,0.188812042394322,0.231187957605678
"Yuen","Normal2Var",27543,1000,100,100,1.5,3,5,0,0.42,0.379794589498427,0.460205410501573,0.66,0.630639226168236,0.689360773831764,0.777,0.755346463157835,0.798653536842165
"Yuen","Normal2Var",716986,1000,100,100,2,3,5,0,0.711,0.6740742282856,0.7479257717144,0.879,0.858786422028745,0.899213577971255,0.941,0.928742928491071,0.953257071508929
"Yuen","Normal2Var",5209261,1000,100,100,2.5,3,5,0,0.932,0.91149271008212,0.95250728991788,0.98,0.971322710100498,0.988677289899502,0.99,0.98482412833428,0.99517587166572
"Yuen","Normal2Var",38440,1000,100,100,0.5,1,5,0,0.038,0.0224251026502259,0.0535748973497741,0.132,0.111020124843079,0.152979875156921,0.217,0.195557439197358,0.238442560802642
"Yuen","Normal2Var",2372787,1000,100,100,1.5,1,5,0,0.521,0.480305803573679,0.561694196426321,0.755,0.728342919139561,0.781657080860439,0.849,0.830374487954019,0.867625512045981
"Yuen","Normal2Var",753197,1000,100,100,2,1,5,0,0.822,0.790840407556966,0.853159592443034,0.943,0.928630245597088,0.957369754402912,0.974,0.9657218735755,0.9822781264245
"Yuen","Normal2Var",97339,1000,100,100,2.5,1,5,0,0.965,0.950029250706795,0.979970749293205,0.994,0.98921342477339,0.99878657522661,0.998,0.995675946235562,1.00032405376444
"Yuen","Normal2Var",377975,1000,10,100,0,1,2,1,0.018,0.00716976562691277,0.0288302343730872,0.058,0.0435124309285512,0.0724875690714488,0.104,0.0881205090257905,0.119879490974209
"Yuen","Normal2Var",84420,1000,10,100,0,3,5,1,0.017,0.00646954641356793,0.0275304535864321,0.063,0.0479409997144565,0.0780590002855435,0.111,0.0946590134638388,0.127340986536161
"Yuen","Normal2Var",34301795,1000,10,100,0,1,5,1,0.01,0.00189480522134107,0.0181051947786589,0.052,0.038238622394542,0.065761377605458,0.107,0.0909200934463225,0.123079906553677
"Yuen","Normal2Var",2610362,1000,10,100,0.5,1,2,0,0.091,0.0675712835404071,0.114428716459593,0.235,0.208720280823418,0.261279719176582,0.337,0.312411184010307,0.361588815989693
"Yuen","Normal2Var",203900778,1000,10,100,1.5,1,2,0,0.664,0.625523147624786,0.702476852375214,0.887,0.867377375058367,0.906622624941633,0.957,0.946447482064692,0.967552517935308
