"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuen","ghEqual",193690912,1000,10,10,0,1,1,1,0,1,0.007,0.000208440607931048,0.013791559392069,0.047,0.0338824885896753,0.0601175114103247,0.089,0.0741877820372842,0.103812217962716
"Yuen","ghEqual",118070318,1000,10,10,0,1,3,3,0,1,0.003,-0.00145506520895037,0.00745506520895037,0.024,0.0145139239724742,0.0334860760275258,0.064,0.0512680825638869,0.0767319174361131
"Yuen","ghEqual",36004187,1000,10,10,0,1,1,3,0,1,0.004,-0.00114168567534034,0.00914168567534034,0.037,0.0253004252384969,0.0486995747615031,0.107,0.0909200934463225,0.123079906553677
"Yuen","ghEqual",22183002,1000,10,10,0,1,-1,1,0,1,0.014,0.00442919794876103,0.023570802051239,0.052,0.038238622394542,0.065761377605458,0.104,0.0881205090257905,0.119879490974209
"Yuen","ghEqual",25393831,1000,10,10,0,1,-3,3,0,1,0.015,0.00509830366048322,0.0249016963395168,0.061,0.0461661533512039,0.0758338466487961,0.151,0.132374487954019,0.169625512045981
"Yuen","ghEqual",23804491,1000,10,10,0,1,-1,3,0,1,0.018,0.00716976562691277,0.0288302343730872,0.061,0.0461661533512039,0.0758338466487961,0.116,0.0993420701286144,0.132657929871386
"Yuen","ghEqual",44861,1000,10,10,0,1,1,-3,0,1,0.01,0.00189480522134107,0.0181051947786589,0.055,0.0408696369473392,0.0691303630526608,0.122,0.10497476655373,0.13902523344627
"Yuen","ghEqual",62060,1000,10,10,0.5,3,1,1,0,0,0.009,0.00130685460010016,0.0166931453998998,0.051,0.0373643995951773,0.0646356004048227,0.113,0.0965310112097008,0.129468988790299
"Yuen","ghEqual",240528959,1000,10,10,0.5,3,3,3,0,0,0.012,0.00313017698846251,0.0208698230115375,0.033,0.0219279948699434,0.0440720051300566,0.081,0.0668072625975466,0.0951927374024534
"Yuen","ghEqual",89965,1000,10,10,0.5,3,1,3,0,0,0.008,0.000743174362298623,0.0152568256377014,0.053,0.0391142610711565,0.0668857389288435,0.137,0.119113243956072,0.154886756043928
"Yuen","ghEqual",383329,1000,10,10,0.5,3,-1,1,0,0,0.008,0.000743174362298623,0.0152568256377014,0.059,0.0443958296914888,0.0736041703085112,0.148,0.129527887819743,0.166472112180257
"Yuen","ghEqual",60558,1000,10,10,0.5,3,-3,3,0,0,0.011,0.00250349441805633,0.0194965055819437,0.088,0.0704412002232499,0.10555879977675,0.212,0.190738351136377,0.233261648863623
"Yuen","ghEqual",122950818,1000,10,10,0.5,3,-1,3,0,0,0.011,0.00250349441805633,0.0194965055819437,0.089,0.071351399874211,0.106648600125789,0.177,0.157145797226406,0.196854202773594
"Yuen","ghEqual",43104391,1000,10,10,0.5,3,1,-3,0,0,0.011,0.00250349441805633,0.0194965055819437,0.042,0.0295673567733969,0.0544326432266031,0.088,0.0732631501873704,0.10273684981263
"Yuen","ghEqual",73543,1000,10,10,1,3,1,1,0,0,0.012,0.00313017698846251,0.0208698230115375,0.085,0.0677147334414537,0.102285266558546,0.155,0.136173911070671,0.173826088929329
"Yuen","ghEqual",49304,1000,10,10,1,3,3,3,0,0,0.02,0.00859556184636876,0.0314044381536312,0.078,0.0613785528427877,0.0946214471572123,0.164,0.144738461857889,0.183261538142111
"Yuen","ghEqual",212733,1000,10,10,1,3,1,3,0,0,0.033,0.0184482218290684,0.0475517781709316,0.125,0.104501829349915,0.145498170650085,0.231,0.20907522919219,0.25292477080781
"Yuen","ghEqual",182537,1000,10,10,1,3,-1,1,0,0,0.018,0.00716976562691277,0.0288302343730872,0.111,0.0915298883824463,0.130470111617554,0.228,0.206175616929682,0.249824383070318
"Yuen","ghEqual",63354,1000,10,10,1,3,-3,3,0,0,0.038,0.0224251026502259,0.0535748973497741,0.187,0.162833033090601,0.211166966909399,0.374,0.348829672288586,0.399170327711414
"Yuen","ghEqual",538492,1000,10,10,1,3,-1,3,0,0,0.028,0.0145612768606538,0.0414387231393462,0.156,0.133509992832371,0.178490007167629,0.284,0.260542507644678,0.307457492355322
"Yuen","ghEqual",21066,1000,10,10,1,3,1,-3,0,0,0.025,0.0122820190281633,0.0377179809718367,0.066,0.0506113161576436,0.0813886838423564,0.11,0.0937236414545513,0.126276358545449
"Yuen","ghEqual",272990,1000,10,10,1.5,3,1,1,0,0,0.039,0.0232297035949225,0.0547702964050775,0.132,0.111020124843079,0.152979875156921,0.241,0.218751777891818,0.263248222108182
"Yuen","ghEqual",90331632,1000,10,10,1.5,3,3,3,0,0,0.045,0.0281129495292991,0.0618870504707009,0.171,0.147663732637802,0.194336267362198,0.269,0.245932489298258,0.292067510701742
"Yuen","ghEqual",1182735,1000,10,10,1.5,3,1,3,0,0,0.057,0.0381140370704589,0.0758859629295411,0.215,0.189536967187705,0.240463032812295,0.345,0.320271595292559,0.369728404707441
"Yuen","ghEqual",157979,1000,10,10,1.5,3,-1,1,0,0,0.042,0.0256599546164645,0.0583400453835355,0.19,0.165684938001313,0.214315061998687,0.364,0.338970904698731,0.389029095301269
"Yuen","ghEqual",85503794,1000,10,10,1.5,3,-3,3,0,0,0.045,0.0281129495292991,0.0618870504707009,0.34,0.310639226168236,0.369360773831764,0.577,0.551300540321341,0.602699459678659
"Yuen","ghEqual",50653,1000,10,10,1.5,3,-1,3,0,0,0.045,0.0281129495292991,0.0618870504707009,0.271,0.243451086148452,0.298548913851548,0.464,0.438057771074944,0.489942228925056
"Yuen","ghEqual",751282,1000,10,10,1.5,3,1,-3,0,0,0.046,0.0289352880486074,0.0630647119513926,0.107,0.087840962404129,0.126159037595871,0.158,0.139026367192865,0.176973632807135
"Yuen","ghEqual",20746463,1000,10,10,2,3,1,1,0,0,0.079,0.0570270068951906,0.100972993104809,0.229,0.202956400893886,0.255043599106114,0.366,0.340941730604449,0.391058269395551
"Yuen","ghEqual",185754543,1000,10,10,2,3,3,3,0,0,0.086,0.0631614681578697,0.10883853184213,0.251,0.224125905440369,0.277874094559631,0.396,0.370559129661114,0.421440870338886
"Yuen","ghEqual",126817,1000,10,10,2,3,1,3,0,0,0.1,0.0755619182422188,0.124438081757781,0.298,0.269651325364314,0.326348674635686,0.454,0.428100573344184,0.479899426655816
"Yuen","ghEqual",19345,1000,10,10,2,3,-1,1,0,0,0.069,0.0483535568568337,0.0896464431431663,0.318,0.289135647563127,0.346864352436873,0.504,0.477991098569913,0.530008901430087
