"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuenbt","Cauchy",14321071,1000,10,10,0,1,1,1,0.006,-0.000290927440687899,0.0122909274406879,0.043,0.0304267871409094,0.0555732128590905,0.089,0.0741877820372842,0.103812217962716
"Yuenbt","Cauchy",2692692,1000,10,10,0,0.5,0.5,1,0.001,-0.0015747116778389,0.0035747116778389,0.031,0.0202576621538885,0.0417423378461115,0.077,0.0631320548466977,0.0908679451533023
"Yuenbt","Cauchy",8200404,1000,10,10,0,2,2,1,0.005,-0.000745692786775151,0.0107456927867752,0.038,0.0261495346251719,0.0498504653748281,0.088,0.0732631501873704,0.10273684981263
"Yuenbt","Cauchy",508708,1000,10,10,0,0.5,2,1,0.01,0.00189480522134107,0.0181051947786589,0.041,0.0287098466079548,0.0532901533920452,0.083,0.0686487537553354,0.0973512462446646
"Yuenbt","Cauchy",8669959,1000,10,10,0,1,2,1,0.009,0.00130685460010016,0.0166931453998998,0.04,0.0278543242262935,0.0521456757737065,0.079,0.0649683332075266,0.0930316667924734
"Yuenbt","Cauchy",2202991,1000,10,10,0.5,1,1,0,0.01,0.00189480522134107,0.0181051947786589,0.071,0.05508183131136,0.08691816868864,0.134,0.116279447945958,0.151720552054042
"Yuenbt","Cauchy",129804,1000,10,10,0.5,0.5,0.5,0,0.045,0.0281129495292991,0.0618870504707009,0.206,0.180933140156773,0.231066859843227,0.326,0.301616016791754,0.350383983208246
"Yuenbt","Cauchy",26716,1000,10,10,0.5,2,2,0,0.009,0.00130685460010016,0.0166931453998998,0.046,0.0330159800369839,0.0589840199630161,0.1,0.0843941597470691,0.115605840252931
"Yuenbt","Cauchy",8790515,1000,10,10,0.5,0.5,2,0,0.011,0.00250349441805633,0.0194965055819437,0.043,0.0304267871409094,0.0555732128590905,0.102,0.0862563960320389,0.117743603967961
"Yuenbt","Cauchy",17930,1000,10,10,0.5,1,2,0,0.01,0.00189480522134107,0.0181051947786589,0.066,0.0506113161576436,0.0813886838423564,0.116,0.0993420701286144,0.132657929871386
"Yuenbt","Cauchy",5935323,1000,10,10,1,1,1,0,0.055,0.0364286657022173,0.0735713342977827,0.204,0.179023723768344,0.228976276231656,0.336,0.311429183945176,0.360570816054824
"Yuenbt","Cauchy",311784,1000,10,10,1,0.5,0.5,0,0.272,0.235751002490883,0.308248997509117,0.532,0.501073212232758,0.562926787767242,0.663,0.638411184010307,0.687588815989693
"Yuenbt","Cauchy",1172287,1000,10,10,1,2,2,0,0.012,0.00313017698846251,0.0208698230115375,0.068,0.0523966272363953,0.0836033727636047,0.137,0.119113243956072,0.154886756043928
"Yuenbt","Cauchy",574583,1000,10,10,1,0.5,2,0,0.034,0.0192370251323116,0.0487629748676884,0.117,0.0970781643014505,0.136921835698549,0.212,0.190738351136377,0.233261648863623
"Yuenbt","Cauchy",21364,1000,10,10,1,1,2,0,0.018,0.00716976562691277,0.0288302343730872,0.101,0.0823234521819475,0.119676547818052,0.178,0.158101890695345,0.197898109304655
"Yuenbt","Cauchy",950511,1000,10,10,1.5,1,1,0,0.141,0.112650069606011,0.169349930393989,0.356,0.326322726162937,0.385677273837063,0.487,0.460999059021355,0.513000940978645
"Yuenbt","Cauchy",294892,1000,10,10,1.5,0.5,0.5,0,0.513,0.472283632850462,0.553716367149538,0.781,0.755366751622161,0.806633248377839,0.864,0.846168321402627,0.881831678597373
"Yuenbt","Cauchy",2895709,1000,10,10,1.5,2,2,0,0.028,0.0145612768606538,0.0414387231393462,0.128,0.107292899150291,0.148707100849709,0.221,0.199416057867595,0.242583942132405
"Yuenbt","Cauchy",8702405,1000,10,10,1.5,0.5,2,0,0.058,0.0389591949346673,0.0770408050653327,0.223,0.197200041209335,0.248799958790665,0.351,0.3261719958721,0.3758280041279
"Yuenbt","Cauchy",346401,1000,10,10,1.5,1,2,0,0.058,0.0389591949346673,0.0770408050653327,0.194,0.169491064029624,0.218508935970376,0.319,0.294754295948045,0.343245704051955
"Yuenbt","Cauchy",186102,1000,10,10,2,1,1,0,0.247,0.211868893925525,0.282131106074475,0.562,0.531248855474958,0.592751144525042,0.689,0.664920042961521,0.713079957038479
"Yuenbt","Cauchy",1928964,1000,10,10,2,0.5,0.5,0,0.72,0.683424428348965,0.756575571651035,0.896,0.877079755434985,0.914920244565016,0.939,0.92655016441976,0.95144983558024
"Yuenbt","Cauchy",4450175,1000,10,10,2,2,2,0,0.048,0.0305865448547395,0.0654134551452605,0.191,0.166636088360035,0.215363911639965,0.285,0.261517661011411,0.308482338988589
"Yuenbt","Cauchy",1293624,1000,10,10,2,0.5,2,0,0.123,0.0962454154789128,0.149754584521087,0.321,0.292063668262891,0.349936331737109,0.481,0.455009052057014,0.506990947942986
"Yuenbt","Cauchy",6062784,1000,10,10,2,1,2,0,0.103,0.0782394268964549,0.127760573103545,0.31,0.281334371801755,0.338665628198245,0.452,0.426110396519066,0.477889603480934
"Yuenbt","Cauchy",34096,1000,10,10,2.5,1,1,0,0.387,0.347323662262553,0.426676337737448,0.687,0.65825868671059,0.71574131328941,0.785,0.763629240318253,0.806370759681747
"Yuenbt","Cauchy",20893265,1000,10,10,2.5,0.5,0.5,0,0.802,0.769538720208593,0.834461279791407,0.932,0.916396627236395,0.947603372763605,0.954,0.94310269753104,0.96489730246896
"Yuenbt","Cauchy",631857,1000,10,10,2.5,2,2,0,0.088,0.0649227202934141,0.111077279706586,0.283,0.255080420891425,0.310919579108575,0.419,0.393333835113617,0.444666164886383
"Yuenbt","Cauchy",22957,1000,10,10,2.5,0.5,2,0,0.194,0.161788255581791,0.226211744418209,0.427,0.396341752926822,0.457658247073178,0.592,0.566434350108006,0.617565649891994
"Yuenbt","Cauchy",47206220,1000,10,10,2.5,1,2,0,0.184,0.152435432020317,0.215564567979683,0.446,0.415190944603899,0.476809055396101,0.57,0.544246423015433,0.595753576984567
"Yuenbt","Cauchy",7155610,1000,20,20,0,1,1,1,0.009,0.00130685460010016,0.0166931453998998,0.05,0.0364916322229516,0.0635083677770484,0.106,0.0899864509523966,0.122013549047603
"Yuenbt","Cauchy",62255,1000,20,20,0,0.5,0.5,1,0.012,0.00313017698846251,0.0208698230115375,0.048,0.0347506319546931,0.0612493680453069,0.098,0.0825338503207812,0.113466149679219
"Yuenbt","Cauchy",120908345,1000,20,20,0,2,2,1,0.013,0.00377266875765262,0.0222273312423474,0.052,0.038238622394542,0.065761377605458,0.109,0.0927886940077303,0.12521130599227
"Yuenbt","Cauchy",248103,1000,20,20,0,0.5,2,1,0.005,-0.000745692786775151,0.0107456927867752,0.041,0.0287098466079548,0.0532901533920452,0.084,0.0695704335616069,0.0984295664383931
"Yuenbt","Cauchy",304541612,1000,20,20,0,1,2,1,0.01,0.00189480522134107,0.0181051947786589,0.044,0.031288074009026,0.056711925990974,0.095,0.0797471150474738,0.110252884952526
"Yuenbt","Cauchy",146118760,1000,20,20,0.5,1,1,0,0.042,0.0256599546164645,0.0583400453835355,0.124,0.103572323715116,0.144427676284884,0.216,0.194593246448842,0.237406753551158
"Yuenbt","Cauchy",85624717,1000,20,20,0.5,0.5,0.5,0,0.172,0.141258486133308,0.202741513866692,0.434,0.403280853032677,0.464719146967323,0.559,0.533171980777168,0.584828019222832
"Yuenbt","Cauchy",46301825,1000,20,20,0.5,2,2,0,0.009,0.00130685460010016,0.0166931453998998,0.072,0.0559787533069364,0.0880212466930635,0.137,0.119113243956072,0.154886756043928
"Yuenbt","Cauchy",153341,1000,20,20,0.5,0.5,2,0,0.02,0.00859556184636876,0.0314044381536312,0.092,0.0740859859997822,0.109914014000218,0.164,0.144738461857889,0.183261538142111
"Yuenbt","Cauchy",1908500,1000,20,20,0.5,1,2,0,0.019,0.00787865885497617,0.0301213411450238,0.093,0.0749988111059297,0.11100118889407,0.141,0.1228961042321,0.1591038957679
"Yuenbt","Cauchy",2325605,1000,20,20,1,1,1,0,0.185,0.153369174427467,0.216630825572533,0.433,0.402289170353115,0.463710829646885,0.553,0.527136801710249,0.578863198289751
"Yuenbt","Cauchy",16772445,1000,20,20,1,0.5,0.5,0,0.676,0.637876592457861,0.714123407542139,0.873,0.852362121388088,0.893637878611912,0.917,0.902648753755335,0.931351246244665
"Yuenbt","Cauchy",60603287,1000,20,20,1,2,2,0,0.043,0.0264752059566238,0.0595247940433761,0.141,0.119429400787183,0.162570599212817,0.229,0.207141979321654,0.250858020678346
"Yuenbt","Cauchy",148743081,1000,20,20,1,0.5,2,0,0.081,0.0587747771740304,0.10322522282597,0.233,0.206798164613905,0.259201835386095,0.348,0.323221254099531,0.372778745900469
"Yuenbt","Cauchy",83248391,1000,20,20,1,1,2,0,0.07,0.0492156545063358,0.0907843454936642,0.203,0.178069370132305,0.227930629867695,0.313,0.288877826346388,0.337122173653612
"Yuenbt","Cauchy",106430,1000,20,20,1.5,1,1,0,0.432,0.391648294066099,0.472351705933901,0.678,0.649039980221001,0.706960019778999,0.776,0.754311936702416,0.797688063297584
"Yuenbt","Cauchy",145553680,1000,20,20,1.5,0.5,0.5,0,0.928,0.906943504346259,0.949056495653741,0.976,0.966513923972474,0.985486076027526,0.985,0.978676905870146,0.991323094129854
"Yuenbt","Cauchy",74544,1000,20,20,1.5,2,2,0,0.102,0.0773461861267673,0.126653813873233,0.278,0.250231842236115,0.305768157763885,0.38,0.354750455647676,0.405249544352324
"Yuenbt","Cauchy",962596,1000,20,20,1.5,0.5,2,0,0.235,0.200460940510778,0.269539059489222,0.449,0.418171312087603,0.479828687912397,0.561,0.535184556347508,0.586815443652492
"Yuenbt","Cauchy",20301779,1000,20,20,1.5,1,2,0,0.171,0.140329477181111,0.201670522818889,0.398,0.367661377855941,0.428338622144059,0.541,0.515077858460864,0.566922141539136
"Yuenbt","Cauchy",186641086,1000,20,20,2,1,1,0,0.703,0.665777825066017,0.740222174933983,0.851,0.828929407837577,0.873070592162423,0.909,0.894038727260858,0.923961272739142
"Yuenbt","Cauchy",416088,1000,20,20,2,0.5,0.5,0,0.972,0.958561276860654,0.985438723139346,0.997,0.993610276471451,1.00038972352855,0.998,0.995675946235562,1.00032405376444
"Yuenbt","Cauchy",28356591,1000,20,20,2,2,2,0,0.194,0.161788255581791,0.226211744418209,0.411,0.380504579255239,0.441495420744761,0.535,0.509054068346367,0.560945931653633
"Yuenbt","Cauchy",46132,1000,20,20,2,0.5,2,0,0.349,0.310171638311358,0.387828361688642,0.616,0.585855225487657,0.646144774512343,0.725,0.701772565049601,0.748227434950399
"Yuenbt","Cauchy",28924,1000,20,20,2,1,2,0,0.308,0.270392517319874,0.345607482680126,0.576,0.545369771166379,0.606630228833621,0.692,0.667984352092854,0.716015647907146
"Yuenbt","Cauchy",6989177,1000,20,20,2.5,1,1,0,0.847,0.817675320161748,0.876324679838252,0.944,0.929749303792446,0.958250696207554,0.964,0.954309288385263,0.973690711614737
"Yuenbt","Cauchy",175860596,1000,20,20,2.5,0.5,0.5,0,0.99,0.981894805221341,0.998105194778659,0.997,0.993610276471451,1.00038972352855,1,1,1
"Yuenbt","Cauchy",1321949,1000,20,20,2.5,2,2,0,0.307,0.269426498968342,0.344573501031658,0.569,0.538306187229345,0.599693812770655,0.693,0.669006052330327,0.716993947669673
