"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuenbt","Logistic",68926,1000,10,10,0,1,1,0.011,0.00250349441805633,0.0194965055819437,0.04,0.0278543242262935,0.0521456757737065,0.086,0.0714156114595092,0.100584388540491
"Yuenbt","Logistic",15068346,1000,10,10,0,3,1,0.011,0.00250349441805633,0.0194965055819437,0.044,0.031288074009026,0.056711925990974,0.094,0.0788192255434711,0.109180774456529
"Yuenbt","Logistic",4790524,1000,10,10,0.5,1,0,0.02,0.00859556184636876,0.0314044381536312,0.093,0.0749988111059297,0.11100118889407,0.157,0.138075277683015,0.175924722316985
"Yuenbt","Logistic",189279,1000,10,10,1.5,1,0,0.11,0.0845119151288293,0.135488084871171,0.367,0.337126166339085,0.396873833660915,0.524,0.498020246737122,0.549979753262878
"Yuenbt","Logistic",259690,1000,10,10,2,1,0,0.25,0.214726667296667,0.285273332703333,0.562,0.531248855474958,0.592751144525042,0.713,0.68946839143248,0.73653160856752
"Yuenbt","Logistic",296104973,1000,10,10,2.5,1,0,0.383,0.343400670935785,0.422599329064215,0.75,0.723161594682247,0.776838405317753,0.879,0.862035032774125,0.895964967225875
"Yuenbt","Logistic",305110869,1000,10,10,0.5,3,0,0.008,0.000743174362298623,0.0152568256377014,0.049,0.0356203617986135,0.0623796382013865,0.106,0.0899864509523966,0.122013549047603
"Yuenbt","Logistic",175833104,1000,10,10,1.5,3,0,0.013,0.00377266875765262,0.0222273312423474,0.07,0.0541858240809077,0.0858141759190924,0.144,0.125736499086977,0.162263500913023
"Yuenbt","Logistic",272063,1000,10,10,2,3,0,0.026,0.0130368062799324,0.0389631937200676,0.108,0.0887624227720848,0.127237577227915,0.19,0.16959271582253,0.21040728417747
"Yuenbt","Logistic",109118144,1000,10,10,2.5,3,0,0.042,0.0256599546164645,0.0583400453835355,0.148,0.125990674849055,0.170009325150945,0.232,0.210042115074534,0.253957884925466
"Yuenbt","Logistic",208865340,1000,20,20,0,1,1,0.007,0.000208440607931048,0.013791559392069,0.04,0.0278543242262935,0.0521456757737065,0.09,0.0751129772116786,0.104887022788321
"Yuenbt","Logistic",126743598,1000,20,20,0,3,1,0.008,0.000743174362298623,0.0152568256377014,0.043,0.0304267871409094,0.0555732128590905,0.102,0.0862563960320389,0.117743603967961
"Yuenbt","Logistic",14936554,1000,20,20,0.5,1,0,0.032,0.017662992035435,0.046337007964565,0.131,0.110087709298118,0.151912290701882,0.226,0.204243421291481,0.247756578708519
"Yuenbt","Logistic",109214,1000,20,20,1.5,1,0,0.417,0.376834963722959,0.457165036277041,0.723,0.695262641192788,0.750737358807212,0.829,0.809414204178155,0.848585795821845
