"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI"
"Yuenbt","ghEqual",53717169,1000,10,10,0,1,1,1,0,1,0.002,-0.00163936929920556,0.00563936929920556,0.028,0.0177748845678887,0.0382251154321113,0.071,0.0576401084220343,0.0843598915779657
"Yuenbt","ghEqual",1183955,1000,10,10,0,1,3,3,0,1,0.003,-0.00145506520895037,0.00745506520895037,0.016,0.00822297290733792,0.0237770270926621,0.052,0.0404502723668478,0.0635497276331522
"Yuenbt","ghEqual",19419,1000,10,10,0,1,1,3,0,1,0.007,0.000208440607931048,0.013791559392069,0.035,0.0236092124943005,0.0463907875056995,0.083,0.0686487537553354,0.0973512462446646
"Yuenbt","ghEqual",1223268,1000,10,10,0,1,-1,1,0,1,0.011,0.00250349441805633,0.0194965055819437,0.044,0.031288074009026,0.056711925990974,0.098,0.0825338503207812,0.113466149679219
"Yuenbt","ghEqual",4608123,1000,10,10,0,1,-3,3,0,1,0.003,-0.00145506520895037,0.00745506520895037,0.036,0.0244536202037175,0.0475463797962825,0.119,0.102156694060399,0.135843305939601
"Yuenbt","ghEqual",16763679,1000,10,10,0,1,-1,3,0,1,0.006,-0.000290927440687899,0.0122909274406879,0.049,0.0356203617986135,0.0623796382013865,0.107,0.0909200934463225,0.123079906553677
"Yuenbt","ghEqual",4445368,1000,10,10,0,1,1,-3,0,1,0.007,0.000208440607931048,0.013791559392069,0.033,0.0219279948699434,0.0440720051300566,0.093,0.0778918593210481,0.108108140678952
"Yuenbt","ghEqual",76459921,1000,10,10,0.5,3,1,1,0,0,0.01,0.00189480522134107,0.0181051947786589,0.044,0.031288074009026,0.056711925990974,0.088,0.0732631501873704,0.10273684981263
"Yuenbt","ghEqual",37232,1000,10,10,0.5,3,3,3,0,0,0.007,0.000208440607931048,0.013791559392069,0.037,0.0253004252384969,0.0486995747615031,0.08,0.0658874722320911,0.0941125277679089
"Yuenbt","ghEqual",107901172,1000,10,10,0.5,3,1,3,0,0,0.007,0.000208440607931048,0.013791559392069,0.045,0.0321511572505536,0.0578488427494463,0.113,0.0965310112097008,0.129468988790299
"Yuenbt","ghEqual",181394,1000,10,10,0.5,3,-1,1,0,0,0.016,0.00577876439250127,0.0262212356074987,0.062,0.0470530240650491,0.0769469759349509,0.136,0.118168321402627,0.153831678597373
"Yuenbt","ghEqual",953455,1000,10,10,0.5,3,-3,3,0,0,0.009,0.00130685460010016,0.0166931453998998,0.086,0.0686228562070748,0.103377143792925,0.2,0.179192212996092,0.220807787003908
"Yuenbt","ghEqual",206527674,1000,10,10,0.5,3,-1,3,0,0,0.015,0.00509830366048322,0.0249016963395168,0.056,0.0417493037924458,0.0702506962075542,0.155,0.136173911070671,0.173826088929329
"Yuenbt","ghEqual",22199722,1000,10,10,0.5,3,1,-3,0,0,0.008,0.000743174362298623,0.0152568256377014,0.046,0.0330159800369839,0.0589840199630161,0.086,0.0714156114595092,0.100584388540491
"Yuenbt","ghEqual",22936706,1000,10,10,1,3,1,1,0,0,0.013,0.00377266875765262,0.0222273312423474,0.073,0.0568765725231885,0.0891234274768115,0.156,0.137124458270026,0.174875541729974
"Yuenbt","ghEqual",9953212,1000,10,10,1,3,3,3,0,0,0.01,0.00189480522134107,0.0181051947786589,0.05,0.0364916322229516,0.0635083677770484,0.143,0.124789396776191,0.161210603223809
"Yuenbt","ghEqual",14725675,1000,10,10,1,3,1,3,0,0,0.021,0.00931989217584016,0.0326801078241598,0.099,0.0804887364450722,0.117511263554928,0.191,0.170551717016458,0.211448282983542
"Yuenbt","ghEqual",3833175,1000,10,10,1,3,-1,1,0,0,0.013,0.00377266875765262,0.0222273312423474,0.087,0.0695316821187614,0.104468317881239,0.193,0.172470360456769,0.213529639543231
"Yuenbt","ghEqual",5153567,1000,10,10,1,3,-3,3,0,0,0.022,0.0100511357687854,0.0339488642312146,0.14,0.118493520976227,0.161506479023773,0.322,0.297694269114055,0.346305730885945
"Yuenbt","ghEqual",9670393,1000,10,10,1,3,-1,3,0,0,0.019,0.00787865885497617,0.0301213411450238,0.112,0.0924533847022048,0.131546615297795,0.258,0.2352397143713,0.2807602856287
"Yuenbt","ghEqual",35515,1000,10,10,1,3,1,-3,0,0,0.007,0.000208440607931048,0.013791559392069,0.047,0.0338824885896753,0.0601175114103247,0.085,0.0704927227097915,0.0995072772902085
"Yuenbt","ghEqual",175064,1000,10,10,1.5,3,1,1,0,0,0.023,0.0107888361530934,0.0352111638469066,0.108,0.0887624227720848,0.127237577227915,0.21,0.188812042394322,0.231187957605678
"Yuenbt","ghEqual",9126238,1000,10,10,1.5,3,3,3,0,0,0.025,0.0122820190281633,0.0377179809718367,0.107,0.087840962404129,0.126159037595871,0.233,0.211009173872385,0.254990826127615
"Yuenbt","ghEqual",37795,1000,10,10,1.5,3,1,3,0,0,0.03,0.0161039184803773,0.0438960815196227,0.156,0.133509992832371,0.178490007167629,0.287,0.26346839143248,0.31053160856752
"Yuenbt","ghEqual",61972237,1000,10,10,1.5,3,-1,1,0,0,0.036,0.0208247579820287,0.0511752420179712,0.188,0.163783408794795,0.212216591205205,0.345,0.320271595292559,0.369728404707441
"Yuenbt","ghEqual",64318,1000,10,10,1.5,3,-3,3,0,0,0.029,0.0153304419828584,0.0426695580171416,0.215,0.189536967187705,0.240463032812295,0.491,0.464994480163338,0.517005519836662
"Yuenbt","ghEqual",2909411,1000,10,10,1.5,3,-1,3,0,0,0.03,0.0161039184803773,0.0438960815196227,0.173,0.149555991093672,0.196444008906328,0.383,0.35771238497258,0.40828761502742
"Yuenbt","ghEqual",113370916,1000,10,10,1.5,3,1,-3,0,0,0.024,0.0115325857923946,0.0364674142076054,0.08,0.0631850732978107,0.0968149267021893,0.127,0.10967892330786,0.14432107669214
"Yuenbt","ghEqual",8675728,1000,10,10,2,3,1,1,0,0,0.051,0.0330789251822331,0.0689210748177669,0.213,0.187623411387659,0.238376588612341,0.349,0.324204714682525,0.373795285317475
"Yuenbt","ghEqual",5641024,1000,10,10,2,3,3,3,0,0,0.05,0.0322461452073078,0.0677538547926922,0.203,0.178069370132305,0.227930629867695,0.328,0.303577649449736,0.352422350550264
"Yuenbt","ghEqual",527714,1000,10,10,2,3,1,3,0,0,0.07,0.0492156545063358,0.0907843454936642,0.226,0.200077267921764,0.251922732078236,0.407,0.381444142750144,0.432555857249856
"Yuenbt","ghEqual",795642,1000,10,10,2,3,-1,1,0,0,0.057,0.0381140370704589,0.0758859629295411,0.246,0.219306267881767,0.272693732118233,0.457,0.431086628745472,0.482913371254528
"Yuenbt","ghEqual",88898,1000,10,10,2,3,-3,3,0,0,0.061,0.0415040872615822,0.0804959127384178,0.377,0.346962016818701,0.407037983181299,0.671,0.646558654436079,0.695441345563921
"Yuenbt","ghEqual",73476048,1000,10,10,2,3,-1,3,0,0,0.057,0.0381140370704589,0.0758859629295411,0.315,0.286209007658644,0.343790992341356,0.552,0.526131309302557,0.577868690697444
"Yuenbt","ghEqual",32440,1000,10,10,2,3,1,-3,0,0,0.034,0.0192370251323116,0.0487629748676884,0.114,0.0943018537318863,0.133698146268114,0.187,0.166717009915326,0.207282990084674
"Yuenbt","ghEqual",29839,1000,10,10,2.5,3,1,1,0,0,0.086,0.0631614681578697,0.10883853184213,0.309,0.280359912877228,0.337640087122772,0.485,0.459001973259976,0.510998026740024
"Yuenbt","ghEqual",21315194,1000,10,10,2.5,3,3,3,0,0,0.077,0.0552833880152543,0.0987166119847457,0.255,0.227985041921187,0.282014958078813,0.41,0.384415093365423,0.435584906634577
"Yuenbt","ghEqual",79126,1000,10,10,2.5,3,1,3,0,0,0.093,0.0693412945963647,0.116658705403635,0.34,0.310639226168236,0.369360773831764,0.536,0.510057771074944,0.561942228925056
"Yuenbt","ghEqual",436774,1000,10,10,2.5,3,-1,1,0,0,0.067,0.0466331398213667,0.0873668601786333,0.389,0.358782990776716,0.419217009223284,0.639,0.614015542011582,0.663984457988418
"Yuenbt","ghEqual",63626,1000,10,10,2.5,3,-3,3,0,0,0.079,0.0570270068951906,0.100972993104809,0.446,0.415190944603899,0.476809055396101,0.79,0.768812042394322,0.811187957605678
"Yuenbt","ghEqual",225583182,1000,10,10,2.5,3,-1,3,0,0,0.083,0.0605265590721848,0.105473440927815,0.437,0.406256664305902,0.467743335694098,0.712,0.688443967600634,0.735556032399366
"Yuenbt","ghEqual",356209535,1000,10,10,2.5,3,1,-3,0,0,0.052,0.0339136180042552,0.0700863819957448,0.166,0.142938203226982,0.189061796773018,0.254,0.231356050673524,0.276643949326476
"Yuenbt","ghEqual",43579530,1000,20,20,0,1,1,1,0,1,0.007,0.000208440607931048,0.013791559392069,0.047,0.0338824885896753,0.0601175114103247,0.098,0.0825338503207812,0.113466149679219
"Yuenbt","ghEqual",149689350,1000,20,20,0,1,3,3,0,1,0.001,-0.0015747116778389,0.0035747116778389,0.034,0.0227673017311066,0.0452326982688934,0.085,0.0704927227097915,0.0995072772902085
"Yuenbt","ghEqual",839884,1000,20,20,0,1,1,3,0,1,0.004,-0.00114168567534034,0.00914168567534034,0.039,0.0270008614309193,0.0509991385690807,0.089,0.0741877820372842,0.103812217962716
"Yuenbt","ghEqual",22734159,1000,20,20,0,1,-1,1,0,1,0.005,-0.000745692786775151,0.0107456927867752,0.058,0.0435124309285512,0.0724875690714488,0.128,0.110620826072566,0.145379173927434
"Yuenbt","ghEqual",53754855,1000,20,20,0,1,-3,3,0,1,0.016,0.00577876439250127,0.0262212356074987,0.132,0.111020124843079,0.152979875156921,0.285,0.261517661011411,0.308482338988589
"Yuenbt","ghEqual",7246267,1000,20,20,0,1,-1,3,0,1,0.012,0.00313017698846251,0.0208698230115375,0.096,0.0777410456378247,0.114258954362175,0.19,0.16959271582253,0.21040728417747
"Yuenbt","ghEqual",63844,1000,20,20,0,1,1,-3,0,1,0.008,0.000743174362298623,0.0152568256377014,0.081,0.0640895043715449,0.0979104956284551,0.171,0.151414204178155,0.190585795821845
"Yuenbt","ghEqual",389110,1000,20,20,0.5,3,1,1,0,0,0.014,0.00442919794876103,0.023570802051239,0.076,0.0595752467781096,0.0924247532218904,0.151,0.132374487954019,0.169625512045981
"Yuenbt","ghEqual",339241,1000,20,20,0.5,3,3,3,0,0,0.007,0.000208440607931048,0.013791559392069,0.055,0.0408696369473392,0.0691303630526608,0.13,0.112505674419973,0.147494325580027
"Yuenbt","ghEqual",40923,1000,20,20,0.5,3,1,3,0,0,0.012,0.00313017698846251,0.0208698230115375,0.098,0.079572247190718,0.116427752809282,0.186,0.16575887826478,0.20624112173522
"Yuenbt","ghEqual",421226,1000,20,20,0.5,3,-1,1,0,0,0.022,0.0100511357687854,0.0339488642312146,0.114,0.0943018537318863,0.133698146268114,0.237,0.214879122829892,0.259120877170108
"Yuenbt","ghEqual",14843672,1000,20,20,0.5,3,-3,3,0,0,0.035,0.0200292507067949,0.0499707492932051,0.291,0.262846934973257,0.319153065026743,0.516,0.490003586639692,0.541996413360308
"Yuenbt","ghEqual",560741,1000,20,20,0.5,3,-1,3,0,0,0.024,0.0115325857923946,0.0364674142076054,0.17,0.146718037883374,0.193281962116626,0.327,0.302596770136414,0.351403229863586
"Yuenbt","ghEqual",243597650,1000,20,20,0.5,3,1,-3,0,0,0.008,0.000743174362298623,0.0152568256377014,0.043,0.0304267871409094,0.0555732128590905,0.101,0.0853250402241345,0.116674959775865
"Yuenbt","ghEqual",16983441,1000,20,20,1,3,1,1,0,0,0.04,0.0240371118402715,0.0559628881597285,0.16,0.137277521261975,0.182722478738025,0.24,0.217783362990767,0.262216637009233
"Yuenbt","ghEqual",7396330,1000,20,20,1,3,3,3,0,0,0.031,0.0168814988308249,0.0451185011691751,0.141,0.119429400787183,0.162570599212817,0.232,0.210042115074534,0.253957884925466
"Yuenbt","ghEqual",1396557,1000,20,20,1,3,1,3,0,0,0.058,0.0389591949346673,0.0770408050653327,0.268,0.240547682764473,0.295452317235527,0.414,0.388377890619623,0.439622109380377
"Yuenbt","ghEqual",70959,1000,20,20,1,3,-1,1,0,0,0.056,0.0372705135557859,0.0747294864442141,0.257,0.229915735904404,0.284084264095596,0.392,0.366604268579149,0.417395731420851
"Yuenbt","ghEqual",77214438,1000,20,20,1,3,-3,3,0,0,0.087,0.0640416393560864,0.109958360643914,0.468,0.437073212232759,0.498926787767242,0.733,0.709986985013367,0.756013014986633
"Yuenbt","ghEqual",230973,1000,20,20,1,3,-1,3,0,0,0.095,0.0711146312232781,0.118885368776722,0.367,0.337126166339085,0.396873833660915,0.578,0.552308701981021,0.603691298018979
"Yuenbt","ghEqual",107607,1000,20,20,1,3,1,-3,0,0,0.016,0.00577876439250127,0.0262212356074987,0.059,0.0443958296914888,0.0736041703085112,0.095,0.0797471150474738,0.110252884952526
"Yuenbt","ghEqual",13535028,1000,20,20,1.5,3,1,1,0,0,0.085,0.062282221094482,0.107717778905518,0.27,0.242483107733612,0.297516892266388,0.402,0.376494753757315,0.427505246242685
