"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","power0.05","power0.10"
"AD","Logistic",1903572,1000,10,10,0,1,1,0.006,0.049,0.097
"AD","Logistic",14969506,1000,10,10,0.5,3,0,0.017,0.083,0.148
"AD","Logistic",6344070,1000,10,10,1.5,3,0,0.015,0.09,0.155
"AD","Logistic",21468869,1000,10,10,2.5,3,0,0.05,0.17,0.27
"AD","Logistic",232913,1000,20,20,0,1,1,0.008,0.051,0.107
"AD","Logistic",16758648,1000,20,20,0.5,3,0,0.015,0.05,0.115
"AD","Logistic",5133399,1000,20,20,1.5,3,0,0.034,0.131,0.228
"AD","Logistic",851684,1000,20,20,2.5,3,0,0.122,0.308,0.434
"AD","Logistic",363186261,1000,100,100,0,1,1,0.005,0.044,0.097
"AD","Logistic",2348701,1000,100,100,0.5,3,0,0.028,0.101,0.168
"AD","Logistic",3136328,1000,100,100,1.5,3,0,0.267,0.485,0.607
"AD","Logistic",12801476,1000,100,100,2.5,3,0,0.787,0.909,0.95
"AD","Logistic",11056286,1000,10,100,0,1,1,0.012,0.053,0.113
"AD","Logistic",39095057,1000,10,100,0.5,3,0,0.014,0.049,0.102
"AD","Logistic",675163,1000,10,100,1.5,3,0,0.041,0.129,0.224
"AD","Logistic",25527794,1000,10,100,2.5,3,0,0.117,0.284,0.405
