"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","power0.05","power0.10"
"AD","Normal",30821,1000,10,10,0,1,1,0.009,0.052,0.105
"AD","Normal",165871,1000,10,10,0.5,3,0,0.01,0.067,0.118
"AD","Normal",89055,1000,10,10,1.5,3,0,0.053,0.183,0.293
"AD","Normal",200087027,1000,10,10,2.5,3,0,0.162,0.397,0.532
"AD","Normal",1696225,1000,20,20,0,1,1,0.003,0.049,0.094
"AD","Normal",23421869,1000,20,20,0.5,3,0,0.019,0.087,0.146
"AD","Normal",1246038,1000,20,20,1.5,3,0,0.13,0.315,0.452
"AD","Normal",196226836,1000,20,20,2.5,3,0,0.449,0.701,0.794
"AD","Normal",1860409,1000,100,100,0,1,1,0.005,0.034,0.082
"AD","Normal",2137890,1000,100,100,0.5,3,0,0.073,0.201,0.316
"AD","Normal",553002,1000,100,100,1.5,3,0,0.793,0.93,0.96
"AD","Normal",15239512,1000,100,100,2.5,3,0,0.998,1,1
"AD","Normal",54158,1000,10,100,0,1,1,0.009,0.054,0.102
"AD","Normal",38797,1000,10,100,0.5,3,0,0.02,0.077,0.129
"AD","Normal",49688,1000,10,100,1.5,3,0,0.135,0.298,0.429
"AD","Normal",30304083,1000,10,100,2.5,3,0,0.421,0.652,0.771
