"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","power0.05","power0.10"
"AD","Normal2Var",169059,1000,10,10,0,1,2,1,0.013,0.086,0.18
"AD","Normal2Var",65701381,1000,10,10,1,1,2,0,0.134,0.337,0.482
"AD","Normal2Var",344360926,1000,10,10,0,2,3,1,0.01,0.049,0.129
"AD","Normal2Var",124933318,1000,10,10,2,2,3,0,0.18,0.401,0.532
"AD","Normal2Var",924035,1000,10,10,3,3,4,0,0.182,0.41,0.562
"AD","Normal2Var",362718,1000,20,20,0,1,2,1,0.032,0.213,0.415
"AD","Normal2Var",63408,1000,20,20,1,1,2,0,0.332,0.64,0.783
"AD","Normal2Var",275491,1000,20,20,0,2,3,1,0.01,0.08,0.18
"AD","Normal2Var",184676220,1000,20,20,2,2,3,0,0.462,0.747,0.846
"AD","Normal2Var",3754777,1000,20,20,3,3,4,0,0.485,0.754,0.832
"AD","Normal2Var",1348601,1000,100,100,0,1,2,1,0.909,0.997,0.999
"AD","Normal2Var",5974000,1000,100,100,1,1,2,0,1,1,1
"AD","Normal2Var",84424965,1000,100,100,0,2,3,1,0.211,0.585,0.777
"AD","Normal2Var",271982,1000,100,100,2,2,3,0,1,1,1
"AD","Normal2Var",51990077,1000,100,100,3,3,4,0,1,1,1
"AD","Normal2Var",101941,1000,10,100,0,1,2,1,0.001,0.025,0.11
"AD","Normal2Var",3500244,1000,10,100,1,1,2,0,0.138,0.47,0.67
"AD","Normal2Var",288360,1000,10,100,0,2,3,1,0.001,0.021,0.057
"AD","Normal2Var",99907,1000,10,100,2,2,3,0,0.296,0.611,0.765
"AD","Normal2Var",241555,1000,10,100,3,3,4,0,0.415,0.702,0.816
