"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","power0.05","power0.10"
"CVM","Logistic",28501,1000,10,10,0,1,1,0.006,0.046,0.093
"CVM","Logistic",160629303,1000,10,10,0.5,3,0,0.011,0.052,0.104
"CVM","Logistic",75824372,1000,10,10,1.5,3,0,0.023,0.102,0.176
"CVM","Logistic",22498,1000,10,10,2.5,3,0,0.061,0.182,0.276
"CVM","Logistic",141034930,1000,20,20,0,1,1,0.011,0.058,0.099
"CVM","Logistic",63016286,1000,20,20,0.5,3,0,0.017,0.058,0.107
"CVM","Logistic",485508,1000,20,20,1.5,3,0,0.05,0.161,0.26
"CVM","Logistic",161074,1000,20,20,2.5,3,0,0.114,0.274,0.413
"CVM","Logistic",28980,1000,100,100,0,1,1,0.013,0.053,0.101
"CVM","Logistic",136841957,1000,100,100,0.5,3,0,0.033,0.126,0.207
"CVM","Logistic",20352,1000,100,100,1.5,3,0,0.283,0.514,0.635
"CVM","Logistic",227063238,1000,100,100,2.5,3,0,0.756,0.898,0.94
"CVM","Logistic",544089,1000,10,100,0,1,1,0.009,0.066,0.115
"CVM","Logistic",100662381,1000,10,100,0.5,3,0,0.01,0.064,0.12
"CVM","Logistic",159255749,1000,10,100,1.5,3,0,0.039,0.134,0.202
"CVM","Logistic",56531,1000,10,100,2.5,3,0,0.104,0.277,0.4
