"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","power0.05","power0.10"
"CVM","Normal",993872,1000,10,10,0,1,1,0.009,0.051,0.1
"CVM","Normal",35460420,1000,10,10,0.5,3,0,0.012,0.062,0.117
"CVM","Normal",4167427,1000,10,10,1.5,3,0,0.052,0.156,0.262
"CVM","Normal",128677562,1000,10,10,2.5,3,0,0.152,0.343,0.476
"CVM","Normal",9212887,1000,20,20,0,1,1,0.007,0.04,0.086
"CVM","Normal",132924,1000,20,20,0.5,3,0,0.018,0.083,0.153
"CVM","Normal",134131952,1000,20,20,1.5,3,0,0.124,0.32,0.43
"CVM","Normal",679744,1000,20,20,2.5,3,0,0.415,0.677,0.79
"CVM","Normal",63502,1000,100,100,0,1,1,0.009,0.052,0.116
"CVM","Normal",204845,1000,100,100,0.5,3,0,0.072,0.216,0.299
"CVM","Normal",154752972,1000,100,100,1.5,3,0,0.803,0.93,0.962
"CVM","Normal",18364072,1000,100,100,2.5,3,0,0.998,1,1
"CVM","Normal",1866558,1000,10,100,0,1,1,0.013,0.044,0.095
"CVM","Normal",199409,1000,10,100,0.5,3,0,0.017,0.069,0.137
"CVM","Normal",1109427,1000,10,100,1.5,3,0,0.125,0.297,0.43
"CVM","Normal",359609903,1000,10,100,2.5,3,0,0.406,0.658,0.759
