"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","power0.05","power0.10"
"CVM","Normal2Var",505897,1000,10,10,0,1,2,1,0.016,0.107,0.182
"CVM","Normal2Var",7722877,1000,10,10,1,1,2,0,0.129,0.318,0.454
"CVM","Normal2Var",1100112,1000,10,10,0,2,3,1,0.008,0.052,0.112
"CVM","Normal2Var",138801340,1000,10,10,2,2,3,0,0.149,0.355,0.506
"CVM","Normal2Var",152336488,1000,10,10,3,3,4,0,0.162,0.397,0.548
"CVM","Normal2Var",4365576,1000,20,20,0,1,2,1,0.028,0.144,0.294
"CVM","Normal2Var",188964,1000,20,20,1,1,2,0,0.353,0.619,0.736
"CVM","Normal2Var",310438,1000,20,20,0,2,3,1,0.018,0.072,0.142
"CVM","Normal2Var",2324552,1000,20,20,2,2,3,0,0.407,0.652,0.761
"CVM","Normal2Var",24017,1000,20,20,3,3,4,0,0.448,0.697,0.803
"CVM","Normal2Var",184053033,1000,100,100,0,1,2,1,0.592,0.926,0.98
"CVM","Normal2Var",18681513,1000,100,100,1,1,2,0,0.998,1,1
"CVM","Normal2Var",50485,1000,100,100,0,2,3,1,0.068,0.314,0.52
"CVM","Normal2Var",124543133,1000,100,100,2,2,3,0,1,1,1
"CVM","Normal2Var",1322413,1000,100,100,3,3,4,0,1,1,1
"CVM","Normal2Var",3111414,1000,10,100,0,1,2,1,0.002,0.048,0.153
"CVM","Normal2Var",1519120,1000,10,100,1,1,2,0,0.2,0.548,0.718
"CVM","Normal2Var",26442,1000,10,100,0,2,3,1,0.004,0.036,0.086
"CVM","Normal2Var",208177,1000,10,100,2,2,3,0,0.35,0.691,0.82
"CVM","Normal2Var",590663,1000,10,100,3,3,4,0,0.41,0.699,0.819
