"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","power0.05","power0.10"
"KS","Logistic",46376165,1000,10,10,0,1,1,0.001,0.016,0.06
"KS","Logistic",112685,1000,10,10,0.5,3,0,0,0.012,0.05
"KS","Logistic",104287,1000,10,10,1.5,3,0,0.004,0.022,0.089
"KS","Logistic",1982553,1000,10,10,2.5,3,0,0.011,0.051,0.158
"KS","Logistic",6636119,1000,20,20,0,1,1,0.001,0.028,0.084
"KS","Logistic",7168997,1000,20,20,0.5,3,0,0.005,0.041,0.092
"KS","Logistic",850815,1000,20,20,1.5,3,0,0.016,0.078,0.184
"KS","Logistic",36121,1000,20,20,2.5,3,0,0.062,0.231,0.349
"KS","Logistic",285573,1000,100,100,0,1,1,0.005,0.036,0.062
"KS","Logistic",127221,1000,100,100,0.5,3,0,0.016,0.065,0.14
"KS","Logistic",3910433,1000,100,100,1.5,3,0,0.178,0.402,0.535
"KS","Logistic",2155515,1000,100,100,2.5,3,0,0.668,0.866,0.926
"KS","Logistic",1477574,1000,10,100,0,1,1,0.01,0.035,0.108
"KS","Logistic",246758811,1000,10,100,0.5,3,0,0.008,0.047,0.105
"KS","Logistic",3116911,1000,10,100,1.5,3,0,0.023,0.11,0.207
"KS","Logistic",2354498,1000,10,100,2.5,3,0,0.095,0.245,0.365
