"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","power0.05","power0.10"
"KS","Normal",429630,1000,10,10,0,1,1,0.004,0.016,0.05
"KS","Normal",51163731,1000,10,10,0.5,3,0,0.003,0.022,0.069
"KS","Normal",211128,1000,10,10,1.5,3,0,0.019,0.056,0.164
"KS","Normal",6097350,1000,10,10,2.5,3,0,0.067,0.167,0.367
"KS","Normal",59218514,1000,20,20,0,1,1,0.005,0.034,0.087
"KS","Normal",78119457,1000,20,20,0.5,3,0,0.01,0.055,0.12
"KS","Normal",565014,1000,20,20,1.5,3,0,0.069,0.226,0.359
"KS","Normal",306837,1000,20,20,2.5,3,0,0.249,0.559,0.717
"KS","Normal",896644,1000,100,100,0,1,1,0.002,0.037,0.08
"KS","Normal",174933,1000,100,100,0.5,3,0,0.039,0.138,0.24
"KS","Normal",114723817,1000,100,100,1.5,3,0,0.594,0.84,0.908
"KS","Normal",48701,1000,100,100,2.5,3,0,0.993,1,1
"KS","Normal",34138603,1000,10,100,0,1,1,0.013,0.044,0.095
"KS","Normal",104387156,1000,10,100,0.5,3,0,0.013,0.054,0.136
"KS","Normal",3873832,1000,10,100,1.5,3,0,0.09,0.228,0.348
"KS","Normal",133085,1000,10,100,2.5,3,0,0.305,0.536,0.687
