"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","power0.05","power0.10"
"KS","Normal2Var",11066359,1000,10,10,0,1,2,1,0.004,0.026,0.099
"KS","Normal2Var",54388891,1000,10,10,1,1,2,0,0.047,0.155,0.34
"KS","Normal2Var",409281,1000,10,10,0,2,3,1,0.003,0.026,0.088
"KS","Normal2Var",8251699,1000,10,10,2,2,3,0,0.049,0.17,0.364
"KS","Normal2Var",64901,1000,10,10,3,3,4,0,0.06,0.192,0.376
"KS","Normal2Var",1295013,1000,20,20,0,1,2,1,0.017,0.101,0.222
"KS","Normal2Var",407209,1000,20,20,1,1,2,0,0.199,0.527,0.692
"KS","Normal2Var",54396,1000,20,20,0,2,3,1,0.005,0.054,0.12
"KS","Normal2Var",189642663,1000,20,20,2,2,3,0,0.237,0.553,0.713
"KS","Normal2Var",159983,1000,20,20,3,3,4,0,0.281,0.614,0.747
"KS","Normal2Var",97799101,1000,100,100,0,1,2,1,0.376,0.794,0.918
"KS","Normal2Var",198966,1000,100,100,1,1,2,0,0.997,1,1
"KS","Normal2Var",9896479,1000,100,100,0,2,3,1,0.057,0.239,0.412
"KS","Normal2Var",260687714,1000,100,100,2,2,3,0,0.998,1,1
"KS","Normal2Var",5460683,1000,100,100,3,3,4,0,0.995,1,1
"KS","Normal2Var",1675483,1000,10,100,0,1,2,1,0.004,0.054,0.141
"KS","Normal2Var",22465,1000,10,100,1,1,2,0,0.227,0.526,0.737
"KS","Normal2Var",53854,1000,10,100,0,2,3,1,0.004,0.029,0.098
"KS","Normal2Var",54368310,1000,10,100,2,2,3,0,0.315,0.595,0.751
"KS","Normal2Var",299280,1000,10,100,3,3,4,0,0.35,0.632,0.773
