"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","power0.05","power0.10"
"WMW_Asymp","Normal",59749882,1000,10,10,0,1,1,0.01,0.036,0.086
"WMW_Asymp","Normal",218819,1000,10,10,0.5,3,0,0.008,0.049,0.091
"WMW_Asymp","Normal",11319661,1000,10,10,1.5,3,0,0.033,0.153,0.253
"WMW_Asymp","Normal",236224,1000,10,10,2.5,3,0,0.158,0.411,0.546
"WMW_Asymp","Normal",48466,1000,20,20,0,1,1,0.007,0.051,0.104
"WMW_Asymp","Normal",159992792,1000,20,20,0.5,3,0,0.02,0.07,0.128
"WMW_Asymp","Normal",19393991,1000,20,20,1.5,3,0,0.123,0.306,0.431
"WMW_Asymp","Normal",115706,1000,20,20,2.5,3,0,0.445,0.724,0.819
"WMW_Asymp","Normal",1570943,1000,100,100,0,1,1,0.007,0.049,0.096
"WMW_Asymp","Normal",352432867,1000,100,100,0.5,3,0,0.059,0.2,0.298
"WMW_Asymp","Normal",35445,1000,100,100,1.5,3,0,0.806,0.932,0.962
"WMW_Asymp","Normal",452363,1000,100,100,2.5,3,0,1,1,1
"WMW_Asymp","Normal",307809,1000,10,100,0,1,1,0.007,0.04,0.101
"WMW_Asymp","Normal",138138467,1000,10,100,0.5,3,0,0.016,0.073,0.14
"WMW_Asymp","Normal",91971,1000,10,100,1.5,3,0,0.087,0.3,0.427
"WMW_Asymp","Normal",20000,1000,10,100,2.5,3,0,0.404,0.678,0.795
