"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"AD","Cauchy",83004203,10000,10,10,0,1,1,1,0.0097,0.00717526898390819,0.0122247310160918,0.0535,0.0490894447016277,0.0579105552983723,0.1072,0.102110907019281,0.112289092980719,1072,535,97
"AD","Cauchy",368120632,10000,10,10,0,0.5,0.5,1,0.0096,0.00708818996570521,0.0121118100342948,0.0527,0.0483206954577696,0.0570793045422304,0.1032,0.0981955823085598,0.10820441769144,1032,527,96
"AD","Cauchy",1904751,10000,10,10,0,2,2,1,0.0102,0.00761166986137858,0.0127883301386214,0.0545,0.0500507676212632,0.0589492323787368,0.1059,0.100838177292025,0.110961822707975,1059,545,102
"AD","Cauchy",59273649,10000,10,10,0.5,1,1,0,0.0272,0.0230097291891316,0.0313902708108684,0.0991,0.0932435937956457,0.104956406204354,0.1661,0.159977797287661,0.172222202712339,1661,991,272
"AD","Cauchy",125797,10000,10,10,0.5,0.5,0.5,0,0.0753,0.0685025851556628,0.0820974148443372,0.2179,0.209808746098756,0.225991253901244,0.3309,0.323159664223887,0.338640335776113,3309,2179,753
"AD","Cauchy",120163,10000,10,10,0.5,2,2,0,0.0123,0.00946070223032243,0.0151392977696776,0.0615,0.056791194329769,0.066208805670231,0.116,0.110732300050307,0.121267699949693,1160,615,123
"AD","Cauchy",113061419,10000,10,10,0.5,0.5,2,0,0.031,0.0265353379157656,0.0354646620842344,0.1451,0.13819684800121,0.15200315199879,0.2925,0.285016718894136,0.299983281105864,2925,1451,310
"AD","Cauchy",19161467,10000,10,10,0.5,1,2,0,0.0192,0.0156650221113088,0.0227349778886912,0.0885,0.0829331945570193,0.0940668054429807,0.1681,0.161948439194808,0.174251560805192,1681,885,192
"AD","Cauchy",2960981,10000,10,10,1,1,1,0,0.0746,0.0678316934582139,0.0813683065417861,0.2216,0.213459663403126,0.229740336596874,0.328,0.32027697464461,0.33572302535539,3280,2216,746
"AD","Cauchy",241469,10000,10,10,1,0.5,0.5,0,0.2874,0.275742319471,0.299057680529,0.5442,0.534438366445231,0.553961633554769,0.6685,0.660756124279834,0.676243875720166,6685,5442,2874
"AD","Cauchy",107315778,10000,10,10,1,2,2,0,0.024,0.0200574574571224,0.0279425425428776,0.0984,0.0925620472980333,0.104237952701967,0.1707,0.164510743299089,0.176889256700911,1707,984,240
"AD","Cauchy",75206,10000,10,10,1,0.5,2,0,0.074,0.0672567818170847,0.0807432181829153,0.2544,0.245863741178807,0.262936258821193,0.4197,0.411581764001596,0.427818235998404,4197,2544,740
"AD","Cauchy",766603,10000,10,10,1,1,2,0,0.0408,0.0357039870227858,0.0458960129772142,0.1532,0.146140468528181,0.160259531471819,0.2569,0.249712603810143,0.264087396189857,2569,1532,408
"AD","Cauchy",48931112,10000,10,10,1.5,1,1,0,0.1702,0.160519175393589,0.179880824606411,0.3857,0.376159499723725,0.395240500276275,0.5146,0.506378507229761,0.522821492770239,5146,3857,1702
"AD","Cauchy",68283,10000,10,10,1.5,0.5,0.5,0,0.5221,0.509232587592512,0.534967412407488,0.7772,0.769043946599881,0.785356053400119,0.8657,0.860090971878768,0.871309028121232,8657,7772,5221
"AD","Cauchy",55285,10000,10,10,1.5,2,2,0,0.0428,0.0375860232749641,0.0480139767250359,0.1505,0.143491807653895,0.157508192346105,0.2432,0.236142705363215,0.250257294636785,2432,1505,428
"AD","Cauchy",11665708,10000,10,10,1.5,0.5,2,0,0.1438,0.134761155533308,0.152838844466692,0.383,0.373472081352153,0.392527918647847,0.5552,0.547025277475143,0.563374722524857,5552,3830,1438
"AD","Cauchy",341089993,10000,10,10,1.5,1,2,0,0.082,0.074932364793115,0.089067635206885,0.2452,0.236767967922642,0.253632032077358,0.3676,0.359668604907105,0.375531395092895,3676,2452,820
