"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"AD","Exp",25792892,10000,10,10,0,1,1,0.0104,0.00778668132697445,0.0130133186730255,0.0532,0.0488011311679478,0.0575988688320522,0.1044,0.0993699396687912,0.109430060331209,1044,532,104
"AD","Exp",767937,10000,10,10,0,0.5,1,0.0087,0.00630774187608109,0.0110922581239189,0.0513,0.046976064527586,0.055623935472414,0.1049,0.0998593165509055,0.109940683449094,1049,513,87
"AD","Exp",40598749,10000,10,10,0,0.25,1,0.0099,0.00734963120325236,0.0124503687967476,0.053,0.0486089437990388,0.0573910562009612,0.1007,0.0957496838681984,0.105650316131802,1007,530,99
"AD","Exp",251050779,10000,10,10,0,0.125,1,0.011,0.00831316902087236,0.0136868309791276,0.0548,0.0503392466831711,0.0592607533168289,0.1078,0.10269840013879,0.11290159986121,1078,548,110
"AD","Exp",24734,10000,10,10,0.5,1,0,0.14,0.131061614069643,0.148938385930357,0.3685,0.359045000833422,0.377954999166578,0.5215,0.513282607530708,0.529717392469292,5215,3685,1400
"AD","Exp",109719,10000,10,10,0.5,0.5,0,0.034,0.0293315374378282,0.0386684625621718,0.1368,0.130064732703033,0.143535267296968,0.2384,0.231390573348868,0.245409426651132,2384,1368,340
"AD","Exp",518730,10000,10,10,0.5,0.25,0,0.0164,0.0131282731152029,0.0196717268847971,0.0745,0.0693533762562239,0.0796466237437761,0.1397,0.133997187842321,0.145402812157679,1397,745,164
"AD","Exp",33498832,10000,10,10,0.5,0.125,0,0.0086,0.00622141025800917,0.0109785897419908,0.0556,0.0511087062952419,0.0600912937047581,0.1134,0.108184015489373,0.118615984510627,1134,556,86
"AD","Exp",44849,10000,10,10,1,1,0,0.5258,0.512937158315274,0.538662841684726,0.7986,0.790739494835165,0.806460505164835,0.8922,0.88709840013879,0.89730159986121,8922,7986,5258
"AD","Exp",14019459,10000,10,10,1,0.5,0,0.1349,0.12609995304334,0.14370004695666,0.3676,0.358149827123359,0.377050172876641,0.5156,0.507379004246711,0.523820995753289,5156,3676,1349
"AD","Exp",515924,10000,10,10,1,0.25,0,0.0339,0.0292381666024724,0.0385618333975276,0.1407,0.133884848321453,0.147515151678547,0.2357,0.228718035708357,0.242681964291643,2357,1407,339
"AD","Exp",362805649,10000,10,10,1,0.125,0,0.0153,0.0121381333994591,0.0184618666005409,0.0728,0.0677077645905163,0.0778922354094837,0.1421,0.136356438507078,0.147843561492922,1421,728,153
"AD","Exp",290839722,10000,10,10,1.5,1,0,0.8136,0.803568305852394,0.823631694147606,0.9558,0.951771431810482,0.959828568189518,0.986,0.984067282506417,0.987932717493583,9860,9558,8136
