"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"AD","GLDLS",54546016,10000,10,10,0,2,-0.002,-0.002,1,0.0101,0.00752425890101043,0.0126757410989896,0.0534,0.0489933358750184,0.0578066641249816,0.1043,0.0992720686003312,0.109327931399669,1043,534,101
"AD","GLDLS",83379820,10000,10,10,0,2,-0.02,-0.02,1,0.0111,0.00840112023907993,0.0137988797609201,0.0552,0.0507239435756908,0.0596760564243092,0.1071,0.102012996350702,0.112187003649298,1071,552,111
"AD","GLDLS",434908,10000,10,10,0,2,-0.05,-0.05,1,0.0089,0.00648064499126234,0.0113193550087377,0.0507,0.0464000659817155,0.0549999340182845,0.1023,0.0973149521453877,0.107285047854612,1023,507,89
"AD","GLDLS",1411974,10000,10,10,0,2,-0.1,-0.1,1,0.009,0.00656721381654696,0.011432786183453,0.0546,0.0501469231340117,0.0590530768659883,0.1066,0.101523463901921,0.111676536098079,1066,546,90
"AD","GLDLS",745315,10000,10,10,0,2,-0.2,-0.2,1,0.0093,0.00682737409756834,0.0117726259024317,0.0544,0.0499546162975059,0.0588453837024941,0.1051,0.100055077321804,0.110144922678196,1051,544,93
"AD","GLDLS",181423,10000,10,10,0.5,2,-0.002,-0.002,0,0.0696,0.0630448093167945,0.0761551906832055,0.2297,0.221455458320464,0.237944541679536,0.3425,0.334693721005859,0.350306278994142,3425,2297,696
"AD","GLDLS",5163711,10000,10,10,0.5,2,-0.002,-0.02,0,0.0734,0.0666819994265151,0.0801180005734849,0.2297,0.221455458320464,0.237944541679536,0.3399,0.332108046521316,0.347691953478684,3399,2297,734
"AD","GLDLS",39076,10000,10,10,0.5,2,-0.002,-0.05,0,0.0709,0.0642884968937053,0.0775115031062947,0.219,0.210894055129721,0.227105944870279,0.3276,0.319879388467252,0.335320611532748,3276,2190,709
"AD","GLDLS",19615,10000,10,10,0.5,2,-0.002,-0.1,0,0.0676,0.061132739731028,0.074067260268972,0.2108,0.202805617698809,0.218794382301191,0.3194,0.311730283157567,0.327069716842433,3194,2108,676
"AD","GLDLS",16981444,10000,10,10,0.5,2,-0.002,-0.2,0,0.062,0.0557878329943892,0.0682121670056108,0.2016,0.193736577707486,0.209463422292514,0.3027,0.295142434055347,0.310257565944653,3027,2016,620
"AD","GLDLS",71234,10000,10,10,1,2,-0.002,-0.002,0,0.3832,0.370676353760898,0.395723646239102,0.6546,0.645280229059982,0.663919770940018,0.7708,0.763885766182403,0.777714233817597,7708,6546,3832
"AD","GLDLS",1401787,10000,10,10,1,2,-0.002,-0.02,0,0.3805,0.367993267973703,0.393006732026297,0.6527,0.643368203288026,0.662031796711973,0.7641,0.757115988069743,0.771084011930257,7641,6527,3805
"AD","GLDLS",70551,10000,10,10,1,2,-0.002,-0.05,0,0.3592,0.346841229310003,0.371558770689997,0.6458,0.636425904576035,0.655174095423965,0.7638,0.756812920641649,0.770787079358351,7638,6458,3592
"AD","GLDLS",9555846,10000,10,10,1,2,-0.002,-0.1,0,0.3382,0.326013021590608,0.350386978409392,0.6209,0.611390804120726,0.630409195879274,0.7402,0.732986267794276,0.747413732205724,7402,6209,3382
"AD","GLDLS",142672,10000,10,10,1,2,-0.002,-0.2,0,0.3061,0.294227943159608,0.317972056840392,0.5842,0.574539956320099,0.593860043679901,0.7055,0.69800179929754,0.71299820070246,7055,5842,3061
"AD","GLDLS",333885,10000,10,10,1.5,2,-0.002,-0.002,0,0.7646,0.7536713571145,0.7755286428855,0.9339,0.929030246383399,0.938769753616601,0.9672,0.964270044879798,0.970129955120202,9672,9339,7646
"AD","GLDLS",38545538,10000,10,10,1.5,2,-0.002,-0.02,0,0.7639,0.752960131360391,0.774839868639609,0.9317,0.926755703906763,0.936644296093237,0.9701,0.967298376647553,0.972901623352447,9701,9317,7639
"AD","GLDLS",188433455,10000,10,10,1.5,2,-0.002,-0.05,0,0.7351,0.72373262861269,0.74646737138731,0.9166,0.911180876817196,0.922019123182804,0.96,0.956776471498497,0.963223528501503,9600,9166,7351
"AD","GLDLS",28425361,10000,10,10,1.5,2,-0.002,-0.1,0,0.7146,0.702966661931553,0.726233338068447,0.9047,0.898944874258055,0.910455125741945,0.9537,0.950243295228578,0.957156704771422,9537,9047,7146
"AD","GLDLS",3310179,10000,10,10,1.5,2,-0.002,-0.2,0,0.6485,0.636201178069815,0.660798821930185,0.8755,0.869029038405306,0.881970961594694,0.9336,0.929504279013214,0.937695720986786,9336,8755,6485
"AD","GLDLS",119714491,10000,10,10,2,2,-0.002,-0.002,0,0.9602,0.955164202643226,0.965235797356774,0.9954,0.99407372432187,0.99672627567813,0.9986,0.997984928362628,0.999215071637372,9986,9954,9602
"AD","GLDLS",987003,10000,10,10,2,2,-0.002,-0.02,0,0.9498,0.944175113030034,0.955424886969966,0.9937,0.992149206432306,0.995250793567694,0.9971,0.996215425818275,0.997984574181725,9971,9937,9498
"AD","GLDLS",212230513,10000,10,10,2,2,-0.002,-0.05,0,0.9386,0.932415988063473,0.944784011936527,0.9908,0.988928701868328,0.992671298131672,0.9965,0.995528509459966,0.997471490540034,9965,9908,9386
"AD","GLDLS",14188700,10000,10,10,2,2,-0.002,-0.1,0,0.9275,0.920820071389603,0.934179928610397,0.9883,0.986192374716037,0.990407625283963,0.9958,0.994736159282646,0.996863840717354,9958,9883,9275
"AD","GLDLS",49129242,10000,10,10,2,2,-0.002,-0.2,0,0.8754,0.866892378678644,0.883907621321356,0.9753,0.972257898781171,0.978342101218829,0.9907,0.989121013350349,0.992278986649651,9907,9753,8754
"AD","GLDLS",146680209,10000,10,10,2.5,2,-0.002,-0.002,0,0.9937,0.991661814168174,0.995738185831826,0.9994,0.998920044062022,0.999879955937978,0.9998,0.999567385133966,1.00003261486603,9998,9994,9937
"AD","GLDLS",896987,10000,10,10,2.5,2,-0.002,-0.02,0,0.9939,0.991894225427047,0.995905774572953,0.9992,0.998645850076604,0.999754149923396,0.9996,0.999271065806581,0.999928934193419,9996,9992,9939
"AD","GLDLS",6554449,10000,10,10,2.5,2,-0.002,-0.05,0,0.9909,0.988453859100758,0.993346140899242,0.9995,0.99906184025744,0.99993815974256,0.9999,0.999735508225206,1.00006449177479,9999,9995,9909
"AD","GLDLS",337887,10000,10,10,2.5,2,-0.002,-0.1,0,0.987,0.984082061654935,0.989917938345065,0.9985,0.997741464806354,0.999258535193646,0.9997,0.999415120383714,0.999984879616286,9997,9985,9870
"AD","GLDLS",145251034,10000,10,10,2.5,2,-0.002,-0.2,0,0.9663,0.961651457575169,0.970948542424831,0.9961,0.994878369562265,0.997321630437735,0.9987,0.998107272464133,0.999292727535867,9987,9961,9663
"AD","GLDLS",6639452,10000,20,20,0,2,-0.002,-0.002,1,0.0092,0.00674057959837363,0.0116594204016264,0.0513,0.046976064527586,0.055623935472414,0.1031,0.0980977286449079,0.108102271355092,1031,513,92
