"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"AD","Logistic",171139375,10000,10,10,0,1,1,0.0086,0.00622141025800917,0.0109785897419908,0.0513,0.046976064527586,0.055623935472414,0.1019,0.0969235993001995,0.106876400699801,1019,513,86
"AD","Logistic",1889597,10000,10,10,0,3,1,0.009,0.00656721381654696,0.011432786183453,0.0539,0.0494739228964692,0.0583260771035308,0.1067,0.101621367600055,0.111778632399945,1067,539,90
"AD","Logistic",97115568,10000,10,10,0,5,1,0.0103,0.00769914430765258,0.0129008556923474,0.0536,0.0491855578284001,0.0580144421715999,0.1053,0.100250843795665,0.110349156204335,1053,536,103
"AD","Logistic",4182538,10000,10,10,0,2,1,0.0099,0.00734963120325236,0.0124503687967476,0.0502,0.0459201946967648,0.0544798053032352,0.1005,0.0955540523305058,0.105445947669494,1005,502,99
"AD","Logistic",161117,10000,10,10,0.5,1,0,0.0222,0.0184046890594293,0.0259953109405707,0.096,0.0902260116522459,0.101773988347754,0.1666,0.160470428026762,0.172729571973238,1666,960,222
"AD","Logistic",308452695,10000,10,10,1.5,1,0,0.1951,0.184891887277375,0.205308112722625,0.4333,0.423587589670036,0.443012410329964,0.5677,0.559550743882551,0.575849256117449,5677,4333,1951
"AD","Logistic",1086750,10000,10,10,2,1,0,0.3865,0.373956235514711,0.399043764485289,0.6643,0.655044201994339,0.673555798005661,0.7738,0.766917811473092,0.780682188526908,7738,6643,3865
"AD","Logistic",389593,10000,10,10,2.5,1,0,0.598,0.585369821825105,0.610630178174895,0.8343,0.827012502020474,0.841587497979526,0.9055,0.900687995399589,0.910312004600411,9055,8343,5980
"AD","Logistic",509742,10000,10,10,0.5,3,0,0.0112,0.00848912745672984,0.0139108725432702,0.0603,0.0556343802484986,0.0649656197515014,0.117,0.111712636301757,0.122287363698243,1170,603,112
"AD","Logistic",69199,10000,10,10,1.5,3,0,0.0243,0.0203335028371401,0.0282664971628599,0.0995,0.0936330894024197,0.10536691059758,0.1727,0.166482102146804,0.178917897853196,1727,995,243
"AD","Logistic",55276,10000,10,10,2,3,0,0.0341,0.0294249190925778,0.0387750809074222,0.1329,0.126246454135245,0.139553545864755,0.2141,0.207352267146146,0.220847732853854,2141,1329,341
"AD","Logistic",93968627,10000,10,10,2.5,3,0,0.0537,0.0478930588920968,0.0595069411079032,0.1744,0.166962719629972,0.181837280370028,0.2765,0.269142458204714,0.283857541795286,2765,1744,537
"AD","Logistic",142532346,10000,10,10,1,1,0,0.0769,0.0700366933400245,0.0837633066599755,0.231,0.222739140587082,0.239260859412918,0.3404,0.332605271343812,0.348194728656188,3404,2310,769
"AD","Logistic",47734,10000,10,10,1,3,0,0.0146,0.0115102128295328,0.0176897871704672,0.0698,0.0648057307728157,0.0747942692271843,0.1315,0.125940782189069,0.137059217810931,1315,698,146
"AD","Logistic",326499022,10000,10,10,5,1,0,0.9954,0.993656894823029,0.997143105176971,0.9998,0.999522841861747,1.00007715813825,0.9999,0.999735508225206,1.00006449177479,9999,9998,9954
"AD","Logistic",22017025,10000,10,10,5,3,0,0.2574,0.246137686755794,0.268662313244206,0.5271,0.517314405022974,0.536885594977026,0.6528,0.64496848411057,0.66063151588943,6528,5271,2574
"AD","Logistic",19245062,10000,10,10,0.5,5,0,0.0099,0.00734963120325236,0.0124503687967476,0.0539,0.0494739228964692,0.0583260771035308,0.11,0.104852963498284,0.115147036501716,1100,539,99
"AD","Logistic",54227074,10000,10,10,1,5,0,0.0118,0.00901830642683706,0.0145816935731629,0.0644,0.0595889030167331,0.0692110969832669,0.1183,0.112987258379257,0.123612741620743,1183,644,118
"AD","Logistic",855745,10000,10,10,1.5,5,0,0.0137,0.0107055941757577,0.0166944058242423,0.0685,0.0635490015915979,0.0734509984084021,0.1289,0.123387782217113,0.134412217782887,1289,685,137
"AD","Logistic",489179,10000,10,10,2,5,0,0.0201,0.016484779706045,0.023715220293955,0.0831,0.077689747061144,0.088510252938856,0.1479,0.142060236330298,0.153739763669702,1479,831,201
"AD","Logistic",207290800,10000,10,10,2.5,5,0,0.0216,0.0178551799248904,0.0253448200751096,0.0875,0.0819616992678259,0.0930383007321741,0.1569,0.15091702871142,0.16288297128858,1569,875,216
"AD","Logistic",1918052,10000,10,10,5,5,0,0.0832,0.0760854927848672,0.0903145072151327,0.2322,0.223924176249726,0.240475823750274,0.351,0.343148695719977,0.358851304280022,3510,2322,832
"AD","Logistic",32104,10000,10,10,3,1,0,0.7712,0.760379249604419,0.78202075039558,0.9371,0.932341453001766,0.941858546998234,0.9704,0.967612036063074,0.973187963936926,9704,9371,7712
"AD","Logistic",1297023,10000,10,10,3,3,0,0.0795,0.072531467667177,0.086468532332823,0.2281,0.219875694496044,0.236324305503956,0.3395,0.331710273628081,0.347289726371919,3395,2281,795
"AD","Logistic",507368,10000,10,10,3,5,0,0.0275,0.0232873341646886,0.0317126658353114,0.1169,0.110602498649274,0.123197501350726,0.2033,0.196679633991328,0.209920366008672,2033,1169,275
"AD","Logistic",3359611,10000,10,10,0.5,2,0,0.0118,0.00901830642683706,0.0145816935731629,0.0651,0.0602646363033997,0.0699353636966003,0.1225,0.117106663603633,0.127893336396367,1225,651,118
"AD","Logistic",147981438,10000,10,10,1,2,0,0.0255,0.0214392442248271,0.0295607557751729,0.0977,0.0918805916629265,0.103519408337073,0.1694,0.163229525403739,0.175570474596261,1694,977,255
"AD","Logistic",8343572,10000,10,10,1.5,2,0,0.046,0.0406036642618903,0.0513963357381097,0.1577,0.150556594260886,0.164843405739114,0.2464,0.239311461558149,0.253488538441851,2464,1577,460
"AD","Logistic",162847,10000,10,10,2,2,0,0.0754,0.0685984408984716,0.0822015591015284,0.2277,0.219480780020367,0.235919219979633,0.3401,0.332306935290017,0.347893064709983,3401,2277,754
"AD","Logistic",12584219,10000,10,10,2.5,2,0,0.1337,0.124933106727497,0.142466893272503,0.3333,0.324060702406698,0.342539297593302,0.4606,0.452400576087121,0.468799423912879,4606,3333,1337
"AD","Logistic",711000,10000,10,10,3,2,0,0.197,0.186754415384098,0.207245584615902,0.4413,0.431567769848098,0.451032230151903,0.5697,0.56155530763621,0.57784469236379,5697,4413,1970
"AD","Logistic",905137,10000,10,10,5,2,0,0.5946,0.581952631187271,0.607247368812729,0.8349,0.827623092766951,0.842176907233049,0.9061,0.901301707003426,0.910898292996574,9061,8349,5946
"AD","Logistic",19536,10000,20,20,0,1,1,0.0107,0.00804965901805522,0.0133503409819448,0.0511,0.0467840466213825,0.0554159533786175,0.1001,0.0951628074279025,0.105037192572098,1001,511,107
"AD","Logistic",2380581,10000,20,20,0,3,1,0.0097,0.00717526898390819,0.0122247310160918,0.0448,0.0407454539694807,0.0488545460305193,0.0993,0.0943803907670654,0.104219609232935,993,448,97
"AD","Logistic",302068,10000,20,20,0,5,1,0.0089,0.00648064499126234,0.0113193550087377,0.0507,0.0464000659817155,0.0549999340182845,0.1015,0.0965322702222872,0.106467729777713,1015,507,89
"AD","Logistic",61380530,10000,20,20,0,2,1,0.0097,0.00717526898390819,0.0122247310160918,0.0552,0.0507239435756908,0.0596760564243092,0.1065,0.101425561603056,0.111574438396944,1065,552,97
"AD","Logistic",475739,10000,20,20,0.5,1,0,0.0444,0.0390939001985956,0.0497060998014044,0.1393,0.132513317517255,0.146086682482745,0.2281,0.221197457880608,0.235002542119392,2281,1393,444
"AD","Logistic",9432677,10000,20,20,1.5,1,0,0.498,0.485120103040412,0.510879896959588,0.7444,0.735850520440261,0.752949479559739,0.8381,0.832040493621179,0.844159506378821,8381,7444,4980
"AD","Logistic",121317041,10000,20,20,2,1,0,0.7941,0.783683744359524,0.804516255640476,0.9284,0.923346641046749,0.933453358953251,0.9618,0.958646883841673,0.964953116158327,9618,9284,7941
"AD","Logistic",21496,10000,20,20,2.5,1,0,0.9471,0.941334040162437,0.952865959837563,0.99,0.988049824623271,0.991950175376729,0.9953,0.994174898164265,0.996425101835735,9953,9900,9471
"AD","Logistic",3028502,10000,20,20,0.5,3,0,0.0127,0.00981548841415119,0.0155845115858488,0.0623,0.0575626872983093,0.0670373127016907,0.1129,0.107694059946756,0.118105940053244,1129,623,127
"AD","Logistic",229636,10000,20,20,1.5,3,0,0.0468,0.0413592245518331,0.0522407754481669,0.1465,0.139569307246747,0.153430692753253,0.233,0.2260458901808,0.2399541098192,2330,1465,468
"AD","Logistic",24045885,10000,20,20,2,3,0,0.076,0.0691736486039466,0.0828263513960534,0.2236,0.215433523168073,0.231766476831927,0.3261,0.318388497035534,0.333811502964466,3261,2236,760
"AD","Logistic",192205,10000,20,20,2.5,3,0,0.1281,0.119490979095201,0.136709020904799,0.3036,0.294587685553289,0.312612314446711,0.4233,0.415172349647114,0.431427650352886,4233,3036,1281
"AD","Logistic",2198267,10000,20,20,1,1,0,0.1969,0.186656378341462,0.207143621658538,0.4213,0.411622157675928,0.430977842324072,0.5455,0.537309126409572,0.553690873590428,5455,4213,1969
"AD","Logistic",5796553,10000,20,20,1,3,0,0.0209,0.0172150421293393,0.0245849578706607,0.0905,0.0848768235346914,0.0961231764653085,0.1556,0.149637274578215,0.161562725421785,1556,905,209
"AD","Logistic",23165,10000,20,20,5,1,0,1,1,1,1,1,1,1,1,1,10000,10000,10000
"AD","Logistic",41435173,10000,20,20,5,3,0,0.6078,0.595222914849504,0.620377085150496,0.8261,0.818671140008965,0.833528859991035,0.8959,0.890876330785972,0.900923669214028,8959,8261,6078
"AD","Logistic",60620,10000,20,20,0.5,5,0,0.011,0.00831316902087236,0.0136868309791276,0.0528,0.0484167738610015,0.0571832261389985,0.1076,0.102502563565909,0.112697436434091,1076,528,110
"AD","Logistic",38143,10000,20,20,1,5,0,0.0144,0.011331137346041,0.017468862653959,0.0641,0.0592993525904937,0.0689006474095064,0.1188,0.113477552738411,0.124122447261589,1188,641,144
"AD","Logistic",37557770,10000,20,20,1.5,5,0,0.0209,0.0172150421293393,0.0245849578706607,0.088,0.0824474199726613,0.0935525800273386,0.1541,0.148160816630464,0.160039183369536,1541,880,209
"AD","Logistic",872045,10000,20,20,2,5,0,0.0316,0.0270937343496256,0.0361062656503744,0.1107,0.10455029861525,0.11684970138475,0.1891,0.182658376806505,0.195541623193495,1891,1107,316
"AD","Logistic",151679358,10000,20,20,2.5,5,0,0.0453,0.0399429164349605,0.0506570835650395,0.1442,0.137314668689337,0.151085331310663,0.2331,0.22614485148649,0.24005514851351,2331,1442,453
"AD","Logistic",32006185,10000,20,20,5,5,0,0.2006,0.190284426092162,0.210915573907838,0.4192,0.409528807847137,0.428871192152863,0.5529,0.544721163392146,0.561078836607854,5529,4192,2006
"AD","Logistic",229482931,10000,20,20,3,1,0,0.9923,0.990048288649916,0.994551711350084,0.9993,0.998781614273345,0.999818385726655,0.9999,0.999735508225206,1.00006449177479,9999,9993,9923
"AD","Logistic",138999,10000,20,20,3,3,0,0.1936,0.183421734043684,0.203778265956316,0.4188,0.409130094928615,0.428469905071385,0.5401,0.531901494436547,0.548298505563453,5401,4188,1936
"AD","Logistic",3390503,10000,20,20,3,5,0,0.0641,0.0577905776903631,0.0704094223096369,0.1941,0.186348077593887,0.201851922406113,0.2912,0.283726510270135,0.298673489729865,2912,1941,641
"AD","Logistic",5779047,10000,20,20,0.5,2,0,0.0163,0.013038097342431,0.019561902657569,0.0685,0.0635490015915979,0.0734509984084021,0.126,0.120541077971797,0.131458922028203,1260,685,163
"AD","Logistic",214547996,10000,20,20,1,2,0,0.0458,0.0404148438125588,0.0511851561874412,0.146,0.139079118160234,0.152920881839766,0.2353,0.228322137441825,0.242277862558175,2353,1460,458
"AD","Logistic",65168382,10000,20,20,1.5,2,0,0.0962,0.0886042692230796,0.10379573077692,0.2593,0.25071028999316,0.26788971000684,0.3742,0.366239587494866,0.382160412505134,3742,2593,962
