"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"AD","Normal",1325857,10000,10,10,0,1,1,0.0093,0.00682737409756834,0.0117726259024317,0.0482,0.0440019032739109,0.0523980967260891,0.1005,0.0955540523305058,0.105445947669494,1005,482,93
"AD","Normal",37694850,10000,10,10,0,3,1,0.0104,0.00778668132697445,0.0130133186730255,0.054,0.0495700531109279,0.0584299468890721,0.1087,0.103579732770961,0.113820267229039,1087,540,104
"AD","Normal",11799293,10000,10,10,0,5,1,0.0087,0.00630774187608109,0.0110922581239189,0.0517,0.0473601550053487,0.0560398449946513,0.1063,0.101229761210083,0.111370238789917,1063,517,87
"AD","Normal",1277652,10000,10,10,0.5,1,0,0.0517,0.0459962037213154,0.0574037962786846,0.1778,0.170306051815925,0.185293948184075,0.2797,0.272316388409743,0.287083611590257,2797,1778,517
"AD","Normal",3663609,10000,10,10,1.5,1,0,0.6282,0.615750568571803,0.640649431428197,0.8576,0.850750585447033,0.864449414552967,0.9208,0.91635766661152,0.925242333388479,9208,8576,6282
"AD","Normal",1106894,10000,10,10,2,1,0,0.9036,0.895997218893964,0.911202781106036,0.9827,0.980144419292294,0.985255580707706,0.9935,0.992178075912023,0.994821924087978,9935,9827,9036
"AD","Normal",2825565,10000,10,10,2.5,1,0,0.9883,0.98552997819822,0.99107002180178,0.9995,0.99906184025744,0.99993815974256,0.9999,0.999735508225206,1.00006449177479,9999,9995,9883
"AD","Normal",49954067,10000,10,10,0.5,3,0,0.013,0.0100820616549351,0.0159179383450649,0.0667,0.0618097662205575,0.0715902337794424,0.123,0.117597207918354,0.128402792081646,1230,667,130
"AD","Normal",317314482,10000,10,10,1.5,3,0,0.0514,0.0457118770087221,0.0570881229912779,0.1765,0.169027598000643,0.183972401999357,0.2761,0.268745749919538,0.283454250080462,2761,1765,514
"AD","Normal",65493,10000,10,10,2,3,0,0.0925,0.0850365428814791,0.0999634571185209,0.2762,0.26743650793293,0.28496349206707,0.3926,0.384566987482451,0.400633012517549,3926,2762,925
"AD","Normal",3733743,10000,10,10,2.5,3,0,0.1682,0.158564631860703,0.177835368139297,0.3936,0.384024461372518,0.403175538627482,0.5335,0.525293481777003,0.541706518222997,5335,3936,1682
"AD","Normal",147852175,10000,10,10,0.5,5,0,0.0116,0.00884170176410454,0.0143582982358955,0.0575,0.0529372079819479,0.0620627920180521,0.1088,0.103677665459734,0.113922334540266,1088,575,116
