"method","distribution","seed","N","n1","n2","delta","sd1","sd2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"AD","Normal2Var",223962,10000,10,10,0.5,1,3,0,0.0399,0.0348581427960499,0.0449418572039501,0.195,0.187234466148422,0.202765533851578,0.4015,0.393436181308191,0.409563818691809,4015,1950,399
"AD","Normal2Var",73344,10000,10,10,1.5,1,3,0,0.1614,0.151922908953529,0.170877091046471,0.4354,0.425682138154182,0.445117861845818,0.6343,0.626377253903174,0.642222746096826,6343,4354,1614
"AD","Normal2Var",3055699,10000,10,10,2,1,3,0,0.2821,0.270507439304227,0.293692560695773,0.5954,0.585780036467096,0.605019963532904,0.7647,0.757722137441825,0.771677862558175,7647,5954,2821
"AD","Normal2Var",794022,10000,10,10,2.5,1,3,0,0.4448,0.431998732386607,0.457601267613393,0.7506,0.742119751554206,0.759080248445795,0.8765,0.871087781252631,0.881912218747369,8765,7506,4448
"AD","Normal2Var",242489,10000,10,10,0.5,3,5,0,0.0165,0.0132184803218021,0.0197815196781979,0.0762,0.0709997701964625,0.0814002298035375,0.1617,0.155643515008788,0.167756484991212,1617,762,165
"AD","Normal2Var",71613,10000,10,10,1.5,3,5,0,0.0329,0.0283050636555025,0.0374949363444975,0.1435,0.136628592484796,0.150371407515204,0.2534,0.246244941311554,0.260555058688446,2534,1435,329
"AD","Normal2Var",28219,10000,10,10,2,3,5,0,0.0556,0.049697156845175,0.061502843154825,0.1992,0.191371784536844,0.207028215463156,0.3217,0.314015734863451,0.329384265136549,3217,1992,556
"AD","Normal2Var",230460,10000,10,10,2.5,3,5,0,0.0943,0.0867717524942537,0.101828247505746,0.2749,0.266149308086877,0.283650691913123,0.4115,0.403404865747291,0.419595134252709,4115,2749,943
"AD","Normal2Var",340533,10000,10,10,0.5,1,5,0,0.0498,0.0441963881746773,0.0554036118253227,0.3215,0.312345777037891,0.330654222962109,0.6395,0.631601605688535,0.647398394311465,6395,3215,498
"AD","Normal2Var",210961,10000,10,10,1.5,1,5,0,0.1077,0.0997143705006996,0.1156856294993,0.4118,0.402153678050075,0.421446321949925,0.6987,0.69115236586858,0.70624763413142,6987,4118,1077
"AD","Normal2Var",20630265,10000,10,10,2,1,5,0,0.1576,0.148213943927835,0.166986056072165,0.5029,0.493100164837386,0.512699835162614,0.7554,0.748328970992062,0.762471029007938,7554,5029,1576
"AD","Normal2Var",257954,10000,10,10,2.5,1,5,0,0.2317,0.220831382817601,0.242568617182399,0.5873,0.577650533422329,0.596949466577672,0.8077,0.801216931866178,0.814183068133822,8077,5873,2317
"AD","Normal2Var",177770,10000,10,10,1,1,3,0,0.0787,0.0717636058953765,0.0856363941046235,0.29,0.281106263777242,0.298893736222758,0.5033,0.495075179142451,0.511524820857549,5033,2900,787
"AD","Normal2Var",902297,10000,10,10,1,3,5,0,0.0199,0.0163024437635217,0.0234975562364783,0.1013,0.095386179139541,0.107213820860459,0.1919,0.185422074589811,0.198377925410189,1919,1013,199
"AD","Normal2Var",2834548,10000,10,10,1,1,5,0,0.0716,0.0649584425185847,0.0782415574814153,0.3567,0.347311106739471,0.366088893260529,0.6574,0.649593175228872,0.665206824771128,6574,3567,716
"AD","Normal2Var",7091517,10000,10,10,5,1,3,0,0.9652,0.960478889806063,0.969921110193937,0.9968,0.995693031978059,0.997906968021941,0.9995,0.999132258787495,0.999867741212506,9995,9968,9652
"AD","Normal2Var",228124098,10000,10,10,5,3,5,0,0.4433,0.430503083535104,0.456096916464896,0.727,0.718268183501699,0.735731816498301,0.8315,0.82534260546827,0.83765739453173,8315,7270,4433
"AD","Normal2Var",118587849,10000,10,10,5,1,5,0,0.6796,0.667579603385829,0.691620396614171,0.9147,0.909225178974103,0.920174821025897,0.9718,0.969076803979163,0.974523196020837,9718,9147,6796
