"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"AD","ghEqual",45285949,10000,10,10,0,3,1,1,0,1,0.0097,0.00717526898390819,0.0122247310160918,0.0508,0.0464960542129808,0.0551039457870192,0.1059,0.100838177292025,0.110961822707975,1059,508,97
"AD","ghEqual",70932289,10000,10,10,0,3,3,3,0,1,0.0085,0.00613516044552701,0.010864839554473,0.0501,0.0458242345061498,0.0543757654938502,0.1063,0.101229761210083,0.111370238789917,1063,501,85
"AD","ghEqual",6993587,10000,10,10,0,3,-3,-3,0,1,0.0093,0.00682737409756834,0.0117726259024317,0.0505,0.0462081034541825,0.0547918965458175,0.1054,0.100348729166724,0.110451270833276,1054,505,93
"AD","ghEqual",10923138,10000,10,10,0,3,-1,-1,0,1,0.009,0.00656721381654696,0.011432786183453,0.0495,0.0452485729501731,0.0537514270498269,0.1029,0.0979020257070514,0.107897974292949,1029,495,90
"AD","ghEqual",33173486,10000,10,10,0.5,3,1,1,0,0,0.0186,0.0151196304717022,0.0220803695282978,0.0808,0.0754584566221363,0.0861415433778637,0.1538,0.147865548559479,0.159734451440521,1538,808,186
"AD","ghEqual",2197701,10000,10,10,0.5,3,3,3,0,0,0.0425,0.0373035145569337,0.0476964854430663,0.1738,0.166372826782039,0.181227173217961,0.3088,0.301200125636407,0.316399874363593,3088,1738,425
"AD","ghEqual",27425755,10000,10,10,0.5,3,1,3,0,0,0.0587,0.052644793775646,0.064755206224354,0.2197,0.211584750001041,0.227815249998959,0.362,0.35409447844921,0.36990552155079,3620,2197,587
"AD","ghEqual",20502185,10000,10,10,0.5,3,-1,1,0,0,0.0532,0.0474186295350171,0.0589813704649828,0.215,0.206947882017755,0.223052117982245,0.3476,0.339766375278353,0.355433624721647,3476,2150,532
"AD","ghEqual",27146,10000,10,10,0.5,3,-3,3,0,0,0.1811,0.171179797912265,0.191020202087735,0.4653,0.455523628649361,0.475076371350639,0.6421,0.634214157725837,0.649985842274163,6421,4653,1811
"AD","ghEqual",100730715,10000,10,10,0.5,3,-1,3,0,0,0.1117,0.103585677280368,0.119814322719632,0.3546,0.345223518145146,0.363976481854854,0.5226,0.514383406297796,0.530816593702204,5226,3546,1117
"AD","ghEqual",20052,10000,10,10,0.5,3,1,-3,0,0,0.0284,0.024120936002939,0.032679063997061,0.138,0.13123996028414,0.14476003971586,0.2687,0.261407985522726,0.275992014477274,2687,1380,284
"AD","ghEqual",15107977,10000,10,10,1,3,1,1,0,0,0.0414,0.0362682588552516,0.0465317411447484,0.1677,0.160377446557819,0.175022553442181,0.2761,0.268745749919538,0.283454250080462,2761,1677,414
"AD","ghEqual",1736296,10000,10,10,1,3,3,3,0,0,0.1118,0.103682502848847,0.119917497151153,0.309,0.299943209230638,0.318056790769362,0.4962,0.48797523754143,0.50442476245857,4962,3090,1118
"AD","ghEqual",3867445,10000,10,10,1,3,1,3,0,0,0.1153,0.107072677413422,0.123527322586578,0.343,0.333695654769948,0.352304345230052,0.5177,0.50948015523609,0.52591984476391,5177,3430,1153
"AD","ghEqual",449719,10000,10,10,1,3,-1,1,0,0,0.1152,0.106975781213556,0.123424218786444,0.3519,0.342539765794469,0.361260234205531,0.4979,0.48967507254482,0.50612492745518,4979,3519,1152
"AD","ghEqual",519767,10000,10,10,1,3,-3,3,0,0,0.3414,0.329185140377691,0.353614859622309,0.663,0.653735376264521,0.672264623735479,0.8052,0.798685032378561,0.811714967621439,8052,6630,3414
