"method","distribution","seed","N","n1","n2","delta","sd","g1","g2","h","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"AD","ghEqualK",68800353,10000,10,10,0,3,1,1,0.2,1,0.0108,0.00813743762725904,0.013462562372741,0.0542,0.049762326260573,0.058637673739427,0.1054,0.100348729166724,0.110451270833276,1054,542,108
"AD","ghEqualK",314946610,10000,10,10,0,3,3,3,0.2,1,0.0088,0.00639415390545114,0.0112058460945489,0.0521,0.0477443177050662,0.0564556822949338,0.1007,0.0957496838681984,0.105650316131802,1007,521,88
"AD","ghEqualK",2628514,10000,10,10,0,3,-3,-3,0.2,1,0.0086,0.00622141025800917,0.0109785897419908,0.0502,0.0459201946967648,0.0544798053032352,0.1032,0.0981955823085598,0.10820441769144,1032,502,86
"AD","ghEqualK",748377,10000,10,10,0,3,-1,-1,0.2,1,0.0091,0.00665385910075809,0.0115461408992419,0.0526,0.0482246214474174,0.0569753785525826,0.1039,0.0988805987472633,0.108919401252737,1039,526,91
"AD","ghEqualK",145691,10000,10,10,0.5,3,1,1,0.2,0,0.0161,0.0128578412422733,0.0193421587577267,0.0695,0.0645156714434139,0.0744843285565861,0.1337,0.128101576306962,0.139298423693039,1337,695,161
"AD","ghEqualK",18728,10000,10,10,0.5,3,3,3,0.2,0,0.0328,0.0282118149607044,0.0373881850392956,0.1294,0.122821414235385,0.135978585764615,0.2396,0.232578492513456,0.246621507486544,2396,1294,328
"AD","ghEqualK",11752699,10000,10,10,0.5,3,1,3,0.2,0,0.0517,0.0459962037213154,0.0574037962786846,0.1884,0.18073578746182,0.19606421253818,0.3142,0.306563968117412,0.321836031882588,3142,1884,517
"AD","ghEqualK",11617695,10000,10,10,0.5,3,-1,1,0.2,0,0.0424,0.037209360639206,0.047590639360794,0.1687,0.161360060116758,0.176039939883242,0.2807,0.273308337333538,0.288091662666462,2807,1687,424
"AD","ghEqualK",1538223,10000,10,10,0.5,3,-3,3,0.2,0,0.1434,0.134371627497287,0.152428372502713,0.4115,0.401854733656347,0.421145266343653,0.5822,0.574086911364721,0.590313088635279,5822,4115,1434
"AD","ghEqualK",44985,10000,10,10,0.5,3,-1,3,0.2,0,0.0896,0.0822427419635584,0.0969572580364416,0.2995,0.290522435076258,0.308477564923742,0.459,0.450802699090707,0.467197300909293,4590,2995,896
"AD","ghEqualK",348653,10000,10,10,0.5,3,1,-3,0.2,0,0.0237,0.0197815737575072,0.0276184262424928,0.1235,0.117051398939305,0.129948601060695,0.2413,0.234261508260161,0.248338491739838,2413,1235,237
"AD","ghEqualK",122941330,10000,10,10,1,3,1,1,0.2,0,0.0301,0.0256985822944619,0.0345014177055381,0.1199,0.113533046568538,0.126266953431462,0.205,0.198359108310061,0.211640891689939,2050,1199,301
"AD","ghEqualK",39575706,10000,10,10,1,3,3,3,0.2,0,0.084,0.076854489881443,0.091145510118557,0.2597,0.251105988690629,0.268294011309371,0.4058,0.397722290186451,0.413877709813549,4058,2597,840
"AD","ghEqualK",167284,10000,10,10,1,3,1,3,0.2,0,0.1003,0.0925617067190487,0.108038293280951,0.2945,0.285565973631111,0.303434026368889,0.4545,0.446309126409572,0.462690873590428,4545,2945,1003
"AD","ghEqualK",213095,10000,10,10,1,3,-1,1,0.2,0,0.0828,0.0757010674445508,0.0898989325554492,0.2691,0.260407556005909,0.277792443994091,0.4053,0.397223872374351,0.413376127625649,4053,2691,828
"AD","ghEqualK",19407,10000,10,10,1,3,-3,3,0.2,0,0.2954,0.2836477120562,0.3071522879438,0.605,0.595418526418134,0.614581473581866,0.747,0.739848675851459,0.754151324148541,7470,6050,2954
"AD","ghEqualK",2761680,10000,10,10,1,3,-1,3,0.2,0,0.1722,0.162474204283473,0.181925795716527,0.4421,0.432365929003012,0.451834070996988,0.6073,0.599266625868119,0.615333374131881,6073,4421,1722
"AD","ghEqualK",29139,10000,10,10,1,3,1,-3,0.2,0,0.0134,0.0104381107640318,0.0163618892359682,0.0857,0.0802135573709734,0.0911864426290266,0.1881,0.181671471542415,0.194528528457585,1881,857,134
"AD","ghEqualK",15801511,10000,10,10,1.5,3,1,1,0.2,0,0.0655,0.0591268203381985,0.0718731796618015,0.2162,0.208131616255433,0.224268383744567,0.3298,0.322066191044776,0.337533808955224,3298,2162,655
"AD","ghEqualK",99553,10000,10,10,1.5,3,3,3,0.2,0,0.1378,0.128920786948946,0.146679213051054,0.3677,0.358249289121257,0.377150710878743,0.5447,0.536507934518647,0.552892065481353,5447,3677,1378
"AD","ghEqualK",28976077,10000,10,10,1.5,3,1,3,0.2,0,0.1777,0.167852982319134,0.187547017680866,0.4271,0.417404721960954,0.436795278039046,0.5894,0.581307542252004,0.597492457747996,5894,4271,1777
"AD","ghEqualK",541863,10000,10,10,1.5,3,-1,1,0.2,0,0.1603,0.150849066736644,0.169750933263356,0.4042,0.394581563650073,0.413818436349927,0.5558,0.547626379857621,0.563973620142379,5558,4042,1603
"AD","ghEqualK",483492,10000,10,10,1.5,3,-3,3,0.2,0,0.5737,0.560960688708338,0.586439311291662,0.8421,0.83495291462382,0.84924708537618,0.9193,0.914819450293237,0.923780549706763,9193,8421,5737
"AD","ghEqualK",283977,10000,10,10,1.5,3,-1,3,0.2,0,0.318,0.30600358155208,0.32999641844792,0.6314,0.621944466762451,0.640855533237549,0.7679,0.760955262954728,0.774844737045272,7679,6314,3180
"AD","ghEqualK",12398521,10000,10,10,1.5,3,1,-3,0.2,0,0.016,0.0127677614979089,0.0192322385020911,0.083,0.0775927084635652,0.0884072915364349,0.1796,0.173285602842424,0.185914397157576,1796,830,160
"AD","ghEqualK",148479,10000,10,10,2,3,1,1,0.2,0,0.1229,0.114442415303245,0.131357584696755,0.3251,0.315919120861355,0.334280879138645,0.4653,0.457094831187856,0.473505168812144,4653,3251,1229
"AD","ghEqualK",68150100,10000,10,10,2,3,3,3,0.2,0,0.2158,0.205202949649269,0.226397050350731,0.4911,0.481301552638994,0.500898447361006,0.6674,0.659649671227161,0.675150328772839,6674,4911,2158
"AD","ghEqualK",29008787,10000,10,10,2,3,1,3,0.2,0,0.2647,0.253335374934631,0.276064625065369,0.5548,0.545059037411344,0.564540962588656,0.7145,0.707070320577281,0.721929679422719,7145,5548,2647
"AD","ghEqualK",77244,10000,10,10,2,3,-1,1,0.2,0,0.278,0.266459175005157,0.289540824994843,0.5786,0.568921845481374,0.588278154518626,0.7116,0.704147851509289,0.719052148490711,7116,5786,2780
"AD","ghEqualK",2120978,10000,10,10,2,3,-3,3,0.2,0,0.9453,0.939442337427026,0.951157662572974,0.9933,0.991701054391919,0.99489894560808,0.9984,0.997742526610729,0.999057473389271,9984,9933,9453
"AD","ghEqualK",239793332,10000,10,10,2,3,-1,3,0.2,0,0.5135,0.500624695615932,0.526375304384068,0.796,0.788101807963844,0.803898192036156,0.8912,0.886077665459734,0.896322334540266,8912,7960,5135
"AD","ghEqualK",3195476,10000,10,10,2,3,1,-3,0.2,0,0.0213,0.0175807064704899,0.0250192935295101,0.0989,0.0930488570034223,0.104751142996578,0.1975,0.190951045504481,0.204048954495519,1975,989,213
"AD","ghEqualK",31345833,10000,10,10,2.5,3,1,1,0.2,0,0.2044,0.194011958124764,0.214788041875236,0.4632,0.453426579147422,0.472973420852578,0.607,0.598965543143591,0.615034456856409,6070,4632,2044
"AD","ghEqualK",88445,10000,10,10,2.5,3,3,3,0.2,0,0.2867,0.275050807627722,0.298349192372278,0.5782,0.568520600772693,0.587879399227307,0.7418,0.734600747004869,0.748999252995131,7418,5782,2867
"AD","ghEqualK",158438843,10000,10,10,2.5,3,1,3,0.2,0,0.3681,0.355676243091944,0.380523756908056,0.6691,0.659877472266759,0.678322527733241,0.811,0.804559683191217,0.817440316808784,8110,6691,3681
"AD","ghEqualK",95391,10000,10,10,2.5,3,-1,1,0.2,0,0.4418,0.429007552876397,0.454592447123603,0.7343,0.725642577496645,0.742957422503355,0.8391,0.833055633569846,0.845144366430154,8391,7343,4418
"AD","ghEqualK",2348500,10000,10,10,2.5,3,-3,3,0.2,0,0.9944,0.992477703257438,0.996322296742562,0.9992,0.998645850076604,0.999754149923396,0.9998,0.999567385133966,1.00003261486603,9998,9992,9944
"AD","ghEqualK",41094093,10000,10,10,2.5,3,-1,3,0.2,0,0.7294,0.717955610392438,0.740844389607562,0.9247,0.919528053922787,0.929871946077213,0.9675,0.964583022564473,0.970416977435527,9675,9247,7294
