"method","distribution","seed","N","n1","n2","delta","scale1","scale2","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BM","Cauchy",8328822,10000,10,10,0,1,1,1,0.0176,0.0142127568787251,0.0209872431212749,0.0542,0.049762326260573,0.058637673739427,0.1031,0.0980977286449079,0.108102271355092,1031,542,176
"BM","Cauchy",45895,10000,10,10,0,0.5,0.5,1,0.016,0.0127677614979089,0.0192322385020911,0.059,0.0543817558488101,0.0636182441511899,0.1049,0.0998593165509055,0.109940683449094,1049,590,160
"BM","Cauchy",81807745,10000,10,10,0,2,2,1,0.0159,0.012677714353608,0.019122285646392,0.0547,0.0502430828249114,0.0591569171750886,0.1008,0.0958475019016258,0.105752498098374,1008,547,159
"BM","Cauchy",10381690,10000,10,10,0.5,1,1,0,0.0361036103610361,0.0312981350288264,0.0409090856932458,0.0947094709470947,0.0889703316592767,0.100448610234913,0.158115811581158,0.152114036312914,0.164117586849403,1581,947,361
"BM","Cauchy",228482,10000,10,10,0.5,0.5,0.5,0,0.0915457728864432,0.0841170094029648,0.0989745363699216,0.202301150575288,0.194427525504022,0.210174775646554,0.293946973486743,0.286452880832058,0.301441066141429,2938,2022,915
"BM","Cauchy",70892,10000,10,10,0.5,2,2,0,0.0205020502050205,0.0168516013282846,0.0241524990817564,0.0665066506650665,0.061623004123986,0.071390297206147,0.115411541154115,0.110155470955119,0.120667611353111,1154,665,205
"BM","Cauchy",49395317,10000,10,10,0.5,0.5,2,0,0.0271054210842168,0.0229222384141519,0.0312886037542818,0.0777155431086217,0.0724681637892196,0.0829629224280238,0.134026805361072,0.128422601050994,0.13963100967115,1340,777,271
"BM","Cauchy",508613,10000,10,10,0.5,1,2,0,0.0241,0.0201494547649541,0.0280505452350459,0.0739,0.0687724815391458,0.0790275184608541,0.1234,0.117989664271498,0.128810335728502,1234,739,241
"BM","Cauchy",238849,10000,10,10,1,1,1,0,0.0886265879763929,0.0813054928337869,0.0959476831189989,0.201760528158448,0.19389476665621,0.209626289660685,0.292187656296889,0.28470672096097,0.299668591632808,2921,2017,886
"BM","Cauchy",23964095,10000,10,10,1,0.5,0.5,0,0.27390076643808,0.262412871063224,0.285388661812935,0.472872125857201,0.463086560550319,0.482657691164082,0.591468334005647,0.583382133349207,0.599554534662088,5865,4689,2716
"BM","Cauchy",141929194,10000,10,10,1,2,2,0,0.0358,0.0310140193810739,0.0405859806189261,0.0951,0.08935028095309,0.10084971904691,0.1541,0.148160816630464,0.160039183369536,1541,951,358
"BM","Cauchy",8349530,10000,10,10,1,0.5,2,0,0.0658592733460114,0.0594698674314599,0.072248679260563,0.145530977880092,0.138619324400699,0.152442631359485,0.231107997197478,0.224173642359354,0.238042352035602,2309,1454,658
"BM","Cauchy",87008298,10000,10,10,1,1,2,0,0.0485097019403881,0.0429754064447359,0.0540439974360403,0.115823164632927,0.109550914763404,0.122095414502449,0.182136427285457,0.175787435843939,0.188485418726975,1821,1158,485
"BM","Cauchy",1292258,10000,10,10,1.5,1,1,0,0.182292188910057,0.172346635321892,0.192237742498222,0.340018048731575,0.330733237337309,0.349302860125841,0.448912062568936,0.440730109342237,0.457094015795635,4477,3391,1818
"BM","Cauchy",7581857,10000,10,10,1.5,0.5,0.5,0,0.449617214980343,0.436802771644278,0.462431658316409,0.664080281398717,0.654822986202595,0.67333757659484,0.771466997723981,0.764559845283555,0.778374150164407,7457,6419,4346
"BM","Cauchy",6228449,10000,10,10,1.5,2,2,0,0.0524052405240524,0.046664808968519,0.0581456720795858,0.136113611361136,0.129392591706492,0.142834631015781,0.216121612161216,0.209350822117427,0.222892402205006,2161,1361,524
"BM","Cauchy",314265811,10000,10,10,1.5,0.5,2,0,0.113927855711423,0.105743295231906,0.12211241619094,0.230861723446894,0.222602594427306,0.239120852466482,0.330761523046092,0.323022006288791,0.338501039803393,3301,2304,1137
"BM","Cauchy",21359,10000,10,10,1.5,1,2,0,0.0878527116269762,0.0805605559811049,0.0951448672728474,0.194016409845908,0.186265754893681,0.201767064798134,0.284670802481489,0.27724761650825,0.292093988454728,2845,1939,878
"BM","Cauchy",22567607,10000,10,10,2,1,1,0,0.267117071695069,0.255719456667059,0.278514686723079,0.461833215690229,0.452061808789868,0.47160462259059,0.582837551678935,0.574726217977412,0.590948885380458,5780,4580,2649
"BM","Cauchy",90754,10000,10,10,2,0.5,0.5,0,0.558602677113941,0.545811449930541,0.57139390429734,0.762759821525737,0.754422163148121,0.771097479903353,0.859723582544347,0.854010932039769,0.865436233048924,7900,7009,5133
"BM","Cauchy",25352,10000,10,10,2,2,2,0,0.0941470735367684,0.0866242977676192,0.101669849305918,0.200100050025012,0.192258579672769,0.207941520377256,0.289244622311156,0.281785999826594,0.296703244795717,2891,2000,941
"BM","Cauchy",250407449,10000,10,10,2,0.5,2,0,0.185315741766542,0.175306603763739,0.195324879769345,0.339409809648504,0.330129032882551,0.348690586414458,0.463390069493403,0.455187146844498,0.471592992142308,4601,3370,1840
"BM","Cauchy",48088,10000,10,10,2,1,2,0,0.143644747393745,0.134609964589625,0.152679530197865,0.289093825180433,0.280208330271533,0.297979320089333,0.395850040096231,0.387805455474665,0.403894624717796,3949,2884,1433
"BM","Cauchy",19446,10000,10,10,2.5,1,1,0,0.366385014761275,0.353973424500153,0.378796605022396,0.578743764634022,0.5690660590688,0.588421470199244,0.696528555431131,0.688965552282877,0.704091558579385,6842,5685,3599
"BM","Cauchy",166292,10000,10,10,2.5,0.5,0.5,0,0.63409249360911,0.621684321060935,0.646500666157285,0.822217057866605,0.814723391437358,0.829710724295851,0.903904252846851,0.899056067651357,0.908752438042345,7779,7076,5457
"BM","Cauchy",24889527,10000,10,10,2.5,2,2,0,0.133326655314034,0.124570124693348,0.14208318593472,0.269057397575879,0.260365388371652,0.277749406780106,0.367424621857157,0.359494019548337,0.375355224165977,3668,2686,1331
"BM","Cauchy",6488134,10000,10,10,2.5,0.5,2,0,0.248153768335862,0.237026954813563,0.259280581858162,0.417096611026808,0.407432260085661,0.426760961967955,0.552149721800708,0.543969581447128,0.560329862154289,5458,4123,2453
"BM","Cauchy",161853,10000,10,10,2.5,1,2,0,0.201386795296955,0.191056098922379,0.211717491671531,0.367902723344388,0.358450923150901,0.377354523537874,0.489197065621546,0.480973985616427,0.497420145626665,4868,3661,2004
