"method","distribution","seed","N","n1","n2","delta","rate1","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BM","Exp",38237,10000,10,10,0,1,1,0.0186,0.0151196304717022,0.0220803695282978,0.0555,0.05101250948079,0.05998749051921,0.1008,0.0958475019016258,0.105752498098374,1008,555,186
"BM","Exp",9097035,10000,10,10,0,0.5,1,0.0155,0.0123178579098978,0.0186821420901022,0.0536,0.0491855578284001,0.0580144421715999,0.0978,0.0929136255890589,0.102686374410941,978,536,155
"BM","Exp",3728484,10000,10,10,0,0.25,1,0.016,0.0127677614979089,0.0192322385020911,0.052,0.0476482703025119,0.0563517296974881,0.1016,0.0966301002567859,0.106569899743214,1016,520,160
"BM","Exp",6232582,10000,10,10,0,0.125,1,0.0143,0.0112416565437191,0.0173583434562809,0.0548,0.0503392466831711,0.0592607533168289,0.1021,0.0971192727596289,0.107080727240371,1021,548,143
"BM","Exp",174322883,10000,10,10,0.5,1,0,0.174587293646823,0.164808444418732,0.184366142874915,0.335867933966984,0.326610991435679,0.345124876498288,0.446523261630815,0.438345440015245,0.454701083246385,4463,3357,1745
"BM","Exp",20489678,10000,10,10,0.5,0.5,0,0.0576115223044609,0.0516092524351351,0.0636137921737867,0.140428085617123,0.133618445389713,0.147237725844534,0.216443288657732,0.209668852073329,0.223217725242134,2164,1404,576
"BM","Exp",56028298,10000,10,10,0.5,0.25,0,0.0278083425027508,0.0235727969625093,0.0320438880429924,0.0834250275082525,0.0780051652694616,0.0888448897470433,0.139141742522757,0.133448490015891,0.144834995029623,1391,834,278
"BM","Exp",281593,10000,10,10,0.5,0.125,0,0.0188,0.015301325391944,0.022298674608056,0.0611,0.0564055324001118,0.0657944675998882,0.1076,0.102502563565909,0.112697436434091,1076,611,188
"BM","Exp",55334,10000,10,10,1,1,0,0.489800081599347,0.47692276190575,0.502677401292944,0.700122399020808,0.691141598058668,0.709103199982947,0.798653610771114,0.792057057789721,0.805250163752507,7830,6864,4802
"BM","Exp",160807169,10000,10,10,1,0.5,0,0.171319923946763,0.161613857865576,0.18102599002795,0.329430601420995,0.320218474641803,0.338642728200187,0.438206744721305,0.430044799200615,0.446368690241994,4379,3292,1712
"BM","Exp",70063,10000,10,10,1,0.25,0,0.053,0.047228897564451,0.058771102435549,0.1378,0.131044077026372,0.144555922973628,0.2156,0.208835135952911,0.222364864047089,2156,1378,530
"BM","Exp",11376367,10000,10,10,1,0.125,0,0.0279027902790279,0.0236602641630849,0.0321453163949709,0.0812081208120812,0.0758542932917376,0.0865619483324248,0.136213621362136,0.130571020284189,0.141856222440083,1362,812,279
"BM","Exp",69082973,10000,10,10,1.5,1,0,0.7436960663454,0.732449466668709,0.75494266602209,0.893309425081251,0.887258523945882,0.89936032621662,0.946206432814076,0.942495150238432,0.94991771538972,8443,7971,6636
"BM","Exp",203283,10000,10,10,1.5,0.5,0,0.336849507735584,0.324674482631603,0.349024532839565,0.537170986538075,0.527398105031037,0.546943868045113,0.656821378340366,0.649011403136783,0.664631353543949,6538,5347,3353
"BM","Exp",118487900,10000,10,10,1.5,0.25,0,0.108932679803941,0.10090702990584,0.116958329702042,0.225867760328098,0.217671971283189,0.234063549373008,0.32629788936681,0.318585179606899,0.334010599126721,3262,2258,1089
