"method","distribution","seed","N","n1","n2","delta","scale","lambda3","lambda4","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BM","GLDLS",171561,10000,10,10,0,2,-0.002,-0.002,1,0.0154,0.012227978408588,0.018572021591412,0.0535,0.0490894447016277,0.0579105552983723,0.097,0.0921314947286154,0.101868505271385,970,535,154
"BM","GLDLS",40380,10000,10,10,0,2,-0.02,-0.02,1,0.0178,0.014393912309817,0.021206087690183,0.056,0.0514935341741005,0.0605064658258995,0.0992,0.0942825955815695,0.104117404418431,992,560,178
"BM","GLDLS",713488,10000,10,10,0,2,-0.05,-0.05,1,0.0153,0.0121381333994591,0.0184618666005409,0.0512,0.0468800532862546,0.0555199467137454,0.0994,0.09447818749005,0.10432181250995,994,512,153
"BM","GLDLS",19888,10000,10,10,0,2,-0.1,-0.1,1,0.017,0.0136699781872186,0.0203300218127814,0.0549,0.0504354146980487,0.0593645853019513,0.0971,0.0922292555565935,0.101970744443406,971,549,170
"BM","GLDLS",33056020,10000,10,10,0,2,-0.2,-0.2,1,0.0191,0.0155740600663449,0.0226259399336551,0.0563,0.0517821974490246,0.0608178025509754,0.0987,0.093793642789016,0.103606357210984,987,563,191
"BM","GLDLS",302122063,10000,10,10,0.5,2,-0.002,-0.002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3380,2352,1092
"BM","GLDLS",35860125,10000,10,10,0.5,2,-0.002,-0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3323,2305,1088
"BM","GLDLS",22351,10000,10,10,0.5,2,-0.002,-0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3250,2273,1041
"BM","GLDLS",5415867,10000,10,10,0.5,2,-0.002,-0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3169,2183,1006
"BM","GLDLS",17575494,10000,10,10,0.5,2,-0.002,-0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3010,2124,994
"BM","GLDLS",10274435,10000,10,10,1,2,-0.002,-0.002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7674,6634,4488
"BM","GLDLS",3869590,10000,10,10,1,2,-0.002,-0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7570,6485,4348
"BM","GLDLS",10630237,10000,10,10,1,2,-0.002,-0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7529,6471,4327
"BM","GLDLS",17935294,10000,10,10,1,2,-0.002,-0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7232,6166,4072
"BM","GLDLS",23488845,10000,10,10,1,2,-0.002,-0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6793,5669,3549
"BM","GLDLS",33877689,10000,10,10,1.5,2,-0.002,-0.002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9135,8771,7585
"BM","GLDLS",2288420,10000,10,10,1.5,2,-0.002,-0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9171,8799,7570
"BM","GLDLS",253365912,10000,10,10,1.5,2,-0.002,-0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9157,8787,7495
"BM","GLDLS",47170,10000,10,10,1.5,2,-0.002,-0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9088,8647,7222
"BM","GLDLS",27330,10000,10,10,1.5,2,-0.002,-0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8886,8248,6613
"BM","GLDLS",1117007,10000,10,10,2,2,-0.002,-0.002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8189,8151,7896
"BM","GLDLS",208865,10000,10,10,2,2,-0.002,-0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8184,8135,7845
"BM","GLDLS",20113430,10000,10,10,2,2,-0.002,-0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8348,8273,7885
"BM","GLDLS",6743381,10000,10,10,2,2,-0.002,-0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8576,8473,7970
"BM","GLDLS",82354,10000,10,10,2,2,-0.002,-0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8712,8508,7773
"BM","GLDLS",197508,10000,10,10,2.5,2,-0.002,-0.002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6072,6064,6029
"BM","GLDLS",464880,10000,10,10,2.5,2,-0.002,-0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6185,6169,6109
"BM","GLDLS",1457395,10000,10,10,2.5,2,-0.002,-0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6518,6509,6432
"BM","GLDLS",2687659,10000,10,10,2.5,2,-0.002,-0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6742,6722,6589
"BM","GLDLS",363542735,10000,10,10,2.5,2,-0.002,-0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7411,7354,7079
"BM","GLDLS",5819606,10000,20,20,0,2,-0.002,-0.002,1,0.013,0.0100820616549351,0.0159179383450649,0.051,0.0466880445456846,0.0553119554543154,0.0988,0.0938914302559299,0.10370856974407,988,510,130
"BM","GLDLS",551743,10000,20,20,0,2,-0.02,-0.02,1,0.013,0.0100820616549351,0.0159179383450649,0.0507,0.0464000659817155,0.0549999340182845,0.1016,0.0966301002567859,0.106569899743214,1016,507,130
"BM","GLDLS",52065,10000,20,20,0,2,-0.05,-0.05,1,0.0142,0.0111522142245991,0.0172477857754009,0.0538,0.0493777969370912,0.0582222030629088,0.102,0.0970214352881578,0.106978564711842,1020,538,142
"BM","GLDLS",38276,10000,20,20,0,2,-0.1,-0.1,1,0.0145,0.011420656237183,0.017579343762817,0.0521,0.0477443177050662,0.0564556822949338,0.0997,0.0947715868633225,0.104628413136677,997,521,145
"BM","GLDLS",37260866,10000,20,20,0,2,-0.2,-0.2,1,0.0114,0.00866530694682127,0.0141346930531787,0.0473,0.0431393160810271,0.0514606839189729,0.0961,0.0912517189297675,0.100948281070233,961,473,114
"BM","GLDLS",2468454,10000,20,20,0.5,2,-0.002,-0.002,0,0.2312,0.220339584,0.242060416,0.428,0.418302138660509,0.437697861339491,0.5432,0.535005757155759,0.551394242844241,5432,4280,2312
"BM","GLDLS",246405,10000,20,20,0.5,2,-0.002,-0.02,0,0.2304,0.219552750599844,0.241247249400156,0.4357,0.42598137384598,0.44541862615402,0.554,0.54582310889702,0.56217689110298,5540,4357,2304
"BM","GLDLS",216098,10000,20,20,0.5,2,-0.002,-0.05,0,0.2179,0.207265780586936,0.228534219413064,0.4098,0.400160785360124,0.419439214639876,0.5343,0.52609437608315,0.54250562391685,5343,4098,2179
"BM","GLDLS",108188471,10000,20,20,0.5,2,-0.002,-0.1,0,0.2057,0.195287493493122,0.216112506506878,0.3943,0.384721483609577,0.403878516390423,0.5119,0.503677329814472,0.520122670185528,5119,3943,2057
"BM","GLDLS",499114,10000,20,20,0.5,2,-0.002,-0.2,0,0.1823,0.172354280837381,0.192245719162619,0.362,0.352580655173527,0.371419344826473,0.4784,0.470182678496152,0.486617321503848,4784,3620,1823
"BM","GLDLS",55276807,10000,20,20,1,2,-0.002,-0.002,0,0.8199,0.810001186127084,0.829798813872915,0.9321,0.927169145216659,0.937030854783341,0.9655,0.962497717264418,0.968502282735582,9655,9321,8199
"BM","GLDLS",337342,10000,20,20,1,2,-0.002,-0.02,0,0.8166,0.806631031765496,0.826568968234504,0.9314,0.926445654997237,0.936354345002763,0.9627,0.959582791842405,0.965817208157595,9627,9314,8166
"BM","GLDLS",250011,10000,20,20,1,2,-0.002,-0.05,0,0.7993,0.78898250062084,0.80961749937916,0.9255,0.920353376256224,0.930646623743776,0.9595,0.95625723181535,0.96274276818465,9595,9255,7993
"BM","GLDLS",2676595,10000,20,20,1,2,-0.002,-0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9480,9061,7640
"BM","GLDLS",519382,10000,20,20,1,2,-0.002,-0.2,0,0.702,0.690217904277693,0.713782095722307,0.8686,0.861978388956878,0.875221611043122,0.9258,0.921488519331842,0.930111480668158,9258,8686,7020
"BM","GLDLS",9518910,10000,20,20,1.5,2,-0.002,-0.002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9989,9984,9924
"BM","GLDLS",74703018,10000,20,20,1.5,2,-0.002,-0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9979,9969,9913
"BM","GLDLS",991283,10000,20,20,1.5,2,-0.002,-0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9977,9958,9874
"BM","GLDLS",25838745,10000,20,20,1.5,2,-0.002,-0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9987,9974,9862
"BM","GLDLS",20211459,10000,20,20,1.5,2,-0.002,-0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9969,9920,9649
"BM","GLDLS",384180,10000,20,20,2,2,-0.002,-0.002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9794,9794,9794
"BM","GLDLS",156918,10000,20,20,2,2,-0.002,-0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9812,9812,9811
"BM","GLDLS",30839,10000,20,20,2,2,-0.002,-0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9863,9863,9863
"BM","GLDLS",24699,10000,20,20,2,2,-0.002,-0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9877,9876,9873
"BM","GLDLS",6793863,10000,20,20,2,2,-0.002,-0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9928,9926,9908
"BM","GLDLS",666159,10000,20,20,2.5,2,-0.002,-0.002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8939,8939,8939
"BM","GLDLS",109395385,10000,20,20,2.5,2,-0.002,-0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9074,9074,9074
"BM","GLDLS",71177,10000,20,20,2.5,2,-0.002,-0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9177,9177,9177
"BM","GLDLS",3753244,10000,20,20,2.5,2,-0.002,-0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9310,9310,9310
"BM","GLDLS",124289555,10000,20,20,2.5,2,-0.002,-0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9608,9608,9608
"BM","GLDLS",18282186,10000,100,100,0,2,-0.002,-0.002,1,0.0105,0.00787428002833509,0.0131257199716649,0.0498,0.0455363823068197,0.0540636176931803,0.0995,0.0945759857484594,0.104424014251541,995,498,105
"BM","GLDLS",8284892,10000,100,100,0,2,-0.02,-0.02,1,0.0117,0.00892997819822009,0.0144700218017799,0.0501,0.0458242345061498,0.0543757654938502,0.1007,0.0957496838681984,0.105650316131802,1007,501,117
"BM","GLDLS",1484702,10000,100,100,0,2,-0.05,-0.05,1,0.0116,0.00884170176410454,0.0143582982358955,0.05,0.0457282790353301,0.0542717209646699,0.0996,0.0946737855402348,0.104526214459765,996,500,116
"BM","GLDLS",24645140,10000,100,100,0,2,-0.1,-0.1,1,0.0137,0.0107055941757577,0.0166944058242423,0.0531,0.048705035310449,0.057494964689551,0.1021,0.0971192727596289,0.107080727240371,1021,531,137
"BM","GLDLS",14747163,10000,100,100,0,2,-0.2,-0.2,1,0.0108,0.00813743762725904,0.013462562372741,0.0487,0.0444812936141988,0.0529187063858012,0.0965,0.0916427144288837,0.101357285571116,965,487,108
"BM","GLDLS",3949885,10000,100,100,0.5,2,-0.002,-0.002,0,0.9266,0.919881999426515,0.933318000573485,0.9806,0.977896646241721,0.983303353758279,0.9921,0.990643678796427,0.993556321203573,9921,9806,9266
"BM","GLDLS",486607,10000,100,100,0.5,2,-0.002,-0.02,0,0.9195,0.912491587336807,0.926508412663193,0.9803,0.977576240953094,0.983023759046906,0.9918,0.990316509121059,0.993283490878941,9918,9803,9195
