"method","distribution","seed","N","n1","n2","delta","sd","null","power0.01","l_CI","u_CI","power0.05","l_CI","u_CI","power0.10","l_CI","u_CI","ct_0.10","ct_0.05","ct_0.01"
"BM","Logistic",25942562,10000,10,10,0,1,1,0.0147,0.0115998067420859,0.0178001932579141,0.0541,0.0496661875693259,0.0585338124306741,0.0964,0.0915449631523952,0.101255036847605,964,541,147
"BM","Logistic",5058222,10000,10,10,0,3,1,0.0176,0.0142127568787251,0.0209872431212749,0.0533,0.0488972313599736,0.0577027686400264,0.0967,0.0918382217719465,0.101561778228053,967,533,176
"BM","Logistic",1047095,10000,10,10,0,5,1,0.0152,0.012048323215922,0.018351676784078,0.0561,0.0515897512478357,0.0606102487521643,0.1032,0.0981955823085598,0.10820441769144,1032,561,152
"BM","Logistic",33491675,10000,10,10,0,2,1,0.018,0.0145751791787599,0.0214248208212401,0.0574,0.0528409355128053,0.0619590644871947,0.1012,0.0962387890860799,0.10616121091392,1012,574,180
"BM","Logistic",6142941,10000,10,10,0.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1628,1002,368
"BM","Logistic",115552,10000,10,10,1.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5794,4600,2644
"BM","Logistic",228014,10000,10,10,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7678,6673,4524
"BM","Logistic",5741390,10000,10,10,2.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8907,8261,6562
"BM","Logistic",131656148,10000,10,10,0.5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069,619,192
"BM","Logistic",144880,10000,10,10,1.5,3,0,0.0349,0.0301723563916657,0.0396276436083343,0.1009,0.0949965532076252,0.106803446792375,0.1647,0.158598537553932,0.170801462446068,1647,1009,349
"BM","Logistic",7442795,10000,10,10,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2141,1413,574
"BM","Logistic",88214334,10000,10,10,2.5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2745,1865,771
"BM","Logistic",114112323,10000,10,10,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3359,2366,1092
"BM","Logistic",78292,10000,10,10,1,3,0,0.0257,0.0216237691489593,0.0297762308510407,0.0759,0.0707091743209389,0.0810908256790611,0.1287,0.12319142796845,0.13420857203155,1287,759,257
"BM","Logistic",235621388,10000,10,10,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5942,5937,5900
"BM","Logistic",193237095,10000,10,10,5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6349,5256,3198
"BM","Logistic",196700079,10000,10,10,0.5,5,0,0.021,0.0173064255959301,0.0246935744040699,0.0615,0.056791194329769,0.066208805670231,0.1058,0.100740284836881,0.110859715163119,1058,615,210
"BM","Logistic",10461872,10000,10,10,1,5,0,0.0177,0.0143033205488748,0.0210966794511252,0.066,0.0611336708865922,0.0708663291134078,0.1138,0.108576003152767,0.119023996847233,1138,660,177
"BM","Logistic",104865,10000,10,10,1.5,5,0,0.0215,0.0177636676199246,0.0252363323800754,0.0663,0.0614234069546865,0.0711765930453135,0.1165,0.111222452608515,0.121777547391485,1165,663,215
"BM","Logistic",9420033,10000,10,10,2,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1447,856,315
"BM","Logistic",30342644,10000,10,10,2.5,5,0,0.0366,0.0317628481365432,0.0414371518634568,0.1,0.09412,0.10588,0.1628,0.156726938034533,0.168873061965467,1628,1000,366
"BM","Logistic",262555972,10000,10,10,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3478,2449,1187
"BM","Logistic",2702338,10000,10,10,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9134,8820,7730
"BM","Logistic",2793949,10000,10,10,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3410,2404,1128
"BM","Logistic",776622,10000,10,10,3,5,0,0.0455,0.0401316660616538,0.0508683339383462,0.1241,0.11763796620015,0.13056203379985,0.1956,0.189074912220085,0.202125087779915,1956,1241,455
"BM","Logistic",2226322,10000,10,10,0.5,2,0,0.0218,0.0180382672793809,0.0255617327206191,0.0688,0.0638389709041772,0.0737610290958228,0.1202,0.114850537900321,0.125549462099679,1202,688,218
"BM","Logistic",18864,10000,10,10,1,2,0,0.0389,0.0339191329690601,0.0438808670309399,0.0998,0.0939252302995266,0.105674769700473,0.1627,0.156628440933518,0.168771559066482,1627,998,389
"BM","Logistic",209114825,10000,10,10,1.5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2421,1601,688
"BM","Logistic",857116,10000,10,10,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3432,2406,1141
"BM","Logistic",650750,10000,10,10,2.5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4550,3434,1822
"BM","Logistic",6143820,10000,10,10,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5753,4561,2609
"BM","Logistic",1149472,10000,10,10,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8879,8275,6439
"BM","Logistic",243951,10000,20,20,0,1,1,0.0127,0.00981548841415119,0.0155845115858488,0.0511,0.0467840466213825,0.0554159533786175,0.0977,0.0928158537170991,0.102584146282901,977,511,127
"BM","Logistic",729301,10000,20,20,0,3,1,0.0112,0.00848912745672984,0.0139108725432702,0.0519,0.0475522273768745,0.0562477726231255,0.0976,0.092718083416362,0.102481916583638,976,519,112
"BM","Logistic",38005737,10000,20,20,0,5,1,0.0125,0.00963800139762438,0.0153619986023756,0.0512,0.0468800532862546,0.0555199467137454,0.0972,0.0923270179687998,0.1020729820312,972,512,125
"BM","Logistic",27747,10000,20,20,0,2,1,0.0141,0.0110628107899994,0.0171371892100006,0.0535,0.0490894447016277,0.0579105552983723,0.1046,0.099565686119132,0.109634313880868,1046,535,141
"BM","Logistic",630352,10000,20,20,0.5,1,0,0.0535,0.0477032701792821,0.0592967298207179,0.1437,0.136824608586444,0.150575391413556,0.2212,0.214372347093444,0.228027652906556,2212,1437,535
"BM","Logistic",118016544,10000,20,20,1.5,1,0,0.5409,0.528063163911814,0.553736836088186,0.7547,0.746266807371725,0.763133192628276,0.8447,0.838741967371626,0.850658032628374,8447,7547,5409
"BM","Logistic",10739325,10000,20,20,2,1,0,0.8251,0.815314251340841,0.834885748659159,0.9359,0.931099352590494,0.940700647409506,0.9657,0.962706122144313,0.968693877855687,9657,9359,8251
"BM","Logistic",78415080,10000,20,20,2.5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9962,9901,9589
"BM","Logistic",131485,10000,20,20,0.5,3,0,0.02,0.0163936,0.0236064,0.0653,0.0604577324334977,0.0701422675665023,0.1166,0.111320486861926,0.121879513138074,1166,653,200
"BM","Logistic",1894859,10000,20,20,1.5,3,0,0.0552,0.0493171829851936,0.0610828170148064,0.1484,0.141432277463159,0.155367722536841,0.2295,0.222582589182044,0.236417410817956,2295,1484,552
"BM","Logistic",134269556,10000,20,20,2,3,0,0.1008,0.0930445987225459,0.108555401277454,0.2385,0.23014713972103,0.24685286027897,0.3367,0.328926037181799,0.344473962818201,3367,2385,1008
"BM","Logistic",306922509,10000,20,20,2.5,3,0,0.1547,0.145384708492225,0.164015291507775,0.32,0.310857067428883,0.329142932571117,0.435,0.426844797400585,0.443155202599415,4350,3200,1547
